spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Courage & Conviction,own_make,NULL,FALSE,FALSE,American Single Malt; Signature,NAS,,,92,46.0,100% malted barley,ex-bourbon + sherry + STR wine casks (blend),,Vanilla honey fruitiness dried fruit and sweet spice,https://vadistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-virginia-distillery-co-courage-conviction-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Courage & Conviction,own_make,NULL,FALSE,FALSE,American Single Malt; Bourbon Cask,NAS,,,92,46.0,100% malted barley,ex-bourbon,bourbon cask finish,,https://vadistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-virginia-distillery-co-courage-conviction-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Courage & Conviction,own_make,NULL,FALSE,FALSE,American Single Malt; Sherry Cask Finish,NAS,,,92,46.0,100% malted barley,ex-bourbon,sherry cask finish,,https://vadistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-virginia-distillery-co-courage-conviction-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Courage & Conviction,own_make,NULL,FALSE,FALSE,American Single Malt; ; Cuvée Cask,NAS,,,92,46.0,100% malted barley,ex-bourbon,Cuvée wine cask finish,,https://vadistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-virginia-distillery-co-courage-conviction-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Courage & Conviction,own_make,NULL,FALSE,FALSE,American Single Malt; ; Double Cask Reserve,5+ year,,,96,48.0,100% malted barley,ex-bourbon + European oak (double cask),,,https://vadistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-virginia-distillery-co-courage-conviction-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Courage & Conviction,own_make,NULL,FALSE,FALSE,American Single Malt; ; First Cut Cigar Blend,7+ year,,,108,54.0,100% malted barley,ex-bourbon,,Rich malt with cigar box tobacco dried fruit and dark chocolate,https://vadistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-virginia-distillery-co-courage-conviction-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Brewer's Coalition,own_make,NULL,FALSE,FALSE,American Single Malt; ; 4 Hands Madagascar Stout Cask,5+ year,Feb 2026,,100,50.0,100% malted barley,ex-bourbon,Madagascar stout cask finish,,https://vadistillery.com/brewers-coalition,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Brewer's Coalition,own_make,NULL,FALSE,FALSE,American Single Malt; ; North Coast Old Rasputin Stout Cask,5+ year,Mar 2026,,100,50.0,100% malted barley,ex-bourbon,imperial stout cask finish,,https://vadistillery.com/brewers-coalition,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Virginia Distillery Co.,"Lovingston, VA",Courage & Conviction,own_make,NULL,FALSE,TRUE,American Single Malt; Single Cask,NAS,,,,,100% malted barley,single cask,,,https://vadistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-virginia-distillery-co-courage-conviction-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Triple Eight Distillery,"Nantucket, MA",Notch,own_make,NULL,FALSE,FALSE,American Single Malt,8 year,,,96,48.0,100% Maris Otter malted barley,ex-bourbon barrels,wine cask finish,,https://tripleeightdistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-triple-eight-notch-10-year-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Triple Eight Distillery,"Nantucket, MA",Notch,own_make,NULL,FALSE,FALSE,American Single Malt,12 year,,,96,48.0,100% Maris Otter malted barley,ex-bourbon barrels,,,https://tripleeightdistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-triple-eight-notch-10-year-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Triple Eight Distillery,"Nantucket, MA",Notch,own_make,NULL,FALSE,FALSE,American Single Malt,15 year,,,96,48.0,100% Maris Otter malted barley,ex-bourbon + PX sherry casks,,,https://tripleeightdistillery.com;https://thewhiskeywash.com/reviews/whiskey-review-triple-eight-notch-10-year-american-single-malt/,2026-06-23,NULL,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; ; Classic,NAS,,,92,46.0,100% malted barley,ex-bourbon,,,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; ; First Edition,NAS,,,92,46.0,100% malted barley,ex-bourbon,,,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; ; Classic IV,NAS,,,92,46.0,100% malted barley,ex-bourbon,,,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; Bourbon Cask,NAS,,,92,46.0,100% malted barley,ex-bourbon,bourbon cask finish,,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; ; Pinot Noir Cask,NAS,,,92,46.0,100% malted barley,ex-bourbon,Pinot Noir cask finish,,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; ; Pinot Noir Cask Strength,NAS,,,,,100% malted barley,ex-bourbon,Pinot Noir cask finish (CS),,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; ; Port Cask,NAS,,,92,46.0,100% malted barley,ex-bourbon,Port cask finish,,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
American Single Malt,Tenmile Distillery,"Craryville, NY",Little Rest,own_make,NULL,FALSE,FALSE,American Single Malt; ; Double Matured,NAS,,,92,46.0,100% malted barley,ex-bourbon (double matured),,,https://tenmiledistillery.com;https://www.newyorkcraftspirits.com/products/tenmile-little-rest-american-single-malt-whiskey,2026-06-27,http://www.newyorkcraftspirits.com/cdn/shop/products/TenmileLittleRestSingleMalt_1200x1200.png,american_single_malt_northeast_mid_atlantic
