spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
American Single Malt,Balcones Distilling,"Waco, TX",Balcones,own_make,NULL,FALSE,FALSE,American Single Malt; ; Lineage,NAS,,,94,47.0,Malted Barley 100%,Virgin and used oak barrels (blend),,https://www.balconesdistilling.com/our-whisky;https://distiller.com/spirits/balcones-lineage,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Balcones Distilling,"Waco, TX",Balcones,own_make,NULL,FALSE,FALSE,American Single Malt; ; Mirador,NAS,,,109.6,54.8,Malted Barley 100%,Used barrels (various),,https://www.balconesdistilling.com/our-whisky;https://www.breakingbourbon.com/review/balcones-mirador,2026-06-27,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/5f3d51ed9eac83652f29df04_Balcones-Mirador-Single-Malt-Whiskey-01a.jpg,american_single_malt_texas
American Single Malt,Balcones Distilling,"Waco, TX",Balcones,own_make,NULL,FALSE,FALSE,American Single Malt; ; Texas '1',NAS,,,106,53.0,Malted Barley 100% (Golden Promise),New American oak (240-500L),,https://www.balconesdistilling.com/our-whisky/texas-1;https://distiller.com/spirits/balcones-texas-1-single-malt,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Balcones Distilling,"Waco, TX",Balcones,own_make,NULL,FALSE,FALSE,American Single Malt; ; Mirador Eclipse,NAS,2024,,110,55.0,Malted Barley 100%,"Kentucky bourbon barrels (1st, 2nd, 3rd fill)",,https://distiller.com/spirits/balcones-mirador-eclipse;https://www.thewhiskyexchange.com/p/83842/balcones-mirador-eclipse,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Balcones Distilling,"Waco, TX",Balcones,own_make,NULL,FALSE,FALSE,American Single Malt; ; Cataleja,NAS,,,118,59.0,Malted Barley 100% (Golden Promise),Refill casks,"Sherry Solera puncheons (Moscatel, Amontillado Dulce, Oloroso, Palo Cortado)",https://www.balconesdistilling.com/our-whisky/cataleja;https://distiller.com/spirits/balcones-cataleja,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,American Single Malt; ; Stryker,NAS,,,100,50.0,Malted Barley 100% (Texas BBQ smoked),New charred American oak,,https://www.andalusiawhiskey.com/stryker;https://distiller.com/spirits/andalusia-stryker-smoked-single-malt,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,American Single Malt; ; Revenant Oak,NAS,,,100,50.0,Malted Barley 100%,Used bourbon barrels,,https://www.andalusiawhiskey.com/revenant-oak;https://distiller.com/spirits/andalusia-revenant-oak-single-malt,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,American Single Malt; Triple Distilled,NAS,,,100,50.0,Malted Barley 100%,Charred American oak,,https://www.andalusiawhiskey.com;https://distiller.com/spirits/andalusia-triple-distilled-single-malt,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,Bonded American Single Malt,NAS,,,100,50.0,Malted Barley 100%,New charred oak,,https://www.andalusiawhiskey.com;https://distiller.com/spirits/andalusia-bottled-in-bond-single-malt,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,American Single Malt; ; American Soldier,NAS,,,100,50.0,"Malted Barley 100% (triple smoked: oak, mesquite, apple)",Charred oak,,https://www.andalusiawhiskey.com;https://distiller.com/spirits/andalusia-american-soldier-single-malt,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,American Single Malt; ; Stryker Madeira Finished,NAS,,,116,58.0,Malted Barley 100% (Texas BBQ smoked),New charred American oak,Madeira casks,https://www.andalusiawhiskey.com;https://distiller.com/spirits/andalusia-stryker-madeira-finish,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,TRUE,American Single Malt; Single Barrel,NAS,,,,,Malted Barley 100%,NULL,,https://www.andalusiawhiskey.com,2026-06-23,NULL,american_single_malt_texas
American Single Malt,Crowded Barrel Whiskey Co.,"Austin, TX",Crowded Barrel,own_make,NULL,FALSE,FALSE,American Single Malt; ; Single Malt of Confidence,NAS,,,116.8,58.4,NULL,Used oak,,https://www.crowdedbarrelwhiskey.com;https://distiller.com/spirits/crowded-barrel-single-malt-of-confidence,2026-06-23,NULL,american_single_malt_texas
