spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",George Remus Master Distiller Experimental Series No. 2,own_make,NULL,FALSE,FALSE,Wheat Whiskey; Straight; Master Distiller Experimental Series No. 2,NULL,NULL,NULL,113,56.5,95% wheat / 5% malted barley,New charred American oak,Tawny Port / White Port / Oloroso Sherry / Ruby Port cask blend,NULL,https://remusbourbon.com/the-bourbons/master-distiller-experimental-series-no-2/ | https://www.prnewswire.com/news-releases/remus-bourbon-introduces-master-distiller-experimental-series-no-2-its-first-ever-wheat-whiskey-302708762.html | https://www.breakingbourbon.com/bourbon-whiskey-press-releases/remus-bourbon-introduces-master-distiller-experimental-series-no-2-its-first-ever-wheat-whiskey,2026-05-30,NULL,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope American Light Whiskey,sourced,Penelope Bourbon,TRUE,FALSE,Light Whiskey,13 Years,NULL,NULL,128.4,64.2,99% corn,Used oak (second fill),NULL,NULL,https://shop.penelopebourbon.com/products/american-light-whiskey-13-years-old | https://www.breakingbourbon.com/review/penelope-founders-reserve-13-year-american-light-whiskey,2026-05-30,NULL,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope American Light Whiskey,sourced,Penelope Bourbon,TRUE,FALSE,Light Whiskey,15 Years,NULL,NULL,128.4,64.2,99% corn / 1% malted barley,Used oak (second fill),NULL,NULL,https://www.prnewswire.com/news-releases/penelope-bourbon-introduces-premium-2024-estate-collection-302258668.html | https://www.drinkhacker.com/2025/02/19/review-penelope-american-light-whiskey-17-years-old/,2026-06-27,https://mma.prnewswire.com/media/2515385/Penelope_Estate_Collection_2.jpg,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope American Light Whiskey,sourced,Penelope Bourbon,TRUE,FALSE,Light Whiskey,17 Years,NULL,NULL,138.8,69.4,99% corn / 1% malted barley,Used oak (second fill),NULL,NULL,https://www.prnewswire.com/news-releases/penelope-bourbon-releases-rare-american-light-whiskey-302351986.html | https://www.breakingbourbon.com/bourbon-whiskey-press-releases/penelope-bourbon-releases-17-year-old-american-light-whiskey,2026-06-27,https://mma.prnewswire.com/media/2598844/PENELOPE_17_YEAR_AMERICAN_LIGHT_WHISKEY.jpg,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope American Light Whiskey,sourced,Penelope Bourbon,TRUE,FALSE,Light Whiskey,18 Years,NULL,NULL,140.2,70.1,99% corn / 1% malted barley,Used oak (second fill),NULL,NULL,https://shop.penelopebourbon.com/products/american-light-whiskey-18-year | https://www.breakingbourbon.com/review/penelope-18-year-american-light-whiskey | https://seelbachs.com/products/penelope-18-year-american-light-whiskey-140-2-proof,2026-06-27,http://shop.penelopebourbon.com/cdn/shop/files/Penelope_Mock_AmericanLight-18yr_WEB_Sq_7-15-25_a02b7316-231e-433b-88aa-84039bf32903.png,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope Founders Reserve,sourced,Penelope Bourbon,TRUE,FALSE,Wheat Whiskey; Straight,11 Years,NULL,Lot B,118.4,59.2,95% wheat / 5% malted barley,New charred American oak,NULL,NULL,https://www.prnewswire.com/news-releases/penelope-bourbon-offers-exclusive-access-to-founders-reserve-302270155.html | https://whiskyadvocate.com/creating-penelope-bourbon-founders-reserve-wheat-whiskey | https://vinepair.com/review/penelope-founders-reserve-11-year-straight-wheat-whiskey/,2026-06-27,https://mma.prnewswire.com/media/2525668/Penelope_Founders_Reserve.jpg,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope Founders Reserve,sourced,Penelope Bourbon,TRUE,FALSE,Wheat Whiskey; Straight,11 Years,NULL,Lot C,116.6,58.3,95% wheat / 5% malted barley,New charred American oak,NULL,NULL,https://www.prnewswire.com/news-releases/penelope-bourbon-offers-exclusive-access-to-founders-reserve-302270155.html | https://whiskyadvocate.com/creating-penelope-bourbon-founders-reserve-wheat-whiskey | https://vinepair.com/review/penelope-founders-reserve-11-year-straight-wheat-whiskey/,2026-06-27,https://mma.prnewswire.com/media/2525668/Penelope_Founders_Reserve.jpg,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope Founders Reserve,sourced,Penelope Bourbon,TRUE,FALSE,Wheat Whiskey; Straight,11 Years,NULL,Lot D,109.5,54.8,95% wheat / 5% malted barley,New charred American oak,NULL,NULL,https://www.prnewswire.com/news-releases/penelope-bourbon-offers-exclusive-access-to-founders-reserve-302270155.html | https://whiskyadvocate.com/creating-penelope-bourbon-founders-reserve-wheat-whiskey | https://vinepair.com/review/penelope-founders-reserve-11-year-straight-wheat-whiskey/,2026-06-27,https://mma.prnewswire.com/media/2525668/Penelope_Founders_Reserve.jpg,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope Founders Reserve,sourced,Penelope Bourbon,TRUE,FALSE,Wheat Whiskey; Straight,11 Years,NULL,Lot E,107.6,53.8,95% wheat / 5% malted barley,New charred American oak,NULL,NULL,https://www.prnewswire.com/news-releases/penelope-bourbon-offers-exclusive-access-to-founders-reserve-302270155.html | https://whiskyadvocate.com/creating-penelope-bourbon-founders-reserve-wheat-whiskey | https://vinepair.com/review/penelope-founders-reserve-11-year-straight-wheat-whiskey/,2026-06-27,https://mma.prnewswire.com/media/2525668/Penelope_Founders_Reserve.jpg,american_whiskey_indiana
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Penelope Founders Reserve,sourced,Penelope Bourbon,TRUE,FALSE,Wheat Whiskey; Straight,11 Years,NULL,Lot F,108.2,54.1,95% wheat / 5% malted barley,New charred American oak,NULL,NULL,https://www.prnewswire.com/news-releases/penelope-bourbon-offers-exclusive-access-to-founders-reserve-302270155.html | https://whiskyadvocate.com/creating-penelope-bourbon-founders-reserve-wheat-whiskey | https://vinepair.com/review/penelope-founders-reserve-11-year-straight-wheat-whiskey/,2026-06-27,https://mma.prnewswire.com/media/2525668/Penelope_Founders_Reserve.jpg,american_whiskey_indiana
