spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
American Whiskey,Undisclosed (Indiana),"Indiana, US",Barrell Whiskey,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey,NAS,,,122.5,61.25,,Used American oak,,,https://www.barrellbourbon.com/whiskey,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Indiana),"Indiana, US",Barrell Whiskey,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey; Sherry Cask Finish,NAS,,,123.8,61.9,,Used American oak,Sherry,,https://www.barrellbourbon.com/whiskey,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Tennessee),"Tennessee, US",Barrell Whiskey,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey; Oloroso Sherry + LBV Port Finish,NAS,,,105.3,52.65,,Used American oak,Oloroso Sherry; LBV Port,,https://www.barrellbourbon.com/whiskey,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Indiana; Tennessee),Multiple locations (US),Barrell Whiskey,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey; Rum Cask + Rye Barrel Finish,NAS,,,120.6,60.3,,Used American oak,Rum cask; Rye barrel,,https://www.barrellbourbon.com/whiskey,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Indiana; Tennessee; Kentucky),Multiple locations (US),Barrell Whiskey,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey; Multi-Cask Finish,NAS,,,118.4,59.2,,Used American oak,Amaro barrel; American brandy barrel; Bourbon barrel; Cognac cask,,https://www.barrellbourbon.com/whiskey,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Indiana; Tennessee),Multiple locations (US),Barrell Dovetail,sourced,Barrell Craft Spirits,TRUE,TRUE,Blended American Whiskey; Rum + Port + Cabernet Cask Finish,NAS,,,,,,Used American oak,Dunn Vineyards Cabernet; LBV Port; Blackstrap molasses rum,,https://www.barrellbourbon.com/dovetail,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Indiana; Tennessee),Multiple locations (US),Barrell Dovetail,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey; Cask Strength; Rum + Port + Cabernet Cask Finish,NAS,,Batch 001,122.9,61.45,,Used American oak,Dunn Vineyards Cabernet; LBV Port; Blackstrap molasses rum,,https://www.barrellbourbon.com/dovetail; https://whiskyadvocate.com/Barrell-Dovetail-Cask-Strength-Batch-001-61-45,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Indiana),"Indiana, US",Barrell Gray Label Whiskey,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey; Sercial Madeira Finish,25 Years,,Release 1,111.2,55.6,,Used American oak,Sercial Madeira,,https://www.barrellbourbon.com/graylabelwhiskey; https://distiller.com/spirits/barrell-craft-spirits-whiskey-25-year,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Undisclosed (Indiana),"Indiana, US",Barrell Black Label,sourced,Barrell Craft Spirits,TRUE,FALSE,Blended American Whiskey; Black Label; Orange Curacao Finish,18 Years,,,143.1,71.55,,Used American oak,Used Orange Curacao barrels (8 years),,https://www.barrellbourbon.com/orangecuracao; https://robbreport.com/food-drink/spirits/barrell-craft-spirits-hazmat-whiskey-orange-liqueur-barrels-1237565068/; https://www.fredminnick.com/2026/02/12/barrell-releases-18-year-hazmat-whiskey-aged-in-curacao-barrels/,2026-06-27,https://robbreport.com/wp-content/uploads/2026/02/Barrell_Bourbon_Hazmat_Whiskey.jpg,american_whiskey_ndps_bottlers
American Whiskey,Hard Truth Distilling Co.,"Nashville, IN",Mellencamp Whiskey Co.,sourced,Mellencamp Whiskey Co.,TRUE,FALSE,Blended American Whiskey; Sweet Mash Special Reserve; Release #2,NAS,2024,,106,53.0,,New charred American oak,Amburana (toasted Brazilian wood),,https://mellencampwhiskey.com/sweetmash-special-reserve; https://hardtruth.com/news-archive/press-release-hard-truth-distilling-co-mellencamp-whiskey-co-release-farmers-reserve/; https://www.breakingbourbon.com/bourbon-whiskey-press-releases/hard-truth-distilling-co-mellencamp-whiskey-co-release-farmers-reserve,2026-06-27,https://hardtruth.com/wp-content/uploads/2024/03/FarmersReserve_2800x1574_v3-1520x854.jpg,american_whiskey_ndps_bottlers
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Whiskey War,sourced,High Bank Distillery,TRUE,FALSE,Blended American Whiskey,NAS,,,88,44.0,,New charred American oak,,,https://www.highbankdistillery.com/whiskey-war,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Whiskey War,sourced,High Bank Distillery,TRUE,TRUE,Blended American Whiskey; Barrel Proof,NAS,,,,,,New charred American oak,,,https://www.highbankdistillery.com/whiskey-war-barrel-proof,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Whiskey War,sourced,High Bank Distillery,TRUE,FALSE,Blended American Whiskey; Double Oaked,NAS,,,100,50.0,,New charred American oak,New charred American oak (6-12 months secondary),,https://www.highbankdistillery.com/whiskey-war-double-oaked,2026-05-31,NULL,american_whiskey_ndps_bottlers
American Whiskey,Ross & Squibb Distillery,"Lawrenceburg, IN",Whiskey War,sourced,High Bank Distillery,TRUE,FALSE,Blended American Whiskey; Double Double Oaked,NAS,,,113.5,56.75,,New charred American oak,New charred American oak (second + third maturation),,https://www.highbankdistillery.com/double-double,2026-05-31,NULL,american_whiskey_ndps_bottlers
