spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
American Whiskey,Kings County Distillery,"Brooklyn, NY",Kings County,own_make,NULL,FALSE,FALSE,Class TBD; Blended Bourbon,NAS,,,86,43.0,Bourbon + Rye + Malt + Corn whiskeys (all Kings County own-make; proportions vary by batch),New charred American oak,,https://www.kingscountydistillery.com/products/blended-bourbon;https://distiller.com/spirits/kings-county-blended-bourbon,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Kings County Distillery,"Brooklyn, NY",Kings County,own_make,NULL,FALSE,FALSE,Class TBD; Irish Homage; Used Cooperage,4 Years,,,,,Malted barley + unmalted barley (proportions undisclosed; conforms to Irish Single Pot Still technical file),Used cooperage (10- and 15-gallon ex-bourbon barrels),,https://www.kingscountydistillery.com/products/irish-homage-whiskey,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Widow Jane Distillery,"Brooklyn, NY",Widow Jane Apple Wood Aged Rye,blended,NULL,FALSE,FALSE,Class TBD; Whiskey Distilled from a Rye Mash; Apple Wood Aged,NAS,,,93,46.5,Rye mash (specific percentages undisclosed),Used bourbon barrel + fresh applewood staves,,https://widowjane.com/whiskey/apple-wood-aged-rye/;https://www.caskers.com/widow-jane-distilled-from-a-rye-mash-oak-apple-wood-aged/,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Widow Jane Distillery,"Brooklyn, NY",Widow Jane American Oak Aged Rye,blended,NULL,FALSE,FALSE,Class TBD; Whiskey Distilled from a Rye Mash; American Oak Aged,2 yr minimum,,,91,45.5,Rye mash (specific percentages undisclosed),Used bourbon barrel + freshly cut American oak staves,,https://www.caskers.com/widow-jane-distilled-from-a-rye-mash-american-oak-aged-whiskey/;https://www.wine-searcher.com/find/widow+jane+rye+mash+america+oak+aged+whisky+new+york+usa,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Breuckelen Distilling,"Brooklyn, NY",77,own_make,NULL,FALSE,FALSE,Wheat Whiskey; 100% New York Wheat,NAS,,,90,45.0,Bourbon + Rye blend (NY grain),New charred American oak,,https://distiller.com/spirits/breuckelen-77-new-york-wheat-whiskey;https://brkdistilling.com/collections/all,2026-06-27,http://brkdistilling.com/cdn/shop/collections/b77-detail-03.jpg,american_whiskey_northeast_mid_atlantic
American Whiskey,Stoll & Wolfe Distillery,"Lititz, PA",Stoll & Wolfe,blended,NULL,FALSE,FALSE,Blended American Whiskey; Blend of Straight Whiskeys,NAS,,,86,43.0,~80% Indiana straight bourbon (Corn 75% / Rye 21% / Malted Barley 4%) + ~20% Pennsylvania straight rye (Rye 60% / Corn 30% / Malted Barley 10%),New charred American oak (sourced components),,https://www.breakingbourbon.com/review/stoll-wolfe-straight-american-whiskey-blend;https://whiskeyconsensus.com/stoll-wolfe-straight-american-whiskeys-blend/;https://www.stollandwolfe.com/whiskey,2026-05-31,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Nauti Spirits Distillery,"Cape May, NJ",Plundered,blended,NULL,FALSE,FALSE,Blended American Whiskey; 4yr High-Rye Bourbon + 8yr Straight Rye,NAS,,Plundered No. 9,,,,,,https://nautispirits.com/spirits.php,2026-05-31,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Nauti Spirits Distillery,"Cape May, NJ",Red Tail,own_make,NULL,FALSE,FALSE,Class TBD; Whiskey Distilled from a Bourbon Mash; Used Barrels; Limited Release,NAS,,,86,43.0,Corn-dominant mash (specific percentages undisclosed; producer designation: bourbon mash),Repurposed bourbon barrels (5-gallon),,https://nautispirits.com/spirits.php,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Reservoir Distillery,"Richmond, VA",Reservoir,own_make,NULL,FALSE,FALSE,Wheat Whiskey; 100% Virginia Wheat,,,,100,50.0,Wheat 100%,New charred American oak (quarter casks),,https://www.reservoirdistillery.com/our-whiskeys;https://distiller.com/spirits/reservoir-wheat-whiskey,2026-05-31,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Virginia Distillery Co.,"Lovingston, VA",Virginia Distillery Co.,own_make,NULL,FALSE,FALSE,Class TBD; Split Barrel Project; No. 1,NAS,,,90,45.0,Blend: 50% VDC 5yr American Single Malt (100% malted barley) + 50% Bardstown Bourbon Co. 4yr Kentucky Straight Bourbon (Corn 75% / Rye 15% / Malted Barley 10%),ex-bourbon,,https://www.thespiritsbusiness.com/2026/04/virginia-distillery-blends-bourbon-and-american-single-malt/;https://robbreport.com/food-drink/spirits/virginia-distillery-company-split-barrel-project-whiskey-1238102067/;https://vadistillery.com/,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Tuthilltown Spirits,"Gardiner, NY",Hudson,own_make,NULL,FALSE,FALSE,Corn Whiskey; 100% New York Corn,NAS,,,92,46.0,Corn 100% (New York Empire State corn + ancient corn varietal),,,https://distiller.com/spirits/hudson-corn-whiskey;http://www.tuthilltown.com/tuthilltown-spirits/hudson-new-york-corn-whiskey/,2026-05-31,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,Widow Jane Distillery,"Brooklyn, NY",Widow Jane Oak & Apple Wood Aged Rye,blended,NULL,FALSE,FALSE,Class TBD; Whiskey Distilled from a Rye Mash; Oak & Apple Wood Aged,NAS,NULL,NULL,91,45.5,Rye mash (specific percentages undisclosed),Once-used 10-year ex-bourbon barrel with oak and applewood staves,NULL,https://www.caskers.com/widow-jane-whiskey-distilled-from-a-rye-mash-oak-apple-wood-aged/ | https://widowjane.com/whiskey/oak-and-apple-wood,2026-06-23,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/w/i/widow-jane-american-oak-_-apple-wood-aged-rye-11.jpg,american_whiskey_northeast_mid_atlantic
American Whiskey,New Liberty Distillery,"Philadelphia, PA",Kinsey American Whiskey Aged 4 Years,sourced,Kinsey,TRUE,FALSE,American Whiskey; 100% Corn; Kinsey,4 Years,NULL,NULL,86.8,43.4,100% corn,Oak,NULL,https://www.newlibertydistillery.com/kinsey-american | https://www.newlibertydistillery.com/spirits,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,New Liberty Distillery,"Philadelphia, PA",Kinsey American Whiskey Aged 15 Years,sourced,Kinsey,TRUE,FALSE,American Whiskey; Kinsey,15 Years,NULL,NULL,136,68.0,NULL,NULL,NULL,https://www.newlibertydistillery.com/spirits,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
American Whiskey,New Liberty Distillery,"Philadelphia, PA",Kinsey Straight Wheat Aged 7 Years,sourced,Kinsey,TRUE,FALSE,Wheat Whiskey; Cask Strength; Kinsey Straight Wheat,7 Years,NULL,NULL,110,55.0,Wheat (straight wheat whiskey; specific percentage undisclosed),New charred oak,NULL,https://www.newlibertydistillery.com/kinsey-scotch-1-1-1 | https://www.newlibertydistillery.com/spirits,2026-06-23,NULL,american_whiskey_northeast_mid_atlantic
