spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Anise Spirits,Destilerías del Mono (Osborne Group),"Badalona, Barcelona, Spain",Anís del Mono Seco,own_make,NULL,FALSE,FALSE,Anís; Seco,NULL,NULL,NULL,80,40,NULL,NULL,NULL,"Colorless, intense fresh anise nose; dry, persistent, balanced palate of natural matalúh.",https://yourspanishcorner.com/en/liqueurs/3437-anis-del-mono-seco.html,2026-06-27,https://yourspanishcorner.com/5090-large_default/anis-del-mono-seco.jpg,anise_spirits_spain
Anise Spirits,Alcoholera de Chinchón (González Byass),"Chinchón, Madrid, Spain",Chinchón Seco,own_make,NULL,FALSE,FALSE,Anís; Chinchón Seco,NULL,NULL,NULL,80,40,NULL,NULL,NULL,"100% pot-still distilled green anise (matalahúga); dry, warm, intense anise with black-licorice aftertaste, no added sugar.",https://www.tiendagonzalezbyass.com/chinchon-seco/ES00091NV020.html,2026-06-27,https://www.tiendagonzalezbyass.com/on/demandware.static/-/Sites-gb-master-catalog/default/dw034cb553/images/large/ES00091NV013.png,anise_spirits_spain
Anise Spirits,Alcoholera de Chinchón (González Byass),"Chinchón, Madrid, Spain",Chinchón Seco Especial,own_make,NULL,FALSE,FALSE,Anís; Chinchón Seco Especial,NULL,NULL,NULL,148,74,NULL,NULL,NULL,"Special high-proof distillation; 100% green-anise pot-still, very dry, powerful anise.",https://www.tiendagonzalezbyass.com/chinchon-seco-especial/ES00078NV009.html,2026-06-27,https://www.tiendagonzalezbyass.com/on/demandware.static/-/Sites-gb-master-catalog/default/dw0d3acfba/images/large/ES00078NV007.png,anise_spirits_spain
Anise Spirits,Destilerías de Cazalla (Grupo Caballero),"Cazalla de la Sierra, Sevilla, Spain",Miura Anís Seco,own_make,NULL,FALSE,FALSE,Anís; Cazalla Seco,NULL,NULL,NULL,100,50,NULL,NULL,NULL,"Matalahúva distilled in century-old stills per Franciscan recipe; fine, delicate, bright, smooth anise palate.",https://caballero.es/tienda/bebidas-espirituosas/licores/miura-anis-seco/,2026-06-27,https://caballero.es/wp-content/uploads/sites/2/2021/12/Miura-Anis-Seco_Web.jpg,anise_spirits_spain
Anise Spirits,Destilería El Clavel (Alquitaras de Cazalla),"Cazalla de la Sierra, Sevilla, Spain",El Clavel Anís Seco,own_make,NULL,FALSE,FALSE,Anís; Cazalla Seco,NULL,NULL,NULL,98,49,NULL,NULL,NULL,"Traditional drop-by-drop Cazalla distillation (est. 1896); colorless, fine spirited anise nose with herbs/spices, dry long finish.",https://www.delclavel.com/shop/anis-seco,2026-06-27,https://static1.squarespace.com/static/596e2100b3db2b9fd0f974ab/596e229be58c62ed96691e9a/59e4bf519f8dcec59455732f/1750760786238/ANIS+SECO+opt.jpg?format=1500w,anise_spirits_spain
Anise Spirits,Destilerías Machaquito,"Rute, Córdoba, Spain",Anís Machaquito Seco,own_make,NULL,FALSE,FALSE,Anís; Rute Seco,NULL,NULL,NULL,80,40,NULL,NULL,NULL,"Colorless; double slow distillation of matalahúga in copper stills fired with olive wood; intense, potent anise.",https://andalubox.com/producto-andaluz/machaquito-anis-seco-de-rute-1-litro/,2026-06-27,https://andalubox.com/wp-content/uploads/2026/01/machaquito-seco-litro.jpg,anise_spirits_spain
Anise Spirits,Destilerías Machaquito,"Rute, Córdoba, Spain",Anís Machaquito Extra Seco Tridestilado,own_make,NULL,FALSE,FALSE,Anís; Rute Extra Seco,NULL,NULL,NULL,110,55,NULL,NULL,NULL,Triple-distilled extra-dry Rute anís for higher purity; potent dry matalahúga character.,https://diputacioncordobashopping.es/elmachaquito/anis/2545-anis-machaquito-extraseco-tridestilado-8411229001105.html,2026-06-27,https://diputacioncordobashopping.es/elmachaquito/15865-large_default/anis-machaquito-extraseco-tridestilado.jpg,anise_spirits_spain
Anise Spirits,Destilerías Raza,"Rute, Córdoba, Spain",Anís Raza Extra Seco 55º,own_make,NULL,FALSE,FALSE,Anís; Rute Extra Seco,NULL,NULL,NULL,110,55,NULL,NULL,NULL,"Artisanal bidistilled extra-dry anís from pure alcohol, anise grain and treated water; copper stills, olive-wood slow fire.",https://www.anisraza.com/producto/anis-raza-extra-seco-55o/,2026-06-27,NULL,anise_spirits_spain
Anise Spirits,Destilerías Altamirano,"Rute, Córdoba, Spain",Anís Altamirano Seco Nora 40º,own_make,NULL,FALSE,FALSE,Anís; Rute Seco,NULL,NULL,NULL,80,40,NULL,NULL,NULL,Traditional Rute dry anís (est. 1909); copper-still distilled matalahúva.,https://www.anisaltamirano.com/producto/anis-class-seco/,2026-06-27,NULL,anise_spirits_spain
Anise Spirits,Destilerías Tenis,"Monforte del Cid, Alicante, Spain",Anís Tenis Seco,own_make,NULL,FALSE,FALSE,Anís; Seco,NULL,NULL,NULL,96,48,NULL,NULL,NULL,"Best-selling anís in the Valencian Community; pure anise essence, dry style.",https://www.campoluzenoteca.com/en/anis-tenis-seco-1l-4744.html,2026-06-27,https://www.campoluzenoteca.com/2978-img_ppage/anis-tenis-seco-1l.jpg,anise_spirits_spain
Anise Spirits,Destilería La Asturiana,"Quintanar de la Orden, Toledo, Spain",Anís La Asturiana Seco,own_make,NULL,FALSE,FALSE,Anís; Seco,NULL,NULL,NULL,90,45,NULL,NULL,NULL,"Dry anise (distillery est. 1960); sober, elegant style.",https://www.bodecall.com/en/liquor-and-spirits/la-asturiana-dry-anisette-detail,2026-06-27,NULL,anise_spirits_spain
