spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Anise Spirits,Mey İçki,Turkey,Yeni Rakı,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,90,45,"Grape/raisin suma, aniseed",NULL,NULL,https://www.masterofmalt.com/spirit/yeni-raki/yeni-raki-spirit/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/27343_source_1776753643.jpg,anise_spirits_turkey
Anise Spirits,Mey İçki,Turkey,Yeni Rakı Ala,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,94,47,"Sun-dried grapes, aniseed",NULL,NULL,https://www.masterofmalt.com/spirit/yeni-raki/yeni-raki-ala-spirit/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/27345_source_1782156658.jpg,anise_spirits_turkey
Anise Spirits,Mey İçki,Turkey,Yeni Rakı Uzun Demleme,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,90,45,"100% fresh grapes, aniseed",NULL,NULL,https://www.masterofmalt.com/spirit/yeni-raki/yeni-raki-uzun-demleme-spirit/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/69826_source_1773786637.jpg?compression=lossy,anise_spirits_turkey
Anise Spirits,Mey İçki,"Tekirdağ, Turkey",Tekirdağ Rakısı,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,90,45,"100% fresh grapes, aniseed",NULL,NULL,https://www.masterofmalt.com/spirit/mey/tekirdag-raki-spirit/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/33894_source_1782432660.jpg,anise_spirits_turkey
Anise Spirits,Mey İçki,"Tekirdağ, Turkey",Tekirdağ Rakısı Gold Serisi,own_make,NULL,FALSE,FALSE,Rakı; Gold Serisi,NULL,NULL,NULL,90,45,"100% fresh grapes, aniseed",Oak,NULL,https://www.yeniraki.com/our-products/tekirdag-rakisi-gold-series,2026-06-27,https://images.ctfassets.net/1gnrqferjasf/6sIYRv1tUPqrGcHFErpnTP/6a1e1945526e2a80152b7103ec977a94/tekirdag-rakisi-gold-seri.webp,anise_spirits_turkey
Anise Spirits,Mey İçki,"Tekirdağ, Turkey",Tekirdağ Rakısı Trakya Serisi,own_make,NULL,FALSE,FALSE,Rakı; Trakya Serisi,NULL,NULL,NULL,90,45,"Papazkarası and Semillon grapes, aniseed",NULL,NULL,https://www.thewhiskyexchange.com/p/18725/tekirdag-trakya-serisi-raki,2026-06-27,https://img.thewhiskyexchange.com/540/raki_tek3.jpg,anise_spirits_turkey
Anise Spirits,Mey İçki,Turkey,Kulüp Rakı,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,100,50,"Grape/raisin suma, aniseed",NULL,NULL,https://www.finewinesellers.co.uk/kulup-raki.html,2026-06-28,NULL,anise_spirits_turkey
Anise Spirits,Mey İçki,Turkey,Altınbaş Rakı,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,100,50,"Grape/raisin suma, aniseed",NULL,NULL,https://sarap.online/produkt/altinbas-raki-07l/,2026-06-27,https://sarap.online/wp-content/uploads/2024/11/altinbas-raki-0-7l.webp,anise_spirits_turkey
Anise Spirits,Mey İçki,"İzmir, Turkey",İzmir Rakısı Yaş Üzüm,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,90,45,"Aegean fresh grapes, aniseed",NULL,NULL,https://sarap.online/produkt/izmir-raki-yaz-uezuem/,2026-06-27,https://sarap.online/wp-content/uploads/2024/08/izmir-raki-yaz-uezuem-1.webp,anise_spirits_turkey
Anise Spirits,Elda Spirits,"İzmir, Turkey",Efe Gold Premium Rakı,own_make,NULL,FALSE,FALSE,Rakı; Gold,NULL,NULL,NULL,90,45,"Grape spirit, Aegean aniseed",Oak,NULL,https://www.universalfws.com/product/p-12380-efe-gold-premium-raki/,2026-06-27,https://www.universalfws.com/wp-content/uploads/2024/08/image-product-8682392501314.jpg,anise_spirits_turkey
Anise Spirits,Elda Spirits,"İzmir, Turkey",Efe Yaş Üzüm (Fresh Grapes) Rakı,own_make,NULL,FALSE,FALSE,Rakı; Yaş Üzüm,NULL,NULL,NULL,90,45,"100% fresh Aegean grapes, aniseed",NULL,NULL,https://www.banneke.com/efe-fresh-grapes-raki-45-0-70.html,2026-06-27,https://www.banneke.com/media/catalog/product/cache/ffcef6694be3fe957d622563972bdb05/e/f/efe-fresh-grapes-raki-45-0-70-13645.jpg,anise_spirits_turkey
Anise Spirits,Elda Spirits,"İzmir, Turkey",Efe Triple Distilled Rakı (Kara Efe),own_make,NULL,FALSE,FALSE,Rakı; Triple Distilled,NULL,NULL,NULL,94,47,"Grape spirit, aniseed",Oak,NULL,https://www.banneke.com/efe-triple-distilled-raki-47-0-70.html,2026-06-27,https://www.banneke.com/media/catalog/product/cache/ffcef6694be3fe957d622563972bdb05/e/f/efe-triple-distilled-raki-47-0-70-13643_1.jpg,anise_spirits_turkey
Anise Spirits,Elda Spirits,"İzmir, Turkey",Sarı Zeybek Rakı,own_make,NULL,FALSE,FALSE,Rakı,NULL,NULL,NULL,90,45,"100% grape alcohol, aniseed",Oak,NULL,https://bottlebuzz.com/products/1-sari-zeybek-turkish-raki-750-ml,2026-06-27,https://bottlebuzz.com/cdn/shop/files/sari-zeybek-turkish-raki-126875.jpg?v=1730931678,anise_spirits_turkey
Anise Spirits,Sarper,Turkey,Beylerbeyi Göbek Rakı,own_make,NULL,FALSE,FALSE,Rakı; Göbek,NULL,NULL,NULL,90,45,"Aegean grape distillate, Kalınkoz anise",NULL,NULL,https://theliquorbarn.com/products/beylerbeyi-gobek-raki-750ml,2026-06-27,https://theliquorbarn.com/cdn/shop/files/Beylerbeyi-Gobek-Raki__69336.jpg?v=1730519674,anise_spirits_turkey
Anise Spirits,Burgaz Rakı,"Antalya, Turkey",Burgaz Rakı Export,own_make,NULL,FALSE,FALSE,Rakı; Export,NULL,NULL,NULL,90,45,"Fresh-grape suma, wheat ethyl alcohol, aniseed",NULL,NULL,https://tekel-shop.de/produkt/burgaz-raki-export-07l/,2026-06-27,https://tekel-shop.de/wp-content/uploads/2024/12/burgaz-raki-export-0-7l-1.jpg,anise_spirits_turkey
Anise Spirits,Mercan,Turkey,Mercan Göbek Rakı,own_make,NULL,FALSE,FALSE,Rakı; Göbek,NULL,NULL,NULL,90,45,"Aegean Sultani grapes, Çeşme anise",NULL,NULL,https://libraryofspirits.com/product/mercan-gobek-raki-5/,2026-06-27,https://libraryofspirits.com/wp-content/uploads/2025/08/Mercan-Raki-1L.jpg,anise_spirits_turkey
