spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Armagnac,Domaine Boingnères,"Le Frêche, France",Boingnères,own_make,NULL,FALSE,FALSE,Bas-Armagnac; Vieille Réserve; Réserve Spéciale,NULL,NULL,FR-XBG-01-NV,96,48,"Folle Blanche, Colombard, Ugni Blanc",NULL,NULL,"Dried apricot, cocoa, coffee, and spice notes highlight this excellent entry-level blend. Reduced with water very slightly to 48% ABV, its pure flavors have excellent staying power on the palate. A blend of folle blanche, colombard, and ugni blanc, between 5 and 10 years old.",https://www.charlesnealselections.com/domaine-boingnegraveres.html; https://www.skurnik.com/producer/domaine-boingneres/,2026-06-28,NULL,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Cépages Nobles,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Cépages Nobles",NULL,1972,NULL,94,47,NULL,NULL,NULL,"A cask strength 1972 vintage armagnac from traditional producer Domaine Boingneres, who use a high proportion of the seldom-seen Folle Blanche grape in their assemblage.",https://www.thewhiskyexchange.com/p/14679/domaine-boingneres-1972-bas-armagnac-cepages-nobles,2026-06-26,https://img.thewhiskyexchange.com/540/armag_boi8.jpg,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Cépages Nobles,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Cépages Nobles",NULL,1979,NULL,96,48,NULL,NULL,NULL,NULL,https://www.thewhiskyexchange.com/p/30041/domaine-boingneres-1979-bas-armagnac-cepages-nobles,2026-06-26,https://img.thewhiskyexchange.com/540/armag_boi17.jpg,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Cépages Nobles,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Cépages Nobles",NULL,1985,FR-XBG-03-85,98,49,"Ugni Blanc, Colombard, Folle Blanche",Used 420-liter French oak casks,NULL,"A nose of vanilla custard and maple syrup transitions to a palate of leather and tobacco leaf. A whisper of banana pudding gives way to lemon oil and a hint of copper on the finish. Distilled in 1985 on a gas-fueled copper alambic Armagnacais column still; cépages approximately one-third each of Ugni Blanc, Colombard, and Folle Blanche.",https://www.skurnik.com/sku/armagnac-cepages-nobles-domaine-boingneres/; https://www.charlesnealselections.com/domaine-boingnegraveres.html,2026-06-14,NULL,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Boingnères,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Ugni Blanc",NULL,1969,FR-XBG-06-69,NULL,NULL,Ugni Blanc 100%,NULL,NULL,NULL,https://www.skurnik.com/producer/domaine-boingneres/; https://www.charlesnealselections.com/domaine-boingnegraveres.html,2026-06-28,NULL,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Boingnères,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Baco",NULL,1975,NULL,NULL,NULL,Baco 100%,NULL,NULL,NULL,https://www.charlesnealselections.com/domaine-boingnegraveres.html,2026-06-28,NULL,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Boingnères,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Folle Blanche",NULL,1981,FR-XBG-05-81,96,48,Folle Blanche 100%,NULL,NULL,"Light copper, with a complex floral bouquet of rose and almond blossom along with aromas of fig and candied orange that roll onto the palate, developing seamlessly into gingerbread on the midpalate and finishing fresh with notes of mint and licorice. Pretty, delicate, yet still dense and intense.",https://shop.klwines.com/products/details/1372363; https://www.thewhiskyexchange.com/p/14588/domaine-boingneres-1981-bas-armagnac-folle-blanche,2026-06-26,https://img.thewhiskyexchange.com/540/armag_boi7.jpg,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Boingnères,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Folle Blanche",NULL,1986,NULL,98,49,Folle Blanche 100%,NULL,NULL,"Deep amber color. Dried orange fruits on the nose, along with some coffee and chocolate cream notes. The palate is fine and seamless; spice notes ride along the fruit rich in glycerin, and the flavors, rich in alcohol and oak, stay on the palate for several minutes.",https://www.thewhiskyexchange.com/p/30042/domaine-boingneres-1986-bas-armagnac-folle-blanche; https://www.charlesnealselections.com/domaine-boingnegraveres.html,2026-06-26,https://img.thewhiskyexchange.com/540/armag_boi18.jpg,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Boingnères,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Cask Strength; Folle Blanche",NULL,2001,NULL,NULL,NULL,Folle Blanche 100%,NULL,NULL,"Deep amber. Vanilla scented oak, mocha, and spice on the nose. Toffee, creamy orange and even more spice on the palate. The finish is flavorful, round, and long.",https://www.charlesnealselections.com/domaine-boingnegraveres.html,2026-06-28,NULL,armagnac_france
Armagnac,Domaine Boingnères,"Le Frêche, France",Boingnères,own_make,NULL,FALSE,FALSE,"Bas-Armagnac; Millésime, Single Cask, Cask Strength; Folle Blanche",NULL,2007,FR-XBG-07-07,NULL,NULL,Folle Blanche 100%,NULL,NULL,"Amber. Floral aromas, along with mocha and vanilla on the nose; on the palate, dried fruit (apricot, orange) glide across the palate, with a burst of alcohol and spice on the finish. The finish is long. This young, unadulterated armagnac is pure, intense, and explosive. A combination of two folle blanche barrels from 2007, 500 bottles bottled at cask strength without filtration.",https://www.charlesnealselections.com/domaine-boingnegraveres.html; https://www.skurnik.com/producer/domaine-boingneres/,2026-06-28,NULL,armagnac_france
Armagnac,Château du Tariquet,"Éauze, France",Tariquet,own_make,NULL,FALSE,FALSE,Bas-Armagnac; VS; VS Classique,NULL,NULL,NULL,80,40,"Ugni Blanc 60%, Baco 40%",NULL,NULL,"A nose of spice and blonde caramel, with nuances of quince paste, toast and cinnamon. On the palate, peppery orange zest evolves into even more caramel alongside roasted apples. A finish of chocolate and liquorice. Aged 3 to 5 years.",https://www.tariquet.com/en/the-traditonal-range/,2026-06-14,NULL,armagnac_france
Armagnac,Château du Tariquet,"Éauze, France",Tariquet,own_make,NULL,FALSE,FALSE,Bas-Armagnac; VSOP,NULL,NULL,NULL,80,40,"Ugni Blanc 60%, Baco 40%",NULL,NULL,"A deep amber colour. A lively nose, both ripe and floral which gives off an almost minty freshness. The attack is round, and its intensity increases with notes of oaky spices with hints of fresh mint. The finish is enriched with nuances of liquorice and macerated fruit. Aged 5 to 7 years.",https://www.tariquet.com/en/the-traditonal-range/,2026-06-14,NULL,armagnac_france
