spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",George Remus Bourbon,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,NULL,94,47,NULL,New charred American white oak,NULL,https://remusbourbon.com/the-bourbons/remus-bourbon/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",George Remus 6-Year Rye Bourbon,own_make,NULL,FALSE,FALSE,Straight Bourbon,6 Years,NULL,NULL,NULL,NULL,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/6-year-rye-bourbon/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series I,94,47,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series II,100,50,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series III,100,50,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series IV,100,50,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series V,100,50,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series VI,100,50,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series VII,100,50,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
Bourbon,Ross & Squibb Distillery,"Lawrenceburg, IN",Remus Repeal Reserve,own_make,NULL,FALSE,FALSE,Straight Bourbon,NULL,NULL,Series VIII,101,50.5,NULL,New charred American oak,NULL,https://remusbourbon.com/the-bourbons/repeal-reserve/,2026-06-26,NULL,bourbon_indiana
