spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Bourbon,Bardstown Bourbon Company,Bardstown KY,Origin Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,6 Years,,,96,48.0,Corn 60% / Rye 36% / Malted Barley 4%,New charred American oak,,https://www.bardstownbourbon.com/our-products/;https://www.breakingbourbon.com/review/bardstown-bourbon-company-origin-series-bottled-in-bond-bourbon;https://www.mensjournal.com/drink/bardstown-bourbon-company-origin-series-estate-distilled-lineup,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/63f90f9abdfb0c65e4916cc8_Bardstown-Bourbon-Origin-BiB-Bourbon-01.jpg,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Origin Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Wheated Bottled-in-Bond,6 Years,,,100,50.0,Corn 68% / Wheat 20% / Malted Barley 12%,New charred American oak,,https://www.bardstownbourbon.com/products/origin-series-wheated-bottled-in-bond/;https://www.breakingbourbon.com/review/bardstown-bourbon-company-origin-series-bottled-in-bond-bourbon,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/63f90f9abdfb0c65e4916cc8_Bardstown-Bourbon-Origin-BiB-Bourbon-01.jpg,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Origin Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; High Wheat Bourbon,6 Years,,,106,53.0,Corn 53% / Wheat 39% / Malted Barley 8%,New charred American oak,,https://www.bardstownbourbon.com/our-products/;https://www.breakingbourbon.com/review/bardstown-bourbon-company-origin-series-high-wheat-bourbon,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/67321ad4fd718c21c0784587_Bardstown-Bourbon-Company-Origin-Series-High-Wheat-Bourbon-01.jpg,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Discovery Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,#1,121.2,60.6,,,,https://whiskyadvocate.com/Bardstown-Bourbon-Company-Discovery-Series-N1-Kentucky-Straight-Bourbon-60-61;https://www.bardstownbourbon.com/legacy-releases/,2026-06-26,NULL,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Discovery Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,#2,121.2,60.6,,,,https://www.bardstownbourbon.com/products/discovery-series-2/;https://www.breakingbourbon.com/review/bardstown-bourbon-company-discovery-series-2,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/5f14deeb9065452c82f4e129_Bardstown-Bourbon-Company-Discovery-Series-01a.jpg,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Discovery Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,#3,110,55.0,,,,https://www.drinkhacker.com/2020/10/23/review-bardstown-bourbon-company-fusion-series-3-and-discovery-series-3/;https://www.bardstownbourbon.com/legacy-releases/,2026-06-26,NULL,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Discovery Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,#4,115,57.5,,,,https://the-right-spirit.com/2021/06/22/on-familiar-tastes-pt2-bardstown-bourbon-company-discovery-series-4/;https://www.bardstownbourbon.com/legacy-releases/,2026-06-26,https://i0.wp.com/the-right-spirit.com/wp-content/uploads/2021/05/img_3797.jpeg,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Discovery Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,#5,104.7,52.35,,,,https://www.drinkhacker.com/2021/10/06/review-bardstown-bourbon-fusion-series-5-and-discovery-series-5/;https://www.bardstownbourbon.com/legacy-releases/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2021/08/BBCo.-Discovery-2021-e1630014437997.jpg,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Discovery Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,#11,118.1,59.05,,,,https://www.bardstownbourbon.com/products/discovery-series-11/;https://www.breakingbourbon.com/review/bardstown-bourbon-company-discovery-series-11;https://shop.klwines.com/products/details/1725709,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/655b747d4b3c2b4903b47afa_bardstown-bourbon-company-discovery-11-01.jpg,bourbon_kentucky_craft
Bourbon,Bardstown Bourbon Company,Bardstown KY,Discovery Series,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,#12,115.2,57.6,,,,https://www.breakingbourbon.com/review/bardstown-bourbon-company-discovery-series-12;https://thebourbonculture.com/whiskey-reviews/bardstown-bourbon-company-discovery-series-12-review/,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/67166ee3e5f93bc6aa62f861_Bardstown-Bourbon-Company-Discovery-Series-12-01.jpg,bourbon_kentucky_craft
