spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Buffalo Trace,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,NAS,,,90,45.0,,New charred American oak,,https://www.breakingbourbon.com/review/buffalo-trace-bourbon,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/66a10cb6b0a6c3a227eae998_Buffalo-Trace-Bourbon-2024-01.jpg,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon,10 Years,,,90,45.0,,New charred American oak,,https://distiller.com/spirits/eagle-rare-10-year-old-bourbon,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2019,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2020,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2021,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2022,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2023,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2024,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2025,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
Bourbon,Buffalo Trace Distillery,"Frankfort, KY",Eagle Rare,own_make,NULL,FALSE,FALSE,Kentucky Straight Bourbon; ; Double Eagle Very Rare,20 Years,2026,,101,50.5,,New charred American oak,,https://americanwhiskeymag.com/articles/buffalo-trace-releases-double-eagle-very-rare-bourbon/; https://www.distillerytrail.com/blog/buffalo-trace-releases-3rd-edition-of-20-year-old-double-eagle-very-rare-bourbon-will-cost-100-year/,2026-06-26,NULL,bourbon_kentucky_majors
