spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; Small Batch,,,,94,47.0,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak,,https://garrisonbourbon.com/our-bourbon/;https://www.thespiritseducator.com/garrison-brothers,2026-06-26,http://static1.squarespace.com/static/5a45987c8c56a8a1cd19473c/t/61ca380081b5655c63de0623/1640642570436/Facebook-GB+BOTTLING+2021-22.jpg,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; Single Barrel,,,,94,47.0,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak,,https://garrisonbourbon.com/our-bourbon/;https://sipwhiskey.com/products/garrison-brothers-single-barrel,2026-06-26,http://sipwhiskey.com/cdn/shop/files/BuyGarrisonBrothersSingleBarrelOnline.jpg,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; ; Cowboy Bourbon,,2024,,140.2,70.1,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak,,https://garrisonbourbon.com/cowboy-bourbon/;https://www.breakingbourbon.com/review/garrison-brothers-cowboy-bourbon-2025,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/6953e1bfa8fc50e70e09dfa8_garrison-brothers-cowboy-bourbon-2025-01.jpg,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; ; Cowboy Bourbon,,2025,,146.4,73.2,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak,,https://garrisonbourbon.com/cowboy-bourbon/;https://www.mensjournal.com/drink/garrison-brothers-2025-cowboy-bourbon,2026-06-26,https://www.mensjournal.com/.image/NDI6MDAwMDAwMDAxMDMxNzc4/garrison-brothers-cowboy-bourbon-hero.jpg,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; ; Balmorhea,,,,115,57.5,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak (twice-barreled: #3 char then #4 char),,https://garrisonbourbon.com/balmorhea-bourbon/;https://www.garrisonbros.com/our-babies/balmorhea/,2026-06-26,https://garrisonbourbon.com/wp-content/uploads/2023/07/BAL_Hero_040723_White.png,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,TRUE,Straight Bourbon; ; Balmorhea Single Barrel Cask Strength,,,,,,,New charred American oak (twice-barreled),,https://www.breakingbourbon.com/review/garrison-brothers-balmorhea-single-barrel-cask-strength-bourbon,2026-06-26,NULL,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; ; Laguna Madre,8 Years,,,101,50.5,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak,Limousin oak,https://garrisonbourbon.com/laguna-madre-bourbon/;https://www.garrisonbros.com/our-babies/laguna-madre/,2026-06-26,https://garrisonbourbon.com/wp-content/uploads/2024/12/2024-Laguna-Madre-FlatsWorthy_LEE9825-2.jpg,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; ; Guadalupe,,2024,,107,53.5,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak,Tawny Port,https://www.breakingbourbon.com/review/garrison-brothers-guadalupe-2024;https://craftspiritsmag.com/2025/06/12/garrison-brothers-releases-2025-guadalupe-bourbon-benefitting-gulf-trust/,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/65e87da277b7cc367a07f4ac_Garrison-Brothers-Guadalupe-2024-01.jpg,bourbon_other_states
Bourbon,Garrison Brothers Distillery,"Hye, TX",Garrison Brothers,own_make,NULL,FALSE,FALSE,Straight Bourbon; ; Guadalupe,,2025,,107,53.5,Corn 74% / Red Winter Wheat 15% / Malted Barley 11%,New charred American oak,Tawny Port,https://craftspiritsmag.com/2025/06/12/garrison-brothers-releases-2025-guadalupe-bourbon-benefitting-gulf-trust/;https://www.breakingbourbon.com/review/garrison-brothers-guadalupe-2025,2026-06-26,https://craftspiritsmag.com/wp-content/uploads/2025/06/2025-Guadalupe-Vertical-1200x630.jpg,bourbon_other_states
Bourbon,Balcones Distilling,"Waco, TX",Balcones,own_make,NULL,FALSE,FALSE,Straight Bourbon; ; Texas Pot Still Bourbon,NAS,,,92,46.0,4-grain (proportions undisclosed),New charred American oak,,https://www.balconesdistilling.com/our-whisky;https://thewhiskeywash.com/reviews/whiskey-review-balcones-texas-pot-still-bourbon/,2026-06-26,NULL,bourbon_other_states
