spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; Reserve,,,,107.8,53.9,,New charred American oak,,https://greenbrierdistillery.com/products/nelson-bros-reserve;https://www.breakingbourbon.com/review/nelson-brothers-reserve-bourbon,2026-06-26,https://cdn.prod.website-files.com/5ace2bae31f6d3c07d267cb9/63876d600c1da0461a0ac482_Nelson-Brothers-Reserve-Bourbon-01.jpg,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; Cognac Cask Finish,,,,96.7,48.35,,New charred American oak,Cognac,https://greenbrierdistillery.com/pages/cask-series;https://internetwines.com/products/nelson-brothers-cognac-cask-finish,2026-05-23,NULL,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; ; Sherry Cask Finish,,,,101.5,50.75,,New charred American oak,Sherry,https://greenbrierdistillery.com/pages/cask-series;https://www.thebarreltap.com/products/nelson-brothers-sherry-cask-finished-bourbon-whiskey,2026-06-26,http://www.thebarreltap.com/cdn/shop/files/NelsonBrothersSherryCaskFinishedBourbonWhiskey750mL.webp,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; Madeira Cask Finish,,,,101.3,50.65,,New charred American oak,Madeira,https://greenbrierdistillery.com/pages/cask-series,2026-06-26,NULL,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; ; Sauternes Cask Finish,,,,105.3,52.65,,New charred American oak,Sauternes,https://greenbrierdistillery.com/pages/cask-series,2026-06-26,NULL,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; ; Black Brier Imperial Stout Cask Finish,,2024,,106,53,,New charred American oak,Imperial Stout,https://greenbrierdistillery.com/pages/cask-series;https://www.buymyliquor.com/products/nelson-bros-black-brier-bourbon-finished-in-imperial-stout-casks;https://www.amongstthewhiskey.com/post/nelson-bros-whiskey-black-brier-stout-cask-finished-bourbon-review,2026-06-26,http://www.buymyliquor.com/cdn/shop/files/nelson-bros-black-brier-bourbon-finished-in-imperial-stout-casks-5476004.webp,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; ; Mourvèdre Cask Finish,,,,107.5,53.75,,New charred American oak,Mourvèdre,https://greenbrierdistillery.com/pages/cask-series,2026-06-26,NULL,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; ; Calvados Cask Finish,,,,106.8,53.4,,New charred American oak,Calvados,https://greenbrierdistillery.com/pages/cask-series,2026-06-26,NULL,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; Honey Cask Finish,,2024,,,,,New charred American oak,Honey,https://greenbrierdistillery.com/pages/cask-series;https://www.drinkhacker.com/2024/08/14/review-nelson-bros-whiskey-honey-cask-finish-2024/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2024/07/Nelson-Brothers-Honey-Cask-Finish-2024.png,bourbon_tennessee_bourbon
Bourbon,Nelson's Green Brier Distillery,Nashville TN,Nelson Brothers,own_make,NULL,FALSE,FALSE,Tennessee Bourbon; Honey Cask Finish,,2025,,116.3,58.15,,New charred American oak,Honey,https://greenbrierdistillery.com/pages/cask-series,2026-06-26,NULL,bourbon_tennessee_bourbon
