spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; 3 Stars,3 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/3-years/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; 5 Stars,5 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/5-years/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Ani,6 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/ani/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Ani,7 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/ani/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Otborny,7 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/otborny/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Akhtamar,10 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/akhtamar/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Dvin,10 Years,NULL,NULL,100.0,50.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/dvin/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Vaspurakan,15 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/vaspurakan/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Nairi,20 Years,NULL,NULL,80.0,40.0,NULL,Caucasian oak,NULL,https://araratbrandy.com/en/our-collection/nairi/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
Brandy,Yerevan Brandy Company,"Yerevan, Armenia",ARARAT,own_make,NULL,FALSE,FALSE,Brandy; Erebuni,30 Years,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,https://araratbrandy.com/en/our-collection/erebuni-30/; https://www.masterofmalt.com/distilleries/yerevan-brandy-company-distillery/,2026-06-26,NULL,brandy_armenia
