spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Reisetbauer,"Axberg, Austria",Reisetbauer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Williamsbirne,NULL,NULL,NULL,83,41.5,NULL,NULL,NULL,https://www.reisetbauer.at/; https://geisels-weingalerie.de/Williamsbrand-Reisetbauer-41-5-Vol.-0-35-L/230126,2026-06-26,"https://geisels-weingalerie.de/media/a0/08/fc/1727503213/20240926%20Williams%20Reisetbauer%200,35L%20H36,3cm.png",brandy_austria
Brandy,Reisetbauer,"Axberg, Austria",Reisetbauer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Marille,NULL,NULL,NULL,84,42.0,NULL,NULL,NULL,https://www.reisetbauer.at/; https://geisels-weingalerie.de/Marillenbrand-Reisetbauer-42-Vol.-0-35-L/230122,2026-06-26,"https://geisels-weingalerie.de/media/30/09/e5/1727503218/20240926%20Marille%20Reisetbauer%200,35L%20H36,3cm.png",brandy_austria
Brandy,Reisetbauer,"Axberg, Austria",Reisetbauer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Kirsche,NULL,NULL,NULL,83,41.5,NULL,NULL,NULL,https://www.reisetbauer.at/; https://www.grappa.de/Reisetbauer-Kirschenbrand-035-Liter-415-Vol.html,2026-06-26,https://www.grappa.de/pic/17012p.jpg,brandy_austria
Brandy,Reisetbauer,"Axberg, Austria",Reisetbauer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Vogelbeere,NULL,NULL,NULL,83,41.5,NULL,NULL,NULL,https://www.reisetbauer.at/; https://www.weisshaus.at/details/reisetbauer-vogelbeer-brand-41-5-vol.-0-35l,2026-06-26,https://www.weisshaus.at/media/90/36/50/1708865640/1007747514-Reisetbauer-Vogelbeer-Brand-41-5-vol-0-35l-38968.jpg,brandy_austria
Brandy,Reisetbauer,"Axberg, Austria",Reisetbauer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Quitte,NULL,NULL,NULL,83,41.5,NULL,NULL,NULL,https://www.reisetbauer.at/; https://geisels-weingalerie.de/Quittenbrand-Reisetbauer-41-5-Vol.-0-35-L/230128,2026-06-26,"https://geisels-weingalerie.de/media/fc/0d/6a/1727503210/20240926%20Quitte%20Reisetbauer%200,35L%20H36,3cm.png",brandy_austria
Brandy,Reisetbauer,"Axberg, Austria",Reisetbauer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Apfel im Eichenfass,NULL,NULL,NULL,88,44.0,NULL,Oak cask,NULL,https://www.reisetbauer.at/; https://geisels-weingalerie.de/Apfelbrand-in-Eichenfass-Reisetbauer-35L-44-Vol.-0-35-L/230119,2026-06-26,"https://geisels-weingalerie.de/media/fc/d7/1d/1727530807/20240926%20Apfel%20Eichenfass%20Reisetbauer%200,35L%20H36,3cm.png",brandy_austria
Brandy,Rochelt,"Fritzens, Austria",Rochelt,own_make,NULL,FALSE,FALSE,Eau-de-vie; Williams Pear,NULL,NULL,NULL,100,50.0,NULL,NULL,NULL,https://www.rochelt.com/en/; https://www.rochelt.com/en/variety/williams-pear/,2026-06-26,https://www.rochelt.com/wp-content/uploads/2020/03/Rochelt_Illustrationen_williamsbirne.png,brandy_austria
Brandy,Rochelt,"Fritzens, Austria",Rochelt,own_make,NULL,FALSE,FALSE,Eau-de-vie; Wachau Apricot,NULL,NULL,NULL,100,50.0,NULL,NULL,NULL,https://www.rochelt.com/en/; https://www.rochelt.com/en/variety/wachau-apricot/,2026-06-26,https://www.rochelt.com/wp-content/uploads/2020/03/Rochelt_Illustrationen_Marille.png,brandy_austria
Brandy,Rochelt,"Fritzens, Austria",Rochelt,own_make,NULL,FALSE,FALSE,Eau-de-vie; Gravenstein Apple,NULL,NULL,NULL,100,50.0,NULL,NULL,NULL,https://www.rochelt.com/en/; https://www.rochelt.com/en/variety/gravenstein-apple/,2026-06-26,https://www.rochelt.com/wp-content/uploads/2020/03/Rochelt_Illustrationen_gravensteiner_apfel.png,brandy_austria
Brandy,Rochelt,"Fritzens, Austria",Rochelt,own_make,NULL,FALSE,FALSE,Eau-de-vie; Quince,NULL,NULL,NULL,100,50.0,NULL,NULL,NULL,https://www.rochelt.com/en/; https://www.rochelt.com/en/variety/quince/,2026-06-26,https://www.rochelt.com/wp-content/uploads/2020/03/Rochelt_Illustrationen_quitte.png,brandy_austria
Brandy,Rochelt,"Fritzens, Austria",Rochelt,own_make,NULL,FALSE,FALSE,Eau-de-vie; Morello Cherry,NULL,NULL,NULL,100,50.0,NULL,NULL,NULL,https://www.rochelt.com/en/; https://www.rochelt.com/en/variety/morello-cherry/,2026-06-26,https://www.rochelt.com/wp-content/uploads/2020/03/Rochelt_Illustrationen_weichsel.png,brandy_austria
Brandy,Rochelt,"Fritzens, Austria",Rochelt,own_make,NULL,FALSE,FALSE,Eau-de-vie; Wild Rowanberry,NULL,NULL,NULL,100,50.0,NULL,NULL,NULL,https://www.rochelt.com/en/; https://www.rochelt.com/en/variety/wild-rowanberry/,2026-06-26,https://www.rochelt.com/wp-content/uploads/2020/03/Rochelt_Illustrationen_vogelbeere.png,brandy_austria
