spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Distillerie Massenez,"Dieffenbach-au-Val, France",Massenez,own_make,NULL,FALSE,FALSE,Eau-de-vie; Kirsch Vieux,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,https://www.tanners-wines.co.uk/products/eau-de-vie-de-kirsch-vieux-massenez-40-vol; https://en.massenez.com/,2026-06-26,http://www.tanners-wines.co.uk/cdn/shop/files/WL136_1cc0c19f-dcda-48c4-b1d0-ea70cc1e140c.jpg,brandy_france
Brandy,Distillerie Massenez,"Dieffenbach-au-Val, France",Massenez,own_make,NULL,FALSE,FALSE,Eau-de-vie; Poire Williams,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,https://www.closdesspiritueux.com/27651-clos-des-millesimes-distillerie-massenez---eau-de-vie---poire-williams-vep---40.html; https://en.massenez.com/,2026-06-26,NULL,brandy_france
Brandy,Distillerie Massenez,"Dieffenbach-au-Val, France",Massenez,own_make,NULL,FALSE,FALSE,Eau-de-vie; Framboise Sauvage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://en.massenez.com/; https://www.sommeliers-international.com/en/Portraits-of-Winegrowers/massenez_-a-centenary-know-how.aspx,2026-06-26,NULL,brandy_france
Brandy,Distillerie Mette,"Ribeauvillé, France",Mette,own_make,NULL,FALSE,FALSE,Eau-de-vie; Poire Williams,NULL,NULL,NULL,84,42.0,NULL,NULL,NULL,https://www.skurnik.com/sku/poire-williams-pear-eau-de-vie-distillerie-mette/; https://www.distillerie-mette.com/en/,2026-06-13,https://www.skurnik.com/wp-content/uploads/1980/06/poire-williams-pear-eau-de-vie-distillerie-mette-4.jpg,brandy_france
Brandy,Distillerie Mette,"Ribeauvillé, France",Mette,own_make,NULL,FALSE,FALSE,Eau-de-vie; Framboise Sauvage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.skurnik.com/sku/framboise-sauvage-raspberry-eau-de-vie-distillerie-mette/; https://www.distillerie-mette.com/en/,2026-06-26,https://www.skurnik.com/wp-content/uploads/1980/06/framboise-sauvage-raspberry-eau-de-vie-distillerie-mette-2.jpg,brandy_france
Brandy,Distillerie Mette,"Ribeauvillé, France",Mette,own_make,NULL,FALSE,FALSE,Eau-de-vie; Kirsch,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.skurnik.com/producer/distillerie-mette/; https://www.distillerie-mette.com/en/,2026-06-28,NULL,brandy_france
Brandy,Distillerie Mette,"Ribeauvillé, France",Mette,own_make,NULL,FALSE,FALSE,Eau-de-vie; Abricot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.skurnik.com/producer/distillerie-mette/; https://www.distillerie-mette.com/en/,2026-06-28,NULL,brandy_france
Brandy,F.E. Trimbach,"Ribeauvillé, France",Trimbach,own_make,NULL,FALSE,FALSE,Eau-de-vie; Poire Williams,NULL,NULL,NULL,86,43.0,NULL,NULL,NULL,https://www.obstler.de/Trimbach-Eau-de-Vie-de-Poire-Williams-07l-43.html; https://www.cellartracker.com/wine.asp?iWine=525209,2026-06-26,https://www.obstler.de/pic/2007501p.jpg,brandy_france
Brandy,F.E. Trimbach,"Ribeauvillé, France",Trimbach,own_make,NULL,FALSE,FALSE,Eau-de-vie; Framboise; Grande Réserve,NULL,NULL,NULL,90,45.0,NULL,NULL,NULL,https://aproposwein.com/produkt/eau-de-vie-framboise-45-07l-f-e-trimbach/; https://www.domainefraney.com/products/13363105/trimbach-grande-reserve-eau-de-vie-de-framboise,2026-06-26,NULL,brandy_france
Brandy,F.E. Trimbach,"Ribeauvillé, France",Trimbach,own_make,NULL,FALSE,FALSE,Eau-de-vie; Mirabelle,NULL,NULL,NULL,86,43.0,NULL,NULL,NULL,https://www.obstler.de/Trimbach-Eau-de-Vie-de-Poire-Mirabelle-07l-43.html; https://cellar.com/products/trimbach-mirabelle-eau-de-vie-plum-brandy-grande-reserve-older-bottling-4-5-quart,2026-06-28,NULL,brandy_france
