spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; 3 Stars,NULL,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,NULL,https://www.sarajishvili.com/3star; https://www.sarajishvili.com/classic-line,2026-06-26,"https://static.wixstatic.com/media/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png/v1/fit/w_2500,h_1330,al_c/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png",brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; 5 Stars,NULL,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,NULL,https://www.sarajishvili.com/5star; https://www.sarajishvili.com/classic-line,2026-06-26,"https://static.wixstatic.com/media/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png/v1/fit/w_2500,h_1330,al_c/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png",brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; VS,NULL,NULL,NULL,80.0,40.0,NULL,French oak,NULL,"Blended from indigenous Georgian grape distillates (Chinuri, Tsitska, Goruli Mtsvane, Kakhuri Mtsvane), aged in French oak.",https://www.sarajishvili.com/vs; https://www.bondston.com/sarajishvili-vsop-p6293,2026-06-26,http://images-svetnapojov-cdn.rshop.sk/facebook/products/0131ed2ce0ba4fcf55c8e4dcf96892ea.png,brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; VSOP,NULL,NULL,NULL,80.0,40.0,NULL,French oak,NULL,Oldest component of the blend is 12 years old.,https://www.sarajishvili.com/vsop; https://www.bondston.com/sarajishvili-vsop-p6293,2026-06-26,http://images-svetnapojov-cdn.rshop.sk/facebook/products/0131ed2ce0ba4fcf55c8e4dcf96892ea.png,brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; XO,NULL,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,"Assembled from 15 wine-brandy distillates, average maturation 14-18 years; dark amber, notes of vanilla, chocolate, oak, almond, leather.",https://www.sarajishvili.com/xo; https://www.bondston.com/sarajishvili-xo-p4430,2026-06-26,http://images-svetnapojov-cdn.rshop.sk/facebook/products/bd71720f92200f79387a667248714c8d.jpg,brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; Extra,NULL,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,NULL,https://www.sarajishvili.com/copy-of-extra; https://www.sarajishvili.com/classic-line,2026-06-26,"https://static.wixstatic.com/media/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png/v1/fit/w_2500,h_1330,al_c/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png",brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; XO Black,NULL,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,NULL,https://www.sarajishvili.com/xoblack; https://www.sarajishvili.com/classic-line,2026-06-26,"https://static.wixstatic.com/media/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png/v1/fit/w_2500,h_1330,al_c/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png",brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; VSOP Black,NULL,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,NULL,https://www.sarajishvili.com/vsopblack; https://www.sarajishvili.com/classic-line,2026-06-26,"https://static.wixstatic.com/media/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png/v1/fit/w_2500,h_1330,al_c/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png",brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; Tikhari,NULL,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,NULL,https://www.sarajishvili.com/tikhari; https://www.sarajishvili.com/classic-line,2026-06-26,"https://static.wixstatic.com/media/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png/v1/fit/w_2500,h_1330,al_c/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png",brandy_georgia
Brandy,Sarajishvili,"Tbilisi, Georgia",Sarajishvili,own_make,NULL,FALSE,FALSE,Brandy; Vintage,NULL,1941,NULL,NULL,NULL,NULL,Oak casks,NULL,"Kakheti (Ikalto-Kurdgelauri, Tsinandali); Rkatsiteli, Mtsvane. Dried fruit, honey, bread crust, slight vanilla and chocolate; rich, velvety.",https://www.sarajishvili.com/vintage-line,2026-06-26,"https://static.wixstatic.com/media/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png/v1/fit/w_2500,h_1330,al_c/564aa0_7d1817cba05444fa8d383f9ff4ef8983~mv2.png",brandy_georgia
