spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Asbach,"Rüdesheim am Rhein, Germany",Asbach,own_make,NULL,FALSE,FALSE,Brandy; Uralt,NAS,NULL,NULL,76,38.0,NULL,Limousin oak,NULL,https://www.weisshaus.de/hersteller/asbach/; https://farehamwinecellar.co.uk/Products/spirit/brandy/german-brandy-brandy/asbach-uralt-german-brandy/,2026-06-28,NULL,brandy_germany
Brandy,Asbach,"Rüdesheim am Rhein, Germany",Asbach,own_make,NULL,FALSE,FALSE,Brandy; Privatbrand 8 Years,8 Years,NULL,NULL,80,40.0,NULL,Limousin oak; German oak casks,NULL,https://www.weisshaus.de/details/asbach-8-yo-privatbrand-40-vol.-0-70l; https://www.totalwine.com/spirits/brandy-cognac/brandy/asbach-privatbrand-8-yr/p/141539750,2026-06-26,https://www.weisshaus.de/media/ed/22/41/1763115023/A5002120-Asbach-8-YO-Privatbrand-40-vol-0-70l-51815.jpg,brandy_germany
Brandy,Asbach,"Rüdesheim am Rhein, Germany",Asbach,own_make,NULL,FALSE,FALSE,Brandy; Spezialbrand 15 Years,15 Years,NULL,NULL,80,40.0,NULL,Limousin oak,NULL,https://farehamwinecellar.co.uk/Products/spirit/brandy/german-brandy-brandy/asbach-15-year-old-brandy/; https://www.thewhiskyexchange.com/p/994/asbach-15-year-old-brandy,2026-06-26,https://farehamwinecellar.co.uk/wp-content/uploads/2024/07/Asbach-15-Year-Old-Brandy-40-2.jpg,brandy_germany
Brandy,Asbach,"Rüdesheim am Rhein, Germany",Asbach,own_make,NULL,FALSE,FALSE,Brandy; Selection 21 Years,21 Years,NULL,NULL,NULL,NULL,NULL,Limousin oak,NULL,https://www.thewhiskyexchange.com/p/994/asbach-15-year-old-brandy; https://flaviar.com/products/asbach-spezialbrand-15yo-750,2026-06-26,NULL,brandy_germany
Brandy,Emil Scheibel Schwarzwald-Brennerei,"Kappelrodeck, Germany",Scheibel,own_make,NULL,FALSE,FALSE,Eau-de-vie; Premium Williams,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,https://www.scheibel-brennerei.de/en/; https://www.scheibel-brennerei.de/produkt-kategorie/premium/,2026-06-26,NULL,brandy_germany
Brandy,Emil Scheibel Schwarzwald-Brennerei,"Kappelrodeck, Germany",Scheibel,own_make,NULL,FALSE,FALSE,Eau-de-vie; Schwarzwälder Kirschwasser,NULL,NULL,NULL,86,43.0,NULL,NULL,NULL,https://www.scheibel-brennerei.de/en/; https://www.edelbraende.de/Brennereien/Scheibel/Scheibel-PREMIUM/,2026-06-28,NULL,brandy_germany
Brandy,Emil Scheibel Schwarzwald-Brennerei,"Kappelrodeck, Germany",Scheibel,own_make,NULL,FALSE,FALSE,Eau-de-vie; Premium Himbeergeist,NULL,NULL,NULL,82,41.0,NULL,NULL,NULL,https://www.scheibel-brennerei.de/produkt-kategorie/premium/; https://www.edelbraende.de/Brennereien/Scheibel/Scheibel-PREMIUM/,2026-06-28,NULL,brandy_germany
Brandy,Emil Scheibel Schwarzwald-Brennerei,"Kappelrodeck, Germany",Scheibel,own_make,NULL,FALSE,FALSE,Eau-de-vie; Nancy Mirabelle,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.scheibel-brennerei.de/en/; https://www.edelbraende.de/Brennereien/Scheibel/,2026-06-28,NULL,brandy_germany
Brandy,Emil Scheibel Schwarzwald-Brennerei,"Kappelrodeck, Germany",Scheibel,own_make,NULL,FALSE,FALSE,Eau-de-vie; Premium Obstler,NULL,NULL,NULL,80,40.0,NULL,NULL,NULL,https://www.conalco.de/Scheibel-Premium-Obstbrand-0-7L-40-vol; https://www.banneke.com/scheibel-obstler-40-0-70.html,2026-06-26,https://www.conalco.de/media/61/f8/58/1737398476/Scheibel_Premium_Obstbrand___0_7L_40__vol.jpg,brandy_germany
Brandy,Lantenhammer,"Hausham, Germany",Lantenhammer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Williamsbirne,NULL,NULL,NULL,84,42.0,NULL,NULL,NULL,https://lantenhammer.de/en; https://www.ebrosia.de/williamsbirnenbrand-lantenhammer-naturtrueb-42-vol-0-5l,2026-06-28,NULL,brandy_germany
Brandy,Lantenhammer,"Hausham, Germany",Lantenhammer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Waldhimbeergeist,NULL,NULL,NULL,84,42.0,NULL,NULL,NULL,https://lantenhammer.de/destillate/edelbraende/edelbraende/waldhimbeergeist; https://www.obstler.de/LANTENHAMMER-Waldhimbeergeist-42-Vol-05-l.html,2026-06-26,https://www.obstler.de/pic/1001155p.jpg,brandy_germany
Brandy,Lantenhammer,"Hausham, Germany",Lantenhammer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Holzfass Obstbrand,NULL,NULL,NULL,80,40.0,NULL,Wooden cask,NULL,https://lantenhammer.de/brand/lantenhammer/; https://www.obstler.de/Lantenhammer.html,2026-06-28,NULL,brandy_germany
