spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,John Distilleries (Paul John Whisky),"Cuncolim, Goa",Paul John,own_make,NULL,FALSE,FALSE,Brandy; XO,NAS,NULL,NULL,92.0,46.0,NULL,NULL,NULL,https://www.masterofmalt.com/brandy/paul-john/paul-john-xo-indian-grape-brandy/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/50794_source_1780081833.jpg,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Mansion House,own_make,NULL,FALSE,FALSE,Brandy; French Brandy,NAS,NULL,NULL,85.6,42.8,NULL,NULL,NULL,https://tilind.com/featured_item/mansion-house-brandy/; https://winewhiskyworld.com/article/388/mansion-house-brandy-indias-best-selling-premium-brandy-explained,2026-06-26,NULL,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Mansion House,own_make,NULL,FALSE,FALSE,Brandy; Reserve French-Style,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tilind.com/mansion-house-reserve-brandy/,2026-06-26,NULL,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Mansion House,own_make,NULL,FALSE,FALSE,Brandy; Chambers,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tilind.com/brands/mansion-house-chambers-brandy/,2026-06-26,NULL,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Mansion House,own_make,NULL,FALSE,FALSE,Brandy; Flandy Cherry (flavoured),NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tilind.com/flandy/,2026-06-26,NULL,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Mansion House,own_make,NULL,FALSE,FALSE,Brandy; Flandy Orange (flavoured),NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tilind.com/flandy/,2026-06-26,NULL,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Mansion House,own_make,NULL,FALSE,FALSE,Brandy; Flandy Peach (flavoured),NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tilind.com/flandy/,2026-06-26,NULL,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Courrier Napoleon,own_make,NULL,FALSE,FALSE,Brandy; Finest Pure Grape French Brandy,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tilind.com/brands/courrier-napoleon-finest-pure-grape-french-brandy/,2026-06-26,NULL,brandy_india
Brandy,Tilaknagar Industries,"Shrirampur, Maharashtra",Courrier Napoleon,own_make,NULL,FALSE,FALSE,Brandy; Green,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://tilind.com/brands/courrier-napoleon-brandy-green/,2026-06-26,NULL,brandy_india
Brandy,Radico Khaitan (Rampur Distillery),"Rampur, Uttar Pradesh",Old Admiral,own_make,NULL,FALSE,FALSE,Brandy; Brandy,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://radicokhaitan.com/products/old-admiral-brandy/,2026-06-26,https://radicokhaitan.com/wp-content/uploads/2019/03/Old-Admiral-1.png,brandy_india
Brandy,Radico Khaitan (Rampur Distillery),"Rampur, Uttar Pradesh",Old Admiral,own_make,NULL,FALSE,FALSE,Brandy; Deluxe VSOP,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.wine-searcher.com/find/radicon+khaitan+old+admiral+de+luxe+v+s+o+p+brandy+india,2026-06-13,NULL,brandy_india
Brandy,Radico Khaitan (Rampur Distillery),"Rampur, Uttar Pradesh",Morpheus,own_make,NULL,FALSE,FALSE,Brandy; XO Premium Aged,NAS,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,https://citydrinks.com/p/morpheus-blue-75cl-2883; https://www.wine-searcher.com/find/morpheus+x+o+blend+premium+brandy+india,2026-06-26,NULL,brandy_india
Brandy,Radico Khaitan (Rampur Distillery),"Rampur, Uttar Pradesh",Morpheus,own_make,NULL,FALSE,FALSE,Brandy; Blue XO Premium,NAS,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,https://citydrinks.com/p/morpheus-blue-75cl-2883,2026-06-26,NULL,brandy_india
Brandy,United Spirits (Diageo),India (multi-site),McDowell's No.1,own_make,NULL,FALSE,FALSE,Brandy; Brandy,NAS,NULL,NULL,85.6,42.8,NULL,NULL,NULL,https://en.wikipedia.org/wiki/McDowell%27s_No.1,2026-06-26,https://upload.wikimedia.org/wikipedia/en/6/60/McDowell%27s_No.1_logo.png,brandy_india
Brandy,United Spirits (Diageo),India (multi-site),Honey Bee,own_make,NULL,FALSE,FALSE,Brandy; Brandy,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://freekaamaal.com/food/best-brandy-in-india,2026-06-28,NULL,brandy_india
