spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero La Botija,own_make,NULL,FALSE,FALSE,Pisco; Puro; Italia; La Botija,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero La Botija,own_make,NULL,FALSE,FALSE,Pisco; Acholado; La Botija,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero La Botija,own_make,NULL,FALSE,FALSE,Pisco; Puro; Quebranta; La Botija,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero Edición Limitada,own_make,NULL,FALSE,FALSE,Pisco; Puro; Italia; Edición Limitada,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero Edición Limitada,own_make,NULL,FALSE,FALSE,Pisco; Acholado; Edición Limitada,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero Edición Limitada,own_make,NULL,FALSE,FALSE,Pisco; Puro; Quebranta; Edición Limitada,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero Colección Privada,own_make,NULL,FALSE,FALSE,Pisco; Mosto Verde; Torontel,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero Colección Privada,own_make,NULL,FALSE,FALSE,Pisco; Mosto Verde; Italia,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Tabernero,"Chincha, Ica, Peru",Tabernero Colección Privada,own_make,NULL,FALSE,FALSE,Pisco; Mosto Verde; Quebranta,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.tabernero.com/en/categoria/piscos/,2026-06-26,NULL,brandy_peru
Brandy,Macchu Pisco,"Ica, Peru",Macchu Pisco,own_make,NULL,FALSE,FALSE,Pisco; Puro; Quebranta,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://macchupisco.com/main/,2026-06-26,NULL,brandy_peru
