spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Brandy,Rubin,"Kruševac, Serbia",Vinjak,own_make,NULL,FALSE,FALSE,Brandy; VS,NULL,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,"Serbian grape brandy from blended wine distillates, aged in oak.",https://theliquorbarn.com/products/rubinov-vinjak-vs-1l; https://winenliquor.com/p/rubin-vinjak-vs-1l/,2026-06-26,https://slash1.winenliquor.com/wp-content/uploads/rubin-vinjak-vs-1l.webp,brandy_serbia
Brandy,Rubin,"Kruševac, Serbia",Vinjak,own_make,NULL,FALSE,FALSE,Brandy; VSOP,5 Years,NULL,NULL,80.0,40.0,NULL,Oak casks,NULL,Aged minimum five years in oak.,https://unwindbottleshop.com/products/rubin-vinjak-5-vsop-grape-brandy-700ml; https://www.wine-searcher.com/find/rubin+v+s+o+p+vignac+five+brandy+serbia,2026-06-26,http://unwindbottleshop.com/cdn/shop/files/RubinVinjak5VsopGrapeBrandy700ml.png,brandy_serbia
Brandy,Rubin,"Kruševac, Serbia",Vinjak,own_make,NULL,FALSE,FALSE,Brandy; XO,NULL,NULL,NULL,NULL,NULL,NULL,Oak casks,NULL,NULL,https://www.tastebrandy.com/en/manufacturer/rubin,2026-06-28,NULL,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Plum,NULL,NULL,NULL,NULL,NULL,NULL,Oak cask,NULL,Serbian plum rakija from organic plums of the Drina valley; family recipe from 1897.,https://starasokolova.com/en/products/; https://www.theliquorbarn.com/stara-sokolova-slivovitz-750ml/,2026-06-26,http://theliquorbarn.com/cdn/shop/files/Stara-Sokolova-Slivovitz__32628.jpg,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Plum; 7 LUX,7 Years,NULL,NULL,NULL,NULL,NULL,Oak cask,NULL,NULL,https://starasokolova.com/en/products/; https://jugdeli.com/products/copy-of-sljivovica-5-lux-rakija-0-7l-stara-sokolova,2026-06-26,https://jugdeli.com/cdn/shop/products/Stara-Sokolova-5800x800_1200x1200.jpg,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Plum; 12 LUX,12 Years,NULL,NULL,NULL,NULL,NULL,Oak cask,NULL,NULL,https://starasokolova.com/en/products/; https://www.thewhiskyworld.com/stara-sokolova-12-year-old-plum-brandy-p2312,2026-06-26,NULL,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Williams Pear,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Viljamovka, made entirely from Williams pear.",https://starasokolova.com/en/products/,2026-06-26,NULL,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Quince,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dunja, double-distilled in copper stills.",https://starasokolova.com/en/products/; https://www.theliquorbarn.com/stara-sokolova-quince-brandy-750ml/,2026-06-26,http://theliquorbarn.com/cdn/shop/files/Stara-Sokolova-Quince-Brandy__45653.jpg,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Quince; LUX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://starasokolova.com/en/products/,2026-06-26,NULL,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Apricot,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kasija, from heritage apricots of Western Serbia and Šumadija.",https://starasokolova.com/en/products/,2026-06-26,NULL,brandy_serbia
Brandy,Stara Sokolova,"Ljubovija, Serbia",Stara Sokolova,own_make,NULL,FALSE,FALSE,Eau-de-vie; Apricot; LUX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://starasokolova.com/en/products/,2026-06-26,NULL,brandy_serbia
