spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; 3 Year (blended),3 Years,NULL,NULL,86.0,43.0,NULL,French oak,NULL,https://kwvbrandy.co.za/range/; https://sabrandy.co.za/discover-sa-brandy/,2026-06-28,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; 5 Year (blended),5 Years,NULL,NULL,86.0,43.0,NULL,French oak,NULL,https://kwvbrandy.co.za/range/; https://sabrandy.co.za/discover-sa-brandy/,2026-06-28,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; VS Signature Release (potstill),NAS,NULL,NULL,76.0,38.0,NULL,French oak,NULL,https://kwvbrandy.co.za/range/,2026-06-28,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; 10 Year (potstill),10 Years,NULL,NULL,76.0,38.0,NULL,French oak,NULL,https://kwv.co.za/product/kwv-10-yr-brandy-750ml/; https://kwvbrandy.co.za/range/,2026-06-26,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; Barrel Select (potstill),NAS,NULL,NULL,76.0,38.0,NULL,French oak,NULL,https://kwvbrandy.co.za/range/,2026-06-28,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; 12 Year (potstill),12 Years,NULL,NULL,76.0,38.0,NULL,French oak,NULL,https://kwvbrandy.co.za/range/,2026-06-28,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; 15 Year (potstill),15 Years,NULL,NULL,76.0,38.0,NULL,French oak,NULL,https://kwvbrandy.co.za/range/,2026-06-28,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; XXO 20 Year (potstill),20 Years,NULL,NULL,76.0,38.0,NULL,French oak,NULL,https://kwv.co.za/product/kwv-xxo-20-yo-brandy/,2026-06-26,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; Nexus 30 Year (potstill),30 Years,NULL,NULL,NULL,NULL,NULL,French oak,NULL,https://kwvbrandy.co.za/range/,2026-06-28,NULL,brandy_south_africa
Brandy,KWV,"Paarl, South Africa",KWV,own_make,NULL,FALSE,FALSE,Brandy; Imoya VSOP (potstill),NAS,NULL,NULL,NULL,NULL,NULL,French oak,NULL,https://kwvbrandy.co.za/range/,2026-06-28,NULL,brandy_south_africa
