spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Tavria,"Nova Kakhovka, Kherson, Ukraine",Tavria,own_make,NULL,FALSE,FALSE,Brandy; 3 Stars,3 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://www.tavria.ua/en/,2026-06-26,NULL,brandy_ukraine
Brandy,Tavria,"Nova Kakhovka, Kherson, Ukraine",Tavria,own_make,NULL,FALSE,FALSE,Brandy; 5 Stars,5 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://www.tavria.ua/en/,2026-06-26,NULL,brandy_ukraine
Brandy,Tavria,"Nova Kakhovka, Kherson, Ukraine",Tavria,own_make,NULL,FALSE,FALSE,Brandy; Kakhovska,NULL,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://www.tavria.ua/en/,2026-06-26,NULL,brandy_ukraine
Brandy,Tavria,"Nova Kakhovka, Kherson, Ukraine",Jatone,own_make,NULL,FALSE,FALSE,Brandy; Jatone,NULL,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://www.tavria.ua/en/; https://winestyle.co.uk/brandy/ukraine/,2026-06-26,NULL,brandy_ukraine
Brandy,Odessa Cognac Factory (Shustov),"Odessa, Ukraine",Shustov,own_make,NULL,FALSE,FALSE,Brandy; 3 Stars,3 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://winestyle.co.uk/cognac/ukraine/,2026-06-26,NULL,brandy_ukraine
Brandy,Odessa Cognac Factory (Shustov),"Odessa, Ukraine",Shustov,own_make,NULL,FALSE,FALSE,Brandy; 5 Stars,5 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://winestyle.co.uk/cognac/ukraine/,2026-06-26,NULL,brandy_ukraine
Brandy,Odessa Cognac Factory (Shustov),"Odessa, Ukraine",Shustov,own_make,NULL,FALSE,FALSE,Brandy; 7 Years,7 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://winestyle.co.uk/cognac/ukraine/,2026-06-26,NULL,brandy_ukraine
Brandy,Koktebel,"Koktebel, Crimea (disputed)",Koktebel,own_make,NULL,FALSE,FALSE,Brandy; 3 Stars,3 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://winestyleonline.com/cognac/koktebel/,2026-06-26,NULL,brandy_ukraine
Brandy,Koktebel,"Koktebel, Crimea (disputed)",Koktebel,own_make,NULL,FALSE,FALSE,Brandy; 5 Stars,5 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://winestyleonline.com/products/Koktebel-5-Stars-500.html,2026-06-26,NULL,brandy_ukraine
Brandy,Koktebel,"Koktebel, Crimea (disputed)",Koktebel,own_make,NULL,FALSE,FALSE,Brandy; 7 Years,7 Years,NULL,NULL,80.0,40.0,NULL,Oak cask,NULL,https://winestyleonline.com/cognac/koktebel/7y/,2026-06-26,NULL,brandy_ukraine
Brandy,Koktebel,"Koktebel, Crimea (disputed)",Koktebel,own_make,NULL,FALSE,FALSE,Brandy; KV,11 Years,NULL,NULL,84.0,42.0,NULL,Oak cask,NULL,https://www.proof66.com/brandy/koktebel-15yr-brandy.html,2026-06-26,NULL,brandy_ukraine
