spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Brandy,Andalusia Whiskey Co.,"Blanco, TX",Andalusia,own_make,NULL,FALSE,FALSE,Brandy; Texas,NAS,,,100,50.0,100% Texas-grown grapes,NULL,,https://www.andalusiawhiskey.com,2026-06-26,NULL,brandy_united_states
Brandy,1911 Established,"LaFayette, NY",1911,own_make,NULL,FALSE,FALSE,Brandy; Apple,NAS,,,,,Apple (estate orchard),,,https://1911established.com/product/brandy/,2026-06-26,NULL,brandy_united_states
Brandy,1911 Established,"LaFayette, NY",1911,own_make,NULL,FALSE,FALSE,Brandy; Pommeau,NAS,,,,,Apple juice + cider brandy (pommeaux),,,https://1911established.com/product/1911-pommeau/,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",South Holler,own_make,NULL,FALSE,FALSE,Brandy; Apple; Aged,NAS,,,,,Apple (South Hill Cider collaboration),used bourbon cask,,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",Erdbeer,own_make,NULL,FALSE,FALSE,Eau-de-vie; Strawberry,NAS,,,80,40.0,Strawberry,unaged,,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",Kirsch,own_make,NULL,FALSE,FALSE,Eau-de-vie; Cherry,NAS,,,80,40.0,Sweet cherry,unaged,,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",Wassermelone,own_make,NULL,FALSE,FALSE,Eau-de-vie; Watermelon,NAS,,,86,43.0,Watermelon,unaged,,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",Pfirsich,own_make,NULL,FALSE,FALSE,Brandy; Peach,NAS,,,,,NYS peach,ex-bourbon barrel (2yr),,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",Weintraube,own_make,NULL,FALSE,FALSE,Brandy; Grape,NAS,,,,,Naples Valley grapes (Concord Niagara Catawba Elvira hybrids),,,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",Pflaume,own_make,NULL,FALSE,FALSE,Eau-de-vie; Plum; Barrel-Aged,NAS,,,,,German brandy plums (Geneva NY),,,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Hollerhorn Distilling,"Naples, NY",Grappa,own_make,NULL,FALSE,FALSE,Pomace Brandy; Grape,NAS,,,84,42.0,McGregor Vineyard Riesling grapes (pomace),new toasted NYS white oak + toasted NYS black cherry barrels,,https://www.hollerhorn.com/new-page-3,2026-06-26,NULL,brandy_united_states
Brandy,Cardinal Spirits,"Bloomington, IN",Creekbend Brandy,own_make,NULL,FALSE,FALSE,Brandy; Catawba (Oliver Winery collaboration),NAS,2015,NULL,80,40.0,100% Catawba grapes (Oliver Winery Creekbend Vineyard),Toasted oak barrels,NULL,https://www.cardinalspirits.com/creekbendbrandy,2026-06-28,NULL,brandy_united_states
Brandy,Starlight Distillery,"Borden, IN",Starlight Applejack Brandy,own_make,NULL,FALSE,FALSE,Brandy; Apple; Applejack,NAS,NULL,NULL,83,41.5,Apple (estate-grown Huber Orchard),NULL,NULL,https://starlightdistillery.com/brandies/applejack-brandy/ | https://www.skurnik.com/sku/applejack-brandy-starlight-distillery-strapped/,2026-06-26,https://starlightdistillery.com/wp-content/uploads/2023/04/Small-Batch-AppleJack.jpg,brandy_united_states
Brandy,Starlight Distillery,"Borden, IN",Starlight Estate Apple Brandy,own_make,NULL,FALSE,FALSE,Brandy; Apple; Single Barrel Bottled-in-Bond,10 Years,NULL,NULL,100,50.0,Apple (estate-grown Huber Orchard),NULL,NULL,https://www.skurnik.com/sku/estate-apple-brandy-single-barrel-bottled-in-bond-10-year-old-huber-reserve-starlight-distillery/,2026-06-26,https://www.skurnik.com/wp-content/uploads/1980/06/estate-apple-brandy-single-barrel-bottled-in-bond-10-year-old-huber-reserve-starlight-distillery-2.jpeg,brandy_united_states
Brandy,Starlight Distillery,"Borden, IN",Starlight Estate Apple Brandy,own_make,NULL,FALSE,FALSE,Brandy; Apple; Single Barrel Bottled-in-Bond,11 Years,NULL,NULL,100,50.0,Apple (estate-grown Huber Orchard),NULL,NULL,https://www.skurnik.com/sku/estate-apple-brandy-single-barrel-bottled-in-bond-10-year-old-huber-reserve-starlight-distillery-2/,2026-06-26,https://www.skurnik.com/wp-content/uploads/1980/06/estate-apple-brandy-single-barrel-bottled-in-bond-11-year-old-huber-reserve-starlight-distillery.jpg,brandy_united_states
Brandy,Korbel,"Guerneville, CA",Korbel,own_make,NULL,FALSE,FALSE,Brandy; VSOP Gold Reserve,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://www.korbel.com/brandy/vsop/; https://store.korbel.com/korbel-california-vsop-gold-reserve-brandy-750ml-ship-to-ca-only-p37.aspx,2026-06-26,NULL,brandy_united_states
Brandy,Christian Brothers,"California, USA",Christian Brothers,own_make,NULL,FALSE,FALSE,Brandy; VS,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://distiller.com/spirits/christian-brothers-vs-brandy,2026-06-13,NULL,brandy_united_states
Brandy,Christian Brothers,"California, USA",Christian Brothers,blended,NULL,FALSE,FALSE,Brandy; VSOP Grand Reserve,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://specsonline.com/shop/spirits/christian-bros-brandy-sacred-bond/; https://distiller.com/spirits/christian-brothers-vs-brandy,2026-06-26,NULL,brandy_united_states
Brandy,Christian Brothers,"California, USA",Sacred Bond,own_make,NULL,FALSE,FALSE,Brandy; Bottled-in-Bond,4 Years,NULL,NULL,100,50.0,NULL,Ex-bourbon (former Heaven Hill) barrels,NULL,https://distiller.com/spirits/christian-brothers-sacred-bond-brandy; https://www.wineenthusiast.com/buying-guide/christian-brothers-sacred-bond-bottled-in-bond-brandy/,2026-06-26,https://www.wineenthusiast.com/wp-content/plugins/buying-guide/img/labels/default-label.jpg,brandy_united_states
Brandy,Christian Brothers,"California, USA",Christian Brothers,own_make,NULL,FALSE,FALSE,Brandy; Frost White,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://distiller.com/spirits/christian-brothers-vs-brandy,2026-06-13,NULL,brandy_united_states
Brandy,Christian Brothers,"California, USA",Christian Brothers,own_make,NULL,FALSE,FALSE,Brandy; Honey,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://distiller.com/spirits/christian-brothers-vs-brandy,2026-06-13,NULL,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",E&J,own_make,NULL,FALSE,FALSE,Brandy; VS,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://www.marketwatchmag.com/brandy-is-back/,2026-06-26,NULL,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",E&J,own_make,NULL,FALSE,FALSE,Brandy; VSOP,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://www.marketwatchmag.com/brandy-is-back/,2026-06-26,NULL,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",E&J,own_make,NULL,FALSE,FALSE,Brandy; XO,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://www.marketwatchmag.com/brandy-is-back/,2026-06-26,NULL,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",E&J,own_make,NULL,FALSE,FALSE,Brandy; Peach Flavored,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.marketwatchmag.com/brandy-is-back/,2026-06-26,NULL,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",E&J,own_make,NULL,FALSE,FALSE,Brandy; Apple Flavored,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.marketwatchmag.com/brandy-is-back/,2026-06-26,NULL,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",E&J,own_make,NULL,FALSE,FALSE,Brandy; Vanilla Flavored,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.marketwatchmag.com/brandy-is-back/,2026-06-26,NULL,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",Argonaut,own_make,NULL,FALSE,FALSE,Brandy; Fat Thumb,NAS,NULL,NULL,86,43.0,NULL,Oak,NULL,https://www.argonautbrandy.com/; https://www.drinkhacker.com/2019/12/28/review-argonaut-speculator-and-fat-thumb-brandy-plus-amarena-cherries/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2019/12/Argonaut-brandy-caskers.jpg,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",Argonaut,own_make,NULL,FALSE,FALSE,Brandy; Speculator,NAS,NULL,NULL,86,43.0,NULL,Oak,NULL,https://www.argonautbrandy.com/; https://www.drinkhacker.com/2019/12/28/review-argonaut-speculator-and-fat-thumb-brandy-plus-amarena-cherries/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2019/12/Argonaut-brandy-caskers.jpg,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",Argonaut,own_make,NULL,FALSE,FALSE,Brandy; Saloon Strength,NAS,NULL,NULL,91,45.5,NULL,Oak,NULL,https://www.argonautbrandy.com/; https://www.drinkhacker.com/2019/12/28/review-argonaut-speculator-and-fat-thumb-brandy-plus-amarena-cherries/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2019/12/Argonaut-brandy-caskers.jpg,brandy_united_states
Brandy,E&J Gallo Winery,"Modesto, CA",Argonaut,own_make,NULL,FALSE,FALSE,Brandy; The Claim,NAS,NULL,NULL,NULL,NULL,NULL,Oak,NULL,https://www.argonautbrandy.com/; https://www.drinkhacker.com/2019/12/28/review-argonaut-speculator-and-fat-thumb-brandy-plus-amarena-cherries/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2019/12/Argonaut-brandy-caskers.jpg,brandy_united_states
Brandy,Paul Masson,"Madera, CA",Paul Masson,own_make,NULL,FALSE,FALSE,Brandy; Grande Amber VS,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://www.argonautliquor.com/products/3430859/paul-masson-grande-amber-vs-brandy,2026-06-28,NULL,brandy_united_states
Brandy,Paul Masson,"Madera, CA",Paul Masson,own_make,NULL,FALSE,FALSE,Brandy; Grande Amber VSOP,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://www.argonautliquor.com/products/3430859/paul-masson-grande-amber-vs-brandy,2026-06-28,NULL,brandy_united_states
Brandy,Paul Masson,"Madera, CA",Paul Masson,own_make,NULL,FALSE,FALSE,Brandy; Grande Amber XO,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://www.argonautliquor.com/products/3430859/paul-masson-grande-amber-vs-brandy,2026-06-28,NULL,brandy_united_states
Brandy,Germain-Robin,"Ukiah, CA",Germain-Robin,own_make,NULL,FALSE,FALSE,Brandy; Craft Method XO,NAS,NULL,NULL,80,40.0,NULL,Limousin oak,NULL,https://www.blackwellswines.com/products/germain-robin-craft-method-brandy-750-ml; https://www.germain-robin.com/ourexpressions.html,2026-06-26,http://www.blackwellswines.com/cdn/shop/products/Germain-Robin_7_Year_Old_California_Alambic_Brandy_600x.jpg,brandy_united_states
Brandy,Germain-Robin,"Ukiah, CA",Germain-Robin,own_make,NULL,FALSE,FALSE,Brandy; Select Barrel XO,NAS,NULL,NULL,NULL,NULL,NULL,Limousin oak,NULL,https://www.wineenthusiast.com/buying-guide/germain-robin-xo-select-barrel-alambic-brandy/; https://www.germain-robin.com/ourexpressions.html,2026-06-26,"https://res.cloudinary.com/htt8g4cd/image/upload/w_600,h_600,c_pad,f_auto,q_auto,e_sharpen/wp/reviews/labels/beerspirit/7071",brandy_united_states
Brandy,Germain-Robin,"Ukiah, CA",Germain-Robin,own_make,NULL,FALSE,FALSE,Brandy; Craft Method,7 Years,NULL,NULL,80,40.0,NULL,Limousin oak,NULL,https://www.blackwellswines.com/products/germain-robin-craft-method-brandy-750-ml,2026-06-26,http://www.blackwellswines.com/cdn/shop/products/Germain-Robin_7_Year_Old_California_Alambic_Brandy_600x.jpg,brandy_united_states
Brandy,Osocalis,"Soquel, CA",Osocalis,own_make,NULL,FALSE,FALSE,Brandy; Rare Alambic,NAS,NULL,NULL,80,40.0,NULL,Oak,NULL,https://theliquorbarn.com/products/osocalis-rare-alambic-750ml; https://bottlebarn.com/products/osocallis-heritage-alambic-brandy-750,2026-06-26,http://theliquorbarn.com/cdn/shop/files/osocalis_rare_alambic_brandy__98819.jpg,brandy_united_states
Brandy,Osocalis,"Soquel, CA",Osocalis,own_make,NULL,FALSE,FALSE,Brandy; Heritage Alambic,NAS,NULL,NULL,NULL,NULL,NULL,Oak,NULL,https://theliquorbarn.com/products/osocalis-rare-alambic-750ml; https://bottlebarn.com/products/osocallis-heritage-alambic-brandy-750,2026-06-26,http://theliquorbarn.com/cdn/shop/files/osocalis_rare_alambic_brandy__98819.jpg,brandy_united_states
Brandy,Copper & Kings,"Louisville, KY",Copper & Kings,own_make,NULL,FALSE,FALSE,Brandy; American Craft,NAS,NULL,NULL,90,45.0,NULL,Bourbon and new American oak barrels,NULL,https://kybourbon.com/industry-news/copper-kings-american-brandy-co-launches-via-chicago-american-brandy-aged-in-few-rye-whiskey-barrels/; https://flaviar.com/collections/copper-kings,2026-06-28,NULL,brandy_united_states
Brandy,Copper & Kings,"Louisville, KY",Copper & Kings,own_make,NULL,FALSE,FALSE,Brandy; Butchertown,NAS,NULL,NULL,124,62.0,NULL,Bourbon barrels,NULL,https://kybourbon.com/industry-news/copper-kings-american-brandy-co-launches-via-chicago-american-brandy-aged-in-few-rye-whiskey-barrels/; https://flaviar.com/collections/copper-kings,2026-06-28,NULL,brandy_united_states
Brandy,Copper & Kings,"Louisville, KY",Copper & Kings,own_make,NULL,FALSE,FALSE,Brandy; CR&FTWERK Beer Barrel Aged,NAS,NULL,NULL,111,55.5,NULL,Beer barrels,NULL,https://kybourbon.com/industry-news/copper-kings-american-brandy-co-launches-via-chicago-american-brandy-aged-in-few-rye-whiskey-barrels/; https://flaviar.com/collections/copper-kings,2026-06-28,NULL,brandy_united_states
Brandy,Copper & Kings,"Louisville, KY",Floodwall,own_make,NULL,FALSE,FALSE,Brandy; Apple; Floodwall,NAS,NULL,NULL,90,45.0,NULL,Oak,NULL,https://kybourbon.com/industry-news/copper-kings-american-brandy-co-launches-via-chicago-american-brandy-aged-in-few-rye-whiskey-barrels/; https://flaviar.com/collections/copper-kings,2026-06-28,NULL,brandy_united_states
Brandy,Copper & Kings,"Louisville, KY",Copper & Kings,own_make,NULL,FALSE,FALSE,Brandy; Riding With The King,NAS,NULL,NULL,NULL,NULL,NULL,NULL,King Estate red wine barrels,https://kybourbon.com/industry-news/copper-kings-launches-riding-with-the-king-limited-release-american-brandy-aged-in-king-estate-red-wine-barrels/,2026-06-28,NULL,brandy_united_states
Brandy,Undisclosed (California),"California, USA",Bertoux,sourced,Bertoux,TRUE,FALSE,Brandy; California,NAS,NULL,NULL,80,40.0,95% Colombard,French and American oak (medium toast),NULL,https://distiller.com/spirits/bertoux-brandy; https://shop.klwines.com/products/details/1391614,2026-06-26,https://cdn.klwines.com/images/skus/1391614x.jpg,brandy_united_states
Brandy,Laird & Company,"Scobeyville, NJ",Laird's,own_make,NULL,FALSE,FALSE,Brandy; Apple; Straight Apple Brandy Bottled-in-Bond,4 Years,NULL,NULL,100,50.0,NULL,Charred oak,NULL,https://www.lairdandcompany.com/products/laird%27s-straight-apple-brandy-bottled-in-bond,2026-06-26,"https://static.wixstatic.com/media/7aa8e8_eea1efa4fa564eb193c959396976b6bb~mv2.jpg/v1/fill/w_2048,h_1366,al_c,q_90/2326915_UniformingProductShots_AppleBrandy100-Large_081324.jpg",brandy_united_states
Brandy,Laird & Company,"Scobeyville, NJ",Laird's,own_make,NULL,FALSE,FALSE,Eau-de-vie; Apple; Jersey Lightning,NAS,NULL,NULL,100,50.0,NULL,NULL,NULL,https://www.lairdandcompany.com/,2026-06-26,"https://static.wixstatic.com/media/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png/v1/fit/w_2500,h_1330,al_c/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png",brandy_united_states
Brandy,Laird & Company,"Scobeyville, NJ",Laird's,own_make,NULL,FALSE,FALSE,Brandy; Apple; Old Apple Brandy,7.5 Years,NULL,NULL,80,40.0,NULL,Charred oak,NULL,https://www.drinkhacker.com/2020/02/15/review-lairds-apple-brandies-10th-generation-5-years-old-and-7-1-2-years-old/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2020/01/lairds.jpg,brandy_united_states
Brandy,Laird & Company,"Scobeyville, NJ",Laird's,own_make,NULL,FALSE,FALSE,Brandy; Apple; 10th Generation Bottled-in-Bond,5 Years,NULL,NULL,100,50.0,NULL,Charred oak,NULL,https://www.lairdandcompany.com/,2026-06-26,"https://static.wixstatic.com/media/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png/v1/fit/w_2500,h_1330,al_c/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png",brandy_united_states
Brandy,Laird & Company,"Scobeyville, NJ",Laird's,own_make,NULL,FALSE,FALSE,Brandy; Apple; Rare Apple Brandy,12 Years,NULL,NULL,88,44.0,NULL,Charred oak,NULL,https://www.lairdandcompany.com/,2026-06-26,"https://static.wixstatic.com/media/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png/v1/fit/w_2500,h_1330,al_c/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png",brandy_united_states
Brandy,Laird & Company,"Scobeyville, NJ",Laird's,own_make,NULL,FALSE,TRUE,Brandy; Apple; Single Cask Selection,NAS,NULL,NULL,NULL,NULL,NULL,Charred oak,NULL,https://www.lairdandcompany.com/,2026-06-26,"https://static.wixstatic.com/media/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png/v1/fit/w_2500,h_1330,al_c/ece997_8be1932a94d74f739e87fc0fe9a67a4e~mv2.png",brandy_united_states
