spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; VS; Fine VS,,,,80.0,40,,,,https://www.calvados-pere-magloire.com/en/calvados-fine-v-s/; https://www.thewhiskyexchange.com/p/59149/pere-magloire-vs-fine-aoc-calvados,2026-06-27,https://img.thewhiskyexchange.com/540/calva_per16.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; VSOP,,,,80.0,40,,,,https://www.calvados-pere-magloire.com/en/calvados-v-s-o-p/; https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-vsop-pays-d-auge-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/34436_source_1782245446.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; XO,,,,80.0,40,,,,https://www.calvados-pere-magloire.com/en/calvados-x-o/; https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-calvados-xo-50cl/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/23087_source_1774039242.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; Vieux; 12 Ans,12 Years,,,80.0,40,,,,https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-12-year-old-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/31020_source_1778595696.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; XO; Heritage Edition; XO Mémoire,,,,80.0,40,,,,https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-calvados-xo-memoire-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/23415_source_1782290430.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; Hors d'Âge; Heritage Edition; Extra Héritage,,,,80.0,40,,,,https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-extra-heritage-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/23390_source_1782432656.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; XO; Limited Edition; XO 200,,,,88.0,44,,,,https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-xo-200-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/47271_source_1761855631.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; VSOP; Single Cask Series; VSOP Single Malt Cask Finish,,,,80.0,40,,,Single malt Scotch cask,https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-vsop-single-malt-cask-finish-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/51901_source_1779296659.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; VSOP; Single Cask Series; VSOP Smoky Islay Cask Finish,,,,80.0,40,,,Smoky Islay whisky cask,https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-vsop-smoky-islay-cask-finish-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/37474_source_1780946135.jpg,calvados_france
Calvados,Père Magloire,"Pont-l'Évêque, France",Père Magloire,blended,,FALSE,FALSE,Calvados Pays d'Auge; VS; Single Cask Series; Fine VS Cask Ireann Edition,,,,80.0,40,,,Ex-Irish whiskey cask,https://www.masterofmalt.com/calvados/pere-magloire/pere-magloire-vs-cask-ireann-edition-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/37931_source_1769643113.jpg,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; Grand Solage,,,,80.0,40,,,,https://www.calvados-boulard.com/en-gb/calvados/grand-solage/,2026-06-27,https://www.calvados-boulard.com/wp-content/uploads/2020/10/grand-solage-70cl-boulard-calvados-spiritueux-premium.png,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; VSOP,,,,80.0,40,,,,https://www.calvados-boulard.com/en-gb/calvados/v-s-o-p/,2026-06-27,https://www.calvados-boulard.com/wp-content/uploads/2020/10/VSOP-calvados-spiritueux-premium-boulard.png,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; XO,,,,80.0,40,,,,https://www.calvados-boulard.com/en-gb/calvados/boulard-x-o/,2026-06-27,https://www.calvados-boulard.com/wp-content/uploads/2020/09/XO-70cl-boulard-calvados-spiritueux-premium.png,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; XO; Heritage Edition; XO Auguste,,,,80.0,40,,,,https://www.calvados-boulard.com/en/calvados/auguste-x-o/; https://distiller.com/spirits/calvados-boulard-xo-auguste,2026-06-15,,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; Hors d'Âge,,,,86.0,43,,,,https://www.royalmilewhiskies.com/boulard-hors-dage-calvados-43-70cl/,2026-06-27,https://www.royalmilewhiskies.com/media/catalog/product/cache/082e1828dfd60e1a2093c9f050ba2c25/0/0/0050000000401.jpg,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; Hors d'Âge; Heritage Edition; Extra,,,,80.0,40,,,,https://www.masterofmalt.com/calvados/boulard/boulard-extra-calvados-pays-d-auge/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/29721_source_1758883035.jpg,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; Réserve; La Cuvée Vincent,,,,80.0,40,,,,https://www.masterofmalt.com/calvados/boulard/boulard-la-cuvee-vincent-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/34405_source_1758882892.jpg,calvados_france
Calvados,Boulard,"Coquainvilliers, France",Boulard,blended,,FALSE,FALSE,Calvados Pays d'Auge; VSOP; Single Cask Series; VSOP Bourbon Cask Finish,,,,88.0,44,,,Ex-bourbon cask,https://www.masterofmalt.com/calvados/boulard/boulard-vsop-pays-d-auge-calvados-bourbon-cask-finish-calvados/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/6108_source_1775827254.jpg,calvados_france
