spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Gin,Nao Spirits,"Goa, India",Greater Than,own_make,NULL,FALSE,FALSE,London Dry Gin; ; Greater Than,NAS,NULL,NULL,85.6,42.8,NULL,NULL,NULL,https://naospirits.com/; https://www.theginguild.com/ginopedia/gin-brands/greater-than-gin/,2026-06-10,NULL,gin_india
Gin,Nao Spirits,"Goa, India",Hapusa,own_make,NULL,FALSE,FALSE,Distilled Gin; Himalayan Dry; Hapusa,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,https://naospirits.com/; https://www.theginguild.com/ginopedia/gin-brands/hapusa-himalayan-dry-gin/,2026-06-27,https://www.theginguild.com/wp-content/uploads/2018/01/hapusa-2019-bottle.jpg,gin_india
Gin,Third Eye Distillery,"Goa, India",Stranger & Sons,own_make,NULL,FALSE,FALSE,Distilled Gin; Indian; Stranger & Sons,NAS,NULL,NULL,85.6,42.8,NULL,NULL,NULL,https://strangerandsons.com/; https://www.masterofmalt.com/gin/third-eye-distillery/stranger-and-sons-gin/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/6416_source_1774977033.jpg,gin_india
Gin,Third Eye Distillery,"Goa, India",Stranger & Sons,own_make,NULL,FALSE,FALSE,"Distilled Gin; Indian, Perry Road Peru, Special Edition; Perry Road Peru",NAS,NULL,NULL,85.6,42.8,NULL,NULL,NULL,https://www.liquorvaultgoa.com/product/perry-road-peru-gin-750ml/,2026-06-10,NULL,gin_india
Gin,Radico Khaitan,"Rampur, Uttar Pradesh, India",Jaisalmer,own_make,NULL,FALSE,FALSE,Distilled Gin; Indian Craft; Jaisalmer Indian Craft Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,https://radicokhaitan.com/products/jaisalmer/; https://www.thedrinksreport.com/news/2018/17615-radico-khaitan-reveals-jaisalmer-indian-gin.html,2026-06-10,NULL,gin_india
Gin,Amrut Distilleries,"Bengaluru, Karnataka, India",Amrut Nilgiris,own_make,NULL,FALSE,FALSE,Distilled Gin; Indian Dry; Amrut Nilgiris,NAS,NULL,NULL,85.6,42.8,NULL,NULL,NULL,https://amrutdistilleries.com/amrut-nilgiris-indiandry-gin-42-8-duplicate/,2026-06-10,NULL,gin_india
Gin,Amrut Distilleries,"Bengaluru, Karnataka, India",Amrut Nilgiris,own_make,NULL,FALSE,FALSE,"Distilled Gin; Indian Dry, Cask Aged; Amrut Nilgiris Cask Aged",NAS,NULL,NULL,85.6,42.8,NULL,Ex-whisky oak cask (~4 weeks),NULL,https://amrutdistilleries.com/amrut-nilgiris-cask-agedindian-dry-gin-42-8-duplicate/,2026-06-10,NULL,gin_india
Gin,Mohan Meakin,"Solan, Himachal Pradesh, India",Big Ben,own_make,NULL,FALSE,FALSE,London Dry Gin; Deluxe; Big Ben London Dry Gin,NAS,NULL,NULL,85.6,42.8,NULL,NULL,NULL,https://www.thewhiskyexchange.com/p/33387/big-ben-london-dry-gin-deluxe,2026-06-27,https://img.thewhiskyexchange.com/540/gin_big2.jpg,gin_india
Gin,Mohan Meakin,"Solan, Himachal Pradesh, India",Jamun,own_make,NULL,FALSE,FALSE,Distilled Gin; The Himalayan Juniper; Jamun,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://iwsc.net/results/detail/152635/jamun-the-himalayan-juniper-dry-gin,2026-06-10,NULL,gin_india
Gin,Fullarton Distilleries,"Candepar, Goa, India",Pumori,own_make,NULL,FALSE,FALSE,Distilled Gin; Small Batch; Pumori Small Batch Gin,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,https://www.pumorigin.com/; https://www.diffordsguide.com/beer-wine-spirits/6811/pumori-gin,2026-06-27,https://cdn.diffordsguide.com/bws/ZdyxWD/product-image/0/512x.webp,gin_india
Gin,Fullarton Distilleries,"Goa, India",Matinee,own_make,NULL,FALSE,FALSE,Distilled Gin; Indian; Matinee,NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://fullartondistilleries.com/; https://yourstory.com/ys-life/homegrown-indian-goa-matinee-gin,2026-06-10,NULL,gin_india
