spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Gin,Pearse Lyons,"Dublin, Co. Dublin, Ireland",Ha'penny Dublin Dry Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,"Small-batch pot-distilled gin with thirteen botanicals including geranium, dandelion, lavender and blackberry.",https://shop.pearselyonsdistillery.com/collections/gins/products/hapenny-dublin-dry-gin,2026-06-06,https://shop.pearselyonsdistillery.com/cdn/shop/products/HapennyDublinDryGinTransparentWeb_345x345@2x.png,gin_ireland
Gin,Pearse Lyons,"Dublin, Co. Dublin, Ireland",Míl Mediterranean Style Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,"Irish pot still gin distilled with almond, basil, bergamot orange, gooseberry, juniper, olives, orris, rosemary and thyme.",https://shop.pearselyonsdistillery.com/collections/gins/products/mil-mediterranean-style-gin,2026-06-06,https://shop.pearselyonsdistillery.com/cdn/shop/products/MilGinTransparentWeb_345x345@2x.png,gin_ireland
Gin,Glendalough Distillery,"Newtownmountkennedy, Co. Wicklow, Ireland",Glendalough Wild Botanical Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,82,41,,,,"Wild Irish botanicals foraged from surrounding mountains, slow-distilled. Gold Medal Gin Masters 2022.",https://www.masterofmalt.com/gin/glendalough/glendalough-wild-botanical-gin/;https://www.irishdrinkshop.com/glendalough-distillery/Glendalough-Wild-Botanical-Gin,2026-06-27,https://www.irishdrinkshop.com/image/cache/catalog/Irish%20Gin/Glendalough%20Wild%20Botanical%20Gin-600x315w.jpg,gin_ireland
Gin,Glendalough Distillery,"Newtownmountkennedy, Co. Wicklow, Ireland",Glendalough Wild Spring Botanical Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,82,41,,,,"Seasonal gin; foraged spring botanicals incl. juniper, coriander seeds, lemon peel, angelica root.",https://www.masterofmalt.com/gin/glendalough/glendalough-wild-spring-botanical-gin/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/22598_source_1758883269.jpg,gin_ireland
Gin,Glendalough Distillery,"Newtownmountkennedy, Co. Wicklow, Ireland",Glendalough Wild Summer Botanical Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,82,41,,,,"Seasonal gin; foraged summer botanicals, floral aromas and young fruits.",https://www.masterofmalt.com/gin/glendalough/glendalough-wild-summer-botanical-gin/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/24664_source_1761919265.jpg,gin_ireland
Gin,Glendalough Distillery,"Newtownmountkennedy, Co. Wicklow, Ireland",Glendalough Wild Autumn Botanical Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,82,41,,,,Seasonal gin; 11 classic botanicals plus local autumn botanicals.,https://www.masterofmalt.com/gin/glendalough/glendalough-wild-autumn-botanical-gin/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/24114_source_1758883220.jpg,gin_ireland
Gin,Glendalough Distillery,"Newtownmountkennedy, Co. Wicklow, Ireland",Glendalough Wild Winter Botanical Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,82,41,,,,Seasonal gin; foraged winter botanicals.,https://www.masterofmalt.com/gin/glendalough/glendalough-wild-winter-botanical-gin/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/23765_source_1758883229.jpg,gin_ireland
Gin,Glendalough Distillery,"Newtownmountkennedy, Co. Wicklow, Ireland",Glendalough Gin by Clodagh McKenna,own_make,,FALSE,FALSE,London Dry Gin,,,,82,41,,,,Collaboration gin with chef Clodagh McKenna.,https://www.masterofmalt.com/gin/glendalough/glendalough-gin-by-clodagh-mckenna-gin/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/1838_source_1758884790.jpg,gin_ireland
Gin,Boann Distillery,"Drogheda, Co. Meath, Ireland",Silks Irish Dry Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,Boann own-distilled Irish dry gin.,https://www.boanndistillery.ie/our-spirits/silks-irish-dry-gin/,2026-06-28,NULL,gin_ireland
Gin,Boann Distillery,"Drogheda, Co. Meath, Ireland",Copper Cloud Irish Dry Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,Boann own-distilled Irish dry gin.,https://www.boanndistillery.ie/our-spirits/copper-cloud-irish-dry-gin/,2026-06-28,NULL,gin_ireland
Gin,Lough Ree Distillery,"Lanesborough, Co. Longford, Ireland",Sling Shot Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,83.4,41.7,,,,"Citrus and mint top notes, juniper and cardamom spice, peat (distilled as botanical) earthiness. First distillery to distil peat as a gin botanical.",https://www.lrd.ie/spirits/,2026-06-27,https://lrd.ie/wp-content/uploads/2026/03/Social-Image-1.png,gin_ireland
Gin,Ahascragh Distillery,"Ahascragh, Co. Galway, Ireland",Xin Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,Ahascragh own-distilled award-winning gin.,https://ahascraghdistillery.com/pages/xin-gin,2026-06-27,https://cdn.shopify.com/s/files/1/0843/9536/0539/files/ahascraghdistillery-b2-10_2d32eecb-1e17-4f6d-9cab-57a164c36ce3.jpg,gin_ireland
Gin,The Shed Distillery,"Drumshanbo, Co. Leitrim, Ireland",Drumshanbo Gunpowder Irish Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,86,43,,,,,https://www.masterofmalt.com/gin/the-shed-distillery/drumshanbo-with-sardinian-citrus-gunpowder-gin/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/49912_source_1782122489.jpg,gin_ireland
Gin,The Shed Distillery,"Drumshanbo, Co. Leitrim, Ireland",Drumshanbo Gunpowder Sardinian Citrus Irish Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,86,43,,,,"Zesty lemon, grapefruit, gentle herbs, spicy tea; clean dry finish.",https://www.masterofmalt.com/gin/the-shed-distillery/drumshanbo-with-sardinian-citrus-gunpowder-gin/;https://www.lcbo.com/en/drumshanbo-gunpowder-sardinian-citrus-irish-gin-22453,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/49912_source_1782122489.jpg,gin_ireland
Gin,Dingle Distillery,"Dingle, Co. Kerry, Ireland",Dingle,own_make,,FALSE,FALSE,Distilled Gin; Pot Still; Original Pot Still,,,,85,42.5,,,,"Pot-distilled; botanicals incl. rowan berry, fuchsia, bog myrtle, heather, chervil.",https://www.dingledistillery.ie/,2026-06-09,,gin_ireland
Gin,Ballyvolane House Spirits,"Castlelyons, Co. Cork, Ireland",Bertha's Revenge,own_make,,FALSE,FALSE,Distilled Gin; Milk Gin,,,,84,42,,,,"Whey-based spirit; 18 botanicals incl. cumin, cardamom, cloves, elderflower.",https://ballyvolanespirits.ie/our-spirits/,2026-06-27,http://ballyvolanespirits.ie/img/bertha-bottle-badge-w1200.png,gin_ireland
Gin,Blackwater Distillery,"Ballyduff, Co. Waterford, Ireland",Blackwater,own_make,,FALSE,FALSE,Distilled Gin; No.5,,,,83,41.5,,,,Contemporary Irish gin; 12 botanicals sourced from the historic Woodlock & Sons grocers ledger.,https://distiller.com/spirits/blackwater-no-5-gin,2026-06-09,,gin_ireland
Gin,Blackwater Distillery,"Ballyduff, Co. Waterford, Ireland",Blackwater,own_make,,FALSE,FALSE,"Distilled Gin; Barrel Aged, Juniper Cask; Juniper Cask",,,,92,46,,Juniper-wood cask,,Rested in juniper-wood casks.,https://www.irishdrinkshop.com/Blackwater-Juniper-Cask-Gin,2026-06-27,https://www.irishdrinkshop.com/image/cache/catalog/Irish%20Gin/Blackwater%20Juniper%20Cask%20Gin-600x315w.jpg,gin_ireland
Gin,Listoke Distillery,"Tenure, Co. Louth, Ireland",Listoke,own_make,,FALSE,FALSE,Distilled Gin; 1777 Small Batch,,,,86.6,43.3,,,,Small-batch Irish gin.,https://listokedistillery.ie/products/listoke-1777,2026-06-09,,gin_ireland
Gin,Midleton Distillery,"Midleton, Co. Cork, Ireland",Method and Madness,own_make,,FALSE,FALSE,Distilled Gin; Irish Micro Distilled,,,,86,43,,,,"Micro-distilled in a copper pot; Black Spanish lemon, Japanese parsley among botanicals.",https://midletondistillerycollection.com/method-and-madness/method-and-madness-irish-micro-distilled-gin-product/,2026-06-09,,gin_ireland
Gin,Glendalough Distillery,"Wicklow, Ireland",Glendalough,own_make,NULL,FALSE,FALSE,Distilled Gin; Flavored; Rose,NULL,NULL,NULL,75.0,37.5,NULL,NULL,NULL,NULL,https://www.glendaloughdistillery.com/; _cross_category_capture.md (Gin Sub 1 UK & Ireland),2026-06-23,NULL,gin_ireland
Gin,Blackwater Distillery,"Ballyduff, Waterford, Ireland",Blackwater,own_make,NULL,FALSE,FALSE,Distilled Gin; Flavored; Wexford Strawberry,NULL,NULL,NULL,80,40,NULL,NULL,NULL,NULL,https://blackwaterdistillery.ie/; _cross_category_capture.md (Gin Sub 1 UK & Ireland),2026-06-23,NULL,gin_ireland
Gin,Blackwater Distillery,"Ballyduff, Waterford, Ireland",Blackwater,own_make,NULL,FALSE,FALSE,Distilled Gin; Flavored; Navy Strawberry,NULL,NULL,NULL,114,57,NULL,NULL,NULL,NULL,https://blackwaterdistillery.ie/; _cross_category_capture.md (Gin Sub 1 UK & Ireland),2026-06-23,NULL,gin_ireland
Gin,The Shed Distillery,"Drumshanbo, Leitrim, Ireland",Drumshanbo Gunpowder,own_make,NULL,FALSE,FALSE,Distilled Gin; Flavored; California Orange Citrus,NULL,NULL,NULL,86,43,NULL,NULL,NULL,NULL,https://www.thesheddistillery.com/; _cross_category_capture.md (Gin Sub 1 UK & Ireland),2026-06-23,NULL,gin_ireland
Gin,The Shed Distillery,"Drumshanbo, Leitrim, Ireland",Drumshanbo Gunpowder,own_make,NULL,FALSE,FALSE,Distilled Gin; Flavored; Brazilian Pineapple,NULL,NULL,NULL,86,43,NULL,NULL,NULL,NULL,https://www.thesheddistillery.com/; _cross_category_capture.md (Gin Sub 1 UK & Ireland),2026-06-23,NULL,gin_ireland
Gin,The Shed Distillery,"Drumshanbo, Leitrim, Ireland",Drumshanbo Gunpowder,own_make,NULL,FALSE,FALSE,Distilled Gin; Flavored; Italian Fig & Laurel,NULL,NULL,NULL,86,43,NULL,NULL,NULL,NULL,https://www.thesheddistillery.com/; _cross_category_capture.md (Gin Sub 1 UK & Ireland),2026-06-23,NULL,gin_ireland
