spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Gin,Suntory Osaka Factory,"Osaka, Japan",Roku,own_make,,FALSE,FALSE,Distilled Gin; Japanese Craft; Roku Original,NAS,,,86,43,,,,"Six Japanese botanicals (incl. sakura flower/leaf, yuzu, sencha/gyokuro tea, sansho pepper) + 8 traditional botanicals.",https://house.suntory.com/roku-gin; https://www.suntoryglobalspirits.com/news/house-suntory-introduces-rokutm-gin-and-hakur-vodka,2026-06-06,,gin_japan
Gin,Suntory Osaka Factory,"Osaka, Japan",Roku,own_make,,FALSE,FALSE,Distilled Gin; Japanese Craft; Roku Sakura Bloom Limited,NAS,,,86,43,,,,"First limited Roku; cherry-blossom-forward, floral with saline hint. Seasonal Festival Collection.",https://house.suntory.com/roku-gin/sakura-bloom-edition,2026-06-27,https://house.suntory.com/sites/default/files/2024-11/roku-sakura-gin-house-of-suntory.png,gin_japan
Gin,Nikka Miyagikyo Distillery (Coffey stills),"Sendai, Miyagi, Japan",Nikka Coffey Gin,own_make,,FALSE,FALSE,Distilled Gin; Coffey Still; Coffey Gin,NAS,,,94,47,,,,"Released 2017; 11 botanicals incl. four Japanese citruses (yuzu, kabosu, amanatsu, shequasar), apple and green sansho pepper, over Coffey-still base.",https://www.nikka.com/en/brands/coffey-gin-vodka/,2026-06-06,https://www.nikka.com/en/brands/coffey-gin-vodka/img/bottle_coffey-gin.webp,gin_japan
Gin,The Kyoto Distillery,"Kyoto, Japan",KI NO BI,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Kyoto Dry; KI NO BI",NAS,NULL,NULL,91.4,45.7,NULL,NULL,NULL,"Rice-spirit base; 11 botanicals incl. yuzu, lemon, sansho, kinome, gyokuro tea, hinoki, bamboo, red shiso. Yuzu aroma, ginger-warm finish.",https://www.kinobigin.com/en/products/ki-no-bi/,2026-06-10,https://www.kinobigin.com/wp-content/uploads/2024/07/ki-no-bi.webp,gin_japan
Gin,The Kyoto Distillery,"Kyoto, Japan",KI NO BI Sei,own_make,NULL,FALSE,FALSE,"Navy Strength Gin; Japanese Craft, Kyoto Dry; KI NO BI Sei",NAS,NULL,NULL,109,54.5,NULL,NULL,NULL,"Navy-strength recalibration of KI NO BI; same botanical set, thicker mouthfeel, full-bodied and punchy.",https://www.kinobigin.com/en/products/ki-no-bi-sei/,2026-06-10,https://www.kinobigin.com/wp-content/uploads/2024/07/ki-no-bi-sei-2.webp,gin_japan
Gin,The Kyoto Distillery,"Kyoto, Japan",KI NO TEA,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Green Tea; KI NO TEA",NAS,NULL,NULL,90.2,45.1,NULL,NULL,NULL,Collaboration with Hori-Shichimeien (Uji); tencha + gyokuro give white-chocolate/citrus sweetness then juniper; long roasted green-tea finish.,https://www.kinobigin.com/en/products/ki-no-tea/; https://www.thewhiskyexchange.com/p/39629/ki-no-tea-kyoto-dry-gin,2026-06-10,https://www.kinobigin.com/wp-content/uploads/2024/07/ki-no-tea.webp,gin_japan
Gin,The Kyoto Distillery,"Kyoto, Japan",KI NO TOU,own_make,NULL,FALSE,FALSE,"Old Tom Gin; Japanese Craft, Okinawan Kokuto; KI NO TOU",NAS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Old Tom edition of KI NO BI sweetened with Okinawan kokuto black sugar after distillation. ABV unconfirmed.,https://www.kinobigin.com/en/products/ki-no-tou/,2026-06-27,https://www.kinobigin.com/wp-content/uploads/2024/10/ki-no-tou.webp,gin_japan
Gin,Komasa Jozo,"Hioki, Kagoshima, Japan",Komasa Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Honkaku Shochu Gin, Sakurajima Komikan; Komasa Gin Komikan",NAS,NULL,NULL,90,45.0,NULL,NULL,NULL,Rice-shochu base; bright gentle citrus from tiny Sakurajima mandarin over juniper + coriander.,https://komasagin-en.com/komikan/,2026-06-10,https://komasagin-en.com/images/komikan.png,gin_japan
Gin,Komasa Jozo,"Hioki, Kagoshima, Japan",Komasa Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Honkaku Shochu Gin, Hojicha; Komasa Gin Hojicha",NAS,NULL,NULL,90,45.0,NULL,NULL,NULL,"Rice-shochu base; roasted green-tea (hojicha) aroma, subtle sweetness, hinoki balance over juniper.",https://komasagin-en.com/hojicha/,2026-06-10,https://komasagin-en.com/images/hojicha.png,gin_japan
Gin,Komasa Jozo,"Hioki, Kagoshima, Japan",Komasa Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Honkaku Shochu Gin, Ichigo; Komasa Gin Ichigo",NAS,NULL,NULL,90,45.0,NULL,NULL,NULL,"Rice-shochu base; strawberry over herbs (basil, raspberry, blueberry); juicy, complex; juniper-present.",https://komasagin-en.com/ichigo/,2026-06-10,https://komasagin-en.com/images/ichigo.png,gin_japan
Gin,SAKURAO Brewery and Distillery,"Hatsukaichi, Hiroshima, Japan",SAKURAO Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Hiroshima; SAKURAO Original",NAS,NULL,NULL,94,47.0,NULL,NULL,NULL,"9 Hiroshima botanicals (citrus, sakura, hinoki, oyster shell) + 5 imported incl. juniper, coriander; citrus fused with classic gin.",https://www.sakuraodistillery.com/en/sakurao/,2026-06-10,https://www.sakuraodistillery.com/assets/img/sakurao/img-original-01.jpg,gin_japan
Gin,SAKURAO Brewery and Distillery,"Hatsukaichi, Hiroshima, Japan",SAKURAO Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Hiroshima; SAKURAO Limited",NAS,NULL,NULL,94,47.0,NULL,NULL,NULL,"17 botanicals all from Hiroshima (land & sea), English-method distillation; richer, more complex.",https://www.sakuraodistillery.com/en/sakurao/; https://honeydaes.com/products/sakurao-gin-limited-edition-700ml-1,2026-06-10,https://www.sakuraodistillery.com/assets/img/sakurao/img-limited-01.jpg,gin_japan
Gin,SAKURAO Brewery and Distillery,"Hatsukaichi, Hiroshima, Japan",SAKURAO Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Hamagou; SAKURAO Hamagou",NAS,NULL,NULL,94,47.0,NULL,NULL,NULL,"Annual edition (8th in 2025) with hamagou (beach vitex) from Miyajima; herbal soft floral, mint, pepper, incense, citrus; warm-spice finish.",https://www.sakuraobd.co.jp/en/2025/07/hamagou2025/,2026-06-27,https://www.sakuraobd.co.jp/wp-content/uploads/2025/07/sf_hamagou_2507bana_680.jpg,gin_japan
Gin,Etsu Distillery,"Asahikawa, Hokkaido, Japan",Etsu,own_make,NULL,FALSE,FALSE,Distilled Gin; Japanese Craft; Etsu The Original,NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"Juniper, liquorice, angelica, coriander, yuzu, bitter orange; floral/vegetal nose, citrus + gentle pepper, silky finish.",https://etsugin.com/en/japanese-gins/etsu-the-original/,2026-06-10,https://etsugin.com/wp-content/uploads/2025/07/Design-sans-titre-3.jpg,gin_japan
Gin,Etsu Distillery,"Asahikawa, Hokkaido, Japan",Etsu,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Pacific Ocean Water; Etsu Pacific Ocean Water",NAS,NULL,NULL,90,45.0,NULL,NULL,NULL,"Distilled with deep Pacific Ocean water; iodised/saline, yuzu + bitter orange, mineral freshness.",https://etsugin.com/en/japanese-gins/etsu-pacific-ocean-water/,2026-06-10,https://etsugin.com/wp-content/uploads/2023/11/Plan-de-travail-1-copie-3_1-100.jpg,gin_japan
Gin,Etsu Distillery,"Akita, Japan",Etsu,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Double Yuzu; Etsu Double Yuzu",NAS,NULL,NULL,86,43.0,NULL,NULL,NULL,"7-day maceration; yuzu + matcha, juniper, liquorice/angelica, coriander; fresh zesty. Produced at the Akita distillery.",https://etsugin.com/en/japanese-gins/etsu-double-yuzu/,2026-06-27,https://etsugin.com/wp-content/uploads/2023/11/Plan-de-travail-1-copie-2_1-100.jpg,gin_japan
Gin,Meiri Shurui,"Mito, Ibaraki, Japan",Wa Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Premium; Wa Gin",NAS,NULL,NULL,90,45.0,NULL,NULL,NULL,"Aged sake/rice base, vacuum-distilled with 7 botanicals (juniper, lemon/orange peel, yuzu, cinnamon).",https://exports.pref.ibaraki.jp/en/product/detail?id=714696,2026-06-27,https://exports.pref.ibaraki.jp/resource/img/20200303122546000000912.jpg,gin_japan
Gin,Setouchi Distillery (Miyake Honten),"Kure, Hiroshima, Japan",Setouchi Craft Gin,own_make,NULL,FALSE,FALSE,"Distilled Gin; Japanese Craft, Lemon; Setouchi Craft Gin Lemon",NAS,NULL,NULL,94,47.0,NULL,NULL,NULL,"Setouchi lemon-forward + green tea, yuzu, amanatsu, juniper; bright citrus, delicate green-tea bitterness.",https://setouchidistillery.com/en/products/craft_gin/,2026-06-28,NULL,gin_japan
Gin,Nishi Shuzo,"Kagoshima, Japan",Tsukusu,own_make,NULL,FALSE,FALSE,Distilled Gin; Japanese Craft; Tsukusu,NAS,NULL,NULL,94,47.0,NULL,NULL,NULL,"Shochu-spirit base; two distillation runs across 24 botanicals; matured 30 days over Sakurajima volcanic rock; smooth, rounded.",https://www.nomunication.jp/2019/03/27/japanese-craft-gin-tsukusu-from-nishi-shuzo/,2026-06-27,https://www.nomunication.jp/wp-content/uploads/2019/03/LL_img_178820_1.jpg,gin_japan
