spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Gin,Lucas Bols,"Amsterdam, Netherlands",Bols,own_make,,FALSE,FALSE,Genever; ; Bols Genever Original,,,,84,42,,,,https://www.diffordsguide.com/beer-wine-spirits/1111/bols-genever;https://www.gin-foundry.com/gin/bols_genever_gin/,2026-06-27,https://cdn.diffords.com/contrib/bws/2024/03/65f85cfb5bd30.jpg,gin_netherlands
Gin,Lucas Bols,"Amsterdam, Netherlands",Bols,own_make,,FALSE,FALSE,"Genever; Barrel Aged, Oak Cask; Barrel Aged Genever",,,,84,42,,Limousin oak,,https://spiritsreview.com/reviews/bols-barrel-aged-genever-lucas-bols-bv/;https://www.lucasbols.com/our-brands/regional/bols-genevers,2026-06-27,https://spiritsreview.com/wp-content/uploads/2012/04/gin-bols-genever-oude-6291.jpg,gin_netherlands
Gin,Lucas Bols,"Amsterdam, Netherlands",Bols,own_make,,FALSE,FALSE,"Genever; Corenwijn, Oak Cask; Corenwyn",,,,76,38,,Limousin oak,,https://bols.com/products/bols-corenwyn-2;https://www.thewhiskyexchange.com/p/2950/bols-corenwijn-jenever,2026-06-27,http://bols.com/cdn/shop/products/BolsCorenwyn2.png,gin_netherlands
Gin,Nolet (Ketel 1 Distillery),"Schiedam, Netherlands",Nolet's,own_make,,FALSE,FALSE,Distilled Gin; ; Silver Dry Gin,,,,95.2,47.6,,,,https://noletsgin.com/;https://www.diffordsguide.com/beer-wine-spirits/340/nolets-silver-dry-gin,2026-06-27,https://cdn.diffords.com/contrib/bws/2021/12/61b237866a475.jpg,gin_netherlands
Gin,Nolet (Ketel 1 Distillery),"Schiedam, Netherlands",Nolet's,own_make,,FALSE,FALSE,Distilled Gin; ; Reserve,,,,104.6,52.3,,,,https://noletsgin.com/nolets-reserve/;https://www.caskers.com/nolet-s-reserve-gin/,2026-06-27,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/n/o/nolet_s-reserve-gin-1.jpg,gin_netherlands
Gin,Rutte,"Dordrecht, Netherlands",Rutte,own_make,,FALSE,FALSE,Distilled Gin; ; Dry Gin,,,,86,43,,,,https://www.diffordsguide.com/producers/448/distillery-rutte-and-zn/history;http://cocktailenthusiast.com/rutte-gin-review,2026-06-10,NULL,gin_netherlands
Gin,Rutte,"Dordrecht, Netherlands",Rutte,own_make,,FALSE,FALSE,Distilled Gin; ; Celery Gin,,,,86,43,,,,https://www.diffordsguide.com/producers/448/distillery-rutte-and-zn/history;http://cocktailenthusiast.com/rutte-gin-review,2026-06-10,NULL,gin_netherlands
Gin,Zuidam,"Baarle-Nassau, Netherlands",Zuidam,own_make,,FALSE,FALSE,Distilled Gin; ; Dutch Courage Dry Gin,,,,89,44.5,,,,https://www.zuidam.nl/en/gin/products/27-dutch-courage-dry-gin;https://distiller.com/spirits/zuidam-dutch-courage-dry-gin,2026-06-27,https://www.zuidamapp.com/files/image/dc-drygin-1liter-3-20220610093515-580x630.png,gin_netherlands
Gin,Zuidam,"Baarle-Nassau, Netherlands",Zuidam,own_make,,FALSE,FALSE,Distilled Gin; Barrel Aged; Dutch Courage Aged Gin 88,,,,88,44,,American oak,,https://www.zuidam.nl/en/gin/products/24-dutch-courage-aged-dry-gin;https://www.thewhiskyexchange.com/p/57056/zuidam-dutch-courage-aged-gin-88,2026-06-27,https://img.thewhiskyexchange.com/540/gin_zui3.jpg,gin_netherlands
Gin,Herman Jansen Beverages,"Schiedam, Netherlands",By the Dutch,own_make,,FALSE,FALSE,Genever; Oude; Old Genever,,,,76,38,,,,https://www.bythedutch.com/old-genever/;https://www.finedrams.com/by-the-dutch-old-genever.html,2026-06-27,https://d1wd5rt8ssn8ry.cloudfront.net/image/60751-large-1633459198/by-the-dutch-old-genever.jpg,gin_netherlands
Gin,De Kuyper Royal Distillers,"Schiedam, Netherlands",No.3,sourced,Berry Bros. & Rudd,TRUE,FALSE,London Dry Gin; ; No.3,,,,92,46,,,,https://www.bbr.com/products-10003000001-no-3-london-dry-gin-46%;https://www.thewhiskyexchange.com/p/12038/no3-london-dry-gin,2026-06-27,https://img.thewhiskyexchange.com/540/gin_no3.jpg,gin_netherlands
Gin,De Kuyper Royal Distillers,"Schiedam, Netherlands",No.3,sourced,Berry Bros. & Rudd,TRUE,FALSE,London Dry Gin; Organic; No.3 Organic,,,,92,46,,,,https://www.bbr.com/products-10003000014-no-3-organic-london-dry-gin-46%25,2026-06-10,NULL,gin_netherlands
Gin,Rutte,"Dordrecht, Netherlands",Rutte,own_make,,FALSE,FALSE,Genever; Oude; Old Simon,,,,70,35,Malt wine + neutral grain spirit,,,https://www.diffordsguide.com/producers/448/distillery-rutte-and-zn/history; https://www.rutte.com/,2026-06-10,NULL,gin_netherlands
