spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Gin,Bruichladdich,"Bruichladdich, Islay",The Botanist,own_make,,FALSE,FALSE,Distilled Gin; Coastal; Islay Dry,,,,92,46,,,,https://www.thebotanist.com/en-us,2026-06-04,NULL,gin_united_kingdom
Gin,Bruichladdich,"Bruichladdich, Islay",The Botanist,own_make,,FALSE,FALSE,"Distilled Gin; Coastal, Barrel Aged; Islay Cask Rested",,,,92,46,,"Cuvee of ~16 cask types, rested minimum 6 months",,https://www.htfw.com/the-botanist-islay-cask-rested-gin,2026-06-27,https://www.htfw.com/media/catalog/product/cache/51223aefd935e9442ebd0868a3d13ae4/l/p/lp20100_2_1.jpg,gin_united_kingdom
Gin,Bruichladdich,"Bruichladdich, Islay",The Botanist,own_make,,FALSE,FALSE,"Distilled Gin; Coastal, Barrel Aged; Islay Cask Aged",,,,92,46,,"Cuvee of ~6 cask types, aged minimum 3 years",,https://www.prnewswire.com/news-releases/the-botanist-islay-dry-gin-launches-first-ever-innovation-in-the-us-the-islay-cask-matured-gin-range-302049996.html,2026-06-28,NULL,gin_united_kingdom
Gin,Eden Mill,"St Andrews, Lowland",Eden Mill,own_make,,FALSE,FALSE,London Dry Gin,,,,80,40.0,,,,https://www.edenmill.com/products/eden-mill-original-gin,2026-06-27,http://www.edenmill.com/cdn/shop/files/shopify-05.jpg,gin_united_kingdom
Gin,The Glasgow Distillery,"Glasgow, Lowland",Makar,own_make,,FALSE,FALSE,London Dry Gin; Glasgow Dry,,,,86,43.0,,,,https://www.htfw.com/makar-original-glasgow-dry-gin,2026-06-27,https://www.htfw.com/media/catalog/product/cache/51223aefd935e9442ebd0868a3d13ae4/l/p/lp22917_2_1.jpg,gin_united_kingdom
Gin,Echlinville,"Kircubbin, Co. Down, Northern Ireland",Echlinville Irish Pot Still Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,92,46,,,,https://echlinville.com/brands/echlinville/,2026-06-06,https://echlinville.s3-assets.com/wp-content/uploads/2021/04/echlinville-gin-bottle.png,gin_united_kingdom
Gin,Echlinville,"Kircubbin, Co. Down, Northern Ireland",Jawbox Classic Dry Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,80,40,,,,https://echlinville.com/brands/jawbox/,2026-06-27,https://echlinville.s3-assets.com/wp-content/uploads/2021/03/JAWBOX-Summer2018-CH-82-scaled-e1622373664173.jpg,gin_united_kingdom
Gin,Hinch,"Ballynahinch, Co. Down, Northern Ireland",Ninth Wave Irish Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,https://hinchdistillery.com/collections/gin,2026-06-06,,gin_united_kingdom
Gin,Copeland,"Donaghadee, Co. Down, Northern Ireland",Copeland Donaghadee Traditional Irish Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,https://copelanddistillery.com/gin-collection/,2026-06-06,,gin_united_kingdom
Gin,Rademon Estate,"Crossgar, Co. Down, Northern Ireland",Shortcross Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,https://rademonestatedistillery.com/;https://rademonestatedistilleryshop.com/collections/gin,2026-06-06,,gin_united_kingdom
Gin,Boatyard,"Enniskillen, Co. Fermanagh, Northern Ireland",Boatyard Double Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,92,46,organic wheat spirit base,,,https://www.boatyarddistillery.com/range/boatyard-double-gin;https://www.masterofmalt.com/gin/the-boatyard-distillery/boatyard-double-gin/,2026-06-27,https://www.boatyarddistillery.com/application/files/1716/1417/0879/DG_Banner.jpg,gin_united_kingdom
Gin,Boatyard,"Enniskillen, Co. Fermanagh, Northern Ireland",Boatyard Old Tom Gin,own_make,,FALSE,FALSE,London Dry Gin,,,,,,,,,https://www.boatyarddistillery.com/range/old-tom-gin,2026-06-27,https://www.boatyarddistillery.com/application/files/6216/1417/2902/OldTomGin_Banner.jpg,gin_united_kingdom
