spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Gin,Jos. A. Magnus & Co.,"Holland, MI",Vigilant Navy Strength Gin,own_make,NULL,FALSE,FALSE,Navy Strength Gin; ; Vigilant Navy Strength Gin,NULL,NULL,NULL,114,57,NULL,NULL,NULL,https://josephmagnus.com/spirits/vigilant-navy-strength-gin/,2026-06-27,https://josephmagnus.com/wp-content/uploads/2019/10/VigilantNavyStrengthGin_Header.jpg,gin_united_states
Gin,Jos. A. Magnus & Co.,"Holland, MI",Vigilant District Dry Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Vigilant District Dry Gin,NULL,NULL,NULL,84,42,NULL,NULL,NULL,https://josephmagnus.com/spirits/vigilant-district-dry-gin/,2026-06-27,https://josephmagnus.com/wp-content/uploads/2019/10/DistrictDryGin_Header.jpg,gin_united_states
Gin,Shadow Ridge Spirits,"Oceanside, CA",SR Distilled Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; SR Distilled Gin,NULL,NULL,NULL,90,45.0,Wheat base spirit + botanicals,NULL,NULL,https://www.srdistilled.com/our-spirits,2026-05-29,NULL,gin_united_states
Gin,117 West Spirits,"Vista, CA",117 West,own_make,NULL,FALSE,FALSE,Distilled Gin; ; 117 West Gin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.117westspirits.com/store,2026-05-29,NULL,gin_united_states
Gin,Jettywave Distillery,"Half Moon Bay, CA",Coastal Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Coastal Gin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.jettywave.com,2026-05-29,NULL,gin_united_states
Gin,Hinterhaus Distilling,"Murphys, CA",South Grove Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; South Grove Gin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://hinterhaus.com,2026-05-29,NULL,gin_united_states
Gin,Hinterhaus Distilling,"Murphys, CA",Chasing Starlight Gin,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Chasing Starlight Gin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://hinterhaus.com,2026-05-29,NULL,gin_united_states
Gin,Moylan's Distilling Co,"Petaluma, CA",Moylan's,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Moylan's Gin (followup-verify spec),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://moylansdistilling.com,2026-05-29,NULL,gin_united_states
Gin,Black Sheep Distillery,"Prattsburgh, NY",Black Sheep,own_make,NULL,FALSE,FALSE,Distilled Gin; ; Black Sheep (45% Original),NAS,,,90,45.0,Grain base + NY botanicals (lavender coriander),,,https://blacksheepdistilleryny.com,2026-05-30,NULL,gin_united_states
Gin,Black Sheep Distillery,"Prattsburgh, NY",Black Sheep,own_make,NULL,FALSE,FALSE,Distilled Gin; Overproof; Black Sheep (46% — source-clarify per followup),NAS,,,92,46.0,Grain base + NY botanicals,,,https://blacksheepdistilleryny.com,2026-05-30,NULL,gin_united_states
