spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Blended Irish Whiskey; Original,NAS,,,80.0,40.0,,Ex-bourbon American oak (malt + grain),,"Triple distilled malt blended with lighter grain whiskey; fresh fruit, vanilla, honey.",https://www.bushmills.eu/whiskeys/original/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2019/05/Bushmills-Original-70cl-Bottle-Shot.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Blended Irish Whiskey; Black Bush,NAS,,,80.0,40.0,,Selected Oloroso sherry casks + bourbon,,"High-malt special blend; dried fruit, deep amber, intense character.",https://www.bushmills.eu/whiskeys/black-bush/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2019/05/202105-Bushmills-Black-Bush-white.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Blended Irish Whiskey; Red Bush,NAS,,,80.0,40.0,,First-fill ex-bourbon casks,,"US-market blend; vanilla, honey.",https://www.bushmills.eu/whiskeys/; https://distiller.com/spirits/bushmills-red-bush,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt,10 Years,,,80.0,40.0,,Ex-bourbon + Oloroso sherry casks,,"Triple distilled 100% malted barley; honey, vanilla, milk chocolate.",https://www.bushmills.eu/whiskeys/10-year/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2019/05/10YO_700ML-r_v2.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Marsala Cask Finish,12 Years,,,80.0,40.0,,Oloroso sherry + ex-bourbon,Marsala wine casks,Finished 6-9 months in Marsala casks.,https://www.bushmills.eu/whiskeys/12-year-old/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2025/10/12YO_700ML-r.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Malaga Cask Finish,14 Years,,,80.0,40.0,,First & second-fill ex-bourbon barrels,Malaga casks,Core-range single malt finished in Malaga casks.,https://www.bushmills.eu/whiskeys/14-year-old/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2024/10/14YO_700ML-r-1.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Three Wood,16 Years,,,80.0,40.0,,Ex-bourbon + Spanish Oloroso sherry butts,Port pipes,Three Wood maturation; full depth.,https://www.bushmills.eu/whiskeys/16-year/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2019/05/16YO_700ML-r.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Madeira Finish; Triple Distilled,21 Years,,,80.0,40.0,,Ex-bourbon + Oloroso sherry (19yr+),Madeira drums (2yr),Vatted then married 2 years in Madeira drums.,https://www.bushmills.eu/whiskeys/21-year/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2019/05/21YO_24_700ML-r.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Prestige Collection; Ruby Port Finish,25 Years,,,92.0,46.0,,Bourbon + sherry,Ruby port pipes (up to 21yr),Non-chill filtered; ultra-prestige core.,https://www.bushmills.eu/whiskeys/25-year-old/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2023/04/25YO_700ML-r.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Prestige Collection; Crystal Malt,26 Years,,,92.0,46.0,,,,"Crystal malt enrichment; chocolate, caramel. Permanent Prestige addition (2024).",https://shop.bushmills.com/products/26-year-old-crystal-malt; https://www.irishwhiskeymagazine.com/news/bushmills-releases-innovative-26-year-old-crystal-malt/,2026-06-27,https://www.irishwhiskeymagazine.com/wp-content/uploads/2024/12/Bushmills-26-year-old-Crystal-Malt.jpg,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Prestige Collection; PX Sherry Finish,30 Years,,,92.0,46.0,,Ex-bourbon + Oloroso sherry (14yr),Pedro Ximenez sherry casks (16yr),Non-chill filtered.,https://www.bushmills.eu/whiskeys/30-year-old/,2026-06-06,https://www.bushmills.eu/wp-content/uploads/2023/04/30YO_700ML-r.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Prestige Collection,31 Years,,,92.0,46.0,,,,Prestige Collection aged single malt.,https://www.thespiritsbusiness.com/2024/11/bushmills-adds-26yo-to-prestige-collection/,2026-06-27,https://www.thespiritsbusiness.com/content/uploads/2024/11/Bushmills-Prestige-Collection-26YO.png,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; American Oak Cask Finish,NAS,,,80.0,40.0,,,New American oak casks,Travel-retail cask-finish series.,https://www.htfw.com/bushmills-american-oak-cask-finish-irish-whiskey,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Caribbean Rum Cask Finish,NAS,,,80.0,40.0,,,Caribbean rum casks,Travel-retail cask-finish series.,https://www.thewhiskyexchange.com/p/60012/bushmills-caribbean-rum-cask-finish,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Steamship Collection; Bourbon Cask Reserve,NAS,,,80.0,40.0,,First-fill ex-bourbon casks,,Travel-retail Steamship series.,https://www.thewhiskyexchange.com/p/67305/bushmills-bourbon-cask-the-steamship-collection,2026-06-27,https://img.thewhiskyexchange.com/540/wine_cap2021.jpg,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Steamship Collection; Sherry Cask Reserve,NAS,,,80.0,40.0,,First-fill Oloroso sherry butts,,Travel-retail Steamship series (launched 2016).,https://www.masterofmalt.com/whiskies/bushmills/bushmills-sherry-cask-reserve-steamship-collection-whiskey/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Steamship Collection; Port Cask Reserve,NAS,,,80.0,40.0,,,Port wine casks,Travel-retail Steamship series.,https://www.celticwhiskeyshop.com/Bushmills-Steamship-Collection-Port-Cask,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Secrets of the River Bush,46 Years,,,92.6,46.3,,Oloroso sherry butts (Antonio Paez Lobato cooperage),,Oldest Irish single malt ever released (2025); 300 bottles.,https://www.irishwhiskeymagazine.com/news/latest-news/bushmills-46-year-old-single-malt-irish-whiskey/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Sauternes Cask,10 Years,2011,,112.6,56.3,,,Sauternes casks,Causeway Collection 2021; Ireland exclusive.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Port Cask,32 Years,,,100.2,50.1,,,Port casks,Causeway Collection 2021.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Jupille Cask,13 Years,,,110.2,55.1,,,Jupille (red wine) casks,Causeway Collection 2021.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Madeira Cask,,1991,,100.4,50.2,,,Madeira casks,Causeway Collection 2021.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Port Cask,,2000,,108.2,54.1,,,Port casks,Causeway Collection 2021.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Cognac Cask,10 Years,,,92.0,46.0,,,Cognac casks,Causeway Collection 2021.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Cuvee Cask,10 Years,,,109.6,54.8,,,Cuvee wine casks,Causeway Collection 2021.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; New American Oak Cask,30 Years,,,96.8,48.4,,,New American oak casks,Causeway Collection 2021; GTR exclusive.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Bourbon Cask,27 Years,,,104.2,52.1,,Ex-bourbon casks,,Causeway Collection 2021.,https://whiskymag.com/articles/bushmills-to-auction-complete-2021-causeway-collection,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; New American Oak Cask,,1999,,,,,,New American oak casks,Causeway Collection 2023; ABV pending verification.,https://www.bushmills.eu/whiskeys/1999-new-american-oak-cask/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Old Bushmills Distillery,"Bushmills, Co. Antrim, Northern Ireland",Bushmills,own_make,,FALSE,FALSE,Single Malt; Causeway Collection; Cognac Cask,,2010,,,,,,Cognac casks,Causeway Collection 2023; ABV pending verification.,https://www.bushmills.eu/whiskeys/2010-cognac-cask/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Cooley Distillery,"Riverstown, Co. Louth, Ireland",The Tyrconnell,own_make,,FALSE,FALSE,Single Malt; Double Distilled,NAS,,,80.0,40.0,,Ex-bourbon barrels,,"Double-distilled single malt; roasted nuts, nougat, honeyed palate.",https://www.thetyrconnellwhiskey.com/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Cooley Distillery,"Riverstown, Co. Louth, Ireland",The Tyrconnell,own_make,,FALSE,FALSE,Single Malt; Double Distilled; Madeira Cask Finish,10 Years,,,92.0,46.0,,Ex-bourbon barrels,Madeira casks,Aged 10yr then Madeira finish.,https://www.thetyrconnellwhiskey.com/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Cooley Distillery,"Riverstown, Co. Louth, Ireland",The Tyrconnell,own_make,,FALSE,FALSE,Single Malt; Double Distilled; Port Cask Finish,10 Years,,,92.0,46.0,,Ex-bourbon barrels,Port casks (Douro),10yr then 6-8 months in port casks.,https://www.thetyrconnellwhiskey.com/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Cooley Distillery,"Riverstown, Co. Louth, Ireland",The Tyrconnell,own_make,,FALSE,FALSE,Single Malt; Double Distilled; Sherry Cask Finish,10 Years,,,92.0,46.0,,Ex-bourbon barrels,Oloroso sherry casks,10yr then 6-8 months in Oloroso casks.,https://www.thetyrconnellwhiskey.com/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Cooley Distillery,"Riverstown, Co. Louth, Ireland",The Tyrconnell,own_make,,FALSE,FALSE,Single Malt; Double Distilled,16 Years,,,92.0,46.0,,Ex-bourbon barrels,,Limited aged release; 16yr in bourbon barrels.,https://www.thetyrconnellwhiskey.com/,2026-06-06,NULL,irish_whiskey_established
Irish Whiskey,Cooley Distillery,"Riverstown, Co. Louth, Ireland",The Tyrconnell,own_make,,FALSE,FALSE,Single Malt; Double Distilled,15 Years,,,92.0,46.0,,Ex-bourbon barrels,,Limited aged release; ABV/availability to confirm.,https://www.masterofmalt.com/distilleries/tyrconnell-whiskey/,2026-06-06,NULL,irish_whiskey_established
