spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey,NAS,,,80.0,40.0,,Ex-bourbon American oak + sherry casks,,"Nose: floral, spice, nutty; Palate: honey, vanilla; smooth.",https://www.jamesonwhiskey.com/en-us/our-whiskey/jameson-irish-whiskey/,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Black Barrel,NAS,,,80.0,40.0,,Double-charred ex-bourbon American oak + sherry,,"Toffee, butterscotch, spice; fuller-bodied. (formerly Select Reserve)",https://www.jamesonwhiskey.com/en-us/our-whiskey/jameson-black-barrel/,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Caskmates; Stout Edition,NAS,,,80.0,40.0,,Ex-bourbon American oak + sherry,Irish stout-seasoned casks,"Cocoa, coffee, butterscotch.",https://www.jamesonwhiskey.com/en-us/our-whiskey/jameson-stout-edition/,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Caskmates; IPA Edition,NAS,,,80.0,40.0,,,Irish IPA-seasoned casks,"Hops, citrus, mild floral.",https://www.jamesonwhiskey.com/en-us/our-whiskey/jameson-ipa-edition/,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Crested,NAS,,,80.0,40.0,,Ex-bourbon + sherry (higher pot still content),,"Maple, vanilla, sherry spice. (formerly Crested Ten)",https://www.jamesonwhiskey.com/en-us/our-whiskey/jameson-crested/,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Cask Strength; 18 Years Bow Street,18 Years,2018,Batch 1,110.6,55.3,,European + American oak,"First-fill bourbon (Bow Street, Dublin)","Toffee, toasted oak, spice.",https://www.thewhiskyexchange.com/p/45915/jameson-18-year-old-bow-street-edition; https://www.htfw.com/jameson-bow-street-batch-no-1-2018-irish-18-year-old-whiskey,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Cask Strength; 18 Years Bow Street,18 Years,2019,Batch 2,110.2,55.1,,European + American oak,"First-fill bourbon (Bow Street, Dublin)",,https://www.masterofmalt.com/whiskies/jameson/jameson-18-year-old-bow-street-whiskey/,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/10107_source_1773418879.jpg,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Triple Triple,NAS,,,80.0,40.0,,Ex-bourbon + sherry,Malaga wine casks,"Pear, citrus peel, dark fruit, clove.",https://shop.jamesonwhiskey.com/products/jameson-triple-triple,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Triple Triple; Chestnut Edition,NAS,,,80.0,40.0,,Ex-bourbon + oloroso sherry,Chestnut casks,"Toffee, cacao, toasted almonds.",https://www.irishdistillers.ie/article/introducing-new-jameson-triple-triple-chestnut-edition/,2026-06-05,NULL,irish_whiskey_midleton
Irish Whiskey,Midleton Distillery,"Midleton, Co. Cork, Ireland",Jameson,own_make,,FALSE,FALSE,Blended Irish Whiskey; Whiskey Makers Series; The Distiller's Safe,NAS,,,86.0,43.0,,First-fill ex-bourbon,,"Floral, green apple, vanilla; NCF.",https://www.thewhiskyexchange.com/feature/jamesonwhiskeymakers,2026-06-05,NULL,irish_whiskey_midleton
