spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Blended Irish Whiskey; Bonder's Blend,NAS,,,92,46.0,,,,"Nose of spicy, buttery, coconut and clove; palate of crème brûlée, nutty, vanilla and fudge; warm creamy finish with dried fruits.",https://www.eganswhiskey.com/our-whiskey/;https://www.celticwhiskeyshop.com/egans-bonders-blend,2026-06-06,https://www.eganswhiskey.com/wp-content/uploads/elementor/thumbs/Untitled-design-30-768x1828-1-r18cr05qn3dm4j8fi80mpmnqypsrb4al833nhml6v4.png,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Single Grain; Vintage Grain,8 Years,,,92,46.0,,American oak ex-bourbon barrels,,"Nose of vanilla, oak fudge and caramel; smooth vanilla palate with subtle spice; long gentle warming finish.",https://www.eganswhiskey.com/our-whiskey/,2026-06-06,https://www.eganswhiskey.com/wp-content/uploads/elementor/thumbs/Vintage-Grain-600x1552-1-r18cr05qn3dm4j8fi80mpmnqypsrb4al833nhml6v4.png,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Single Malt; Endeavour,NAS,,,92,46.0,,Virgin oak; Oloroso sherry; imperial stout casks,,"Nose of vanilla, Earl Grey, dried dark fruit and warm tar; palate of toffee, chocolate, dried fruits, oak and walnuts with peated undercurrent; long finish of tannins, peat and black pepper.",https://www.eganswhiskey.com/our-whiskey/,2026-06-06,https://www.eganswhiskey.com/wp-content/uploads/elementor/thumbs/botella-endeavour-600x1595-1-r18cr13ktxewg572cqf9a4f7k3o4itebk7r4ywjsow.png,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Single Malt; Fortitude; Sherry Cask,NAS,,,92,46.0,,Sherry casks (PX),,"Nose of heavy red sherry, honey, raisins and marzipan; palate full of complexity with sherry, mixed fruit, raisins and sultanas; satisfyingly long finish.",https://www.eganswhiskey.com/our-whiskey/,2026-06-06,https://www.eganswhiskey.com/wp-content/uploads/elementor/thumbs/botella-fortitude-r18cr13ktxewg572cqf9a4f7k3o4itebk7r4ywjsow.png,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,blended,Egan's,TRUE,FALSE,Blended Irish Whiskey; Conviction; Cognac Cask,10 Years,,,92,46.0,,Ex-bourbon (single malt and single grain),XO Cognac casks,"Nose of floral grains, honey, dried apricot and vanilla; palate of light wafers, new leather, sultanas, almond, ginger chocolate and zesty fruits; long gentle finish.",https://www.eganswhiskey.com/our-whiskey/,2026-06-06,https://www.eganswhiskey.com/wp-content/uploads/elementor/thumbs/botella-conviction-600x1544-1-r18cr13ktxewg572cqf9a4f7k3o4itebk7r4ywjsow.png,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Single Malt; Legacy Reserve Volume I,15 Years,,,92,46.0,,American bourbon casks,,"Aged 15 years in American bourbon casks, hand-selected by Maurice and Jonathan Egan; limited to ~1,000 bottles. First release in the Legacy Reserve series.",https://www.celticwhiskeyshop.com/Egan's-15-Year-Old-Legacy-Reserve;https://www.thewhiskyexchange.com/p/49929/egans-legacy-reserve-15-year-old,2026-06-06,,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Single Malt; Legacy Reserve Volume II; Banyuls Cask Finish,16 Years,,,92,46.0,,Ex-bourbon casks,Banyuls wine casks,"Matured in ex-bourbon casks then finished in Banyuls wine casks from the Catalan Pyrenees; limited release of ~1,000 bottles. Second release in the Legacy Reserve series.",https://www.thewhiskyexchange.com/p/51232/egans-legacy-reserve-16-year-old,2026-06-06,,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Single Malt; Legacy Reserve Volume III; Cadillac Cask Finish,17 Years,,,92,46.0,,Bourbon oak,French Cadillac AOC sweet wine casks,Aged 17 years in bourbon oak then finished in French Cadillac AOC casks. Third release in the Legacy Reserve series.,https://www.drinkhacker.com/2021/03/14/review-egans-single-malt-irish-whiskey-legacy-reserve-volume-iii-17-years-old/,2026-06-27,https://www.drinkhacker.com/wp-content/uploads/2021/02/Egans-Legacy-3.jpg,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Tullamore, Co. Offaly, Ireland",Egan's,sourced,Egan's,TRUE,FALSE,Single Malt; Legacy Reserve Volume IV; Moscatel Cask Finish,18 Years,,,92,46.0,,American bourbon barrels,Moscatel de Valencia casks,"Matured 17 years in ex-bourbon barrels then finished one year in Moscatel de Valencia casks. Nose of burnt orange, nougat and jasmine; palate of apricots and honeysuckle; long finish with black pepper. Final release in the Legacy Reserve series.",https://www.eganswhiskey.com/our-whiskey/,2026-06-06,https://www.eganswhiskey.com/wp-content/uploads/elementor/thumbs/BotellaaLegacy-43x-768x1285-1-r18cqrp6xl2181kpvmczl6slm8ygdud06x8a64xqf4.png,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,sourced,Hyde,TRUE,FALSE,Single Malt; No.1 President's Cask; Sherry Cask Finish,10 Years,,,92,46.0,,First-fill ex-bourbon barrels,Toasted Oloroso sherry casks,Aged 10 years in first-fill 200L ex-bourbon barrels then finished ~10 months in toasted Oloroso sherry casks.,https://www.masterofmalt.com/whiskies/hibernia/hyde-10-year-old-no-1-presidents-cask-whiskey/;https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/25898_source_1758883151.jpg,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,sourced,Hyde,TRUE,FALSE,Single Malt; No.2 President's Cask; Rum Cask Finish,10 Years,,,92,46.0,,First-fill charred ex-bourbon casks,Caribbean dark rum casks,Aged 10 years in flame-charred first-fill 200L ex-bourbon casks then finished ~8 months in 200L charred dark Caribbean rum casks.,https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-06,,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,sourced,Hyde,TRUE,FALSE,Single Grain; No.3 The Áras Cask; Bourbon Matured,6 Years,,,92,46.0,,First-fill ex-bourbon casks (Kentucky),,Triple-distilled single grain matured at least 6 years in flame-charred first-fill ex-bourbon casks from Kentucky.,https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-06,,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,sourced,Hyde,TRUE,FALSE,Single Malt; No.4 President's Cask; Rum Cask Finish,6 Years,,,92,46.0,,First-fill ex-bourbon casks,Rum casks,6-year-old single malt President's Cask finished in rum casks.,https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-06,,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,sourced,Hyde,TRUE,FALSE,Single Grain; No.5 The Áras Cask 1860; Burgundy Cask Finish,NAS,,,92,46.0,,Ex-bourbon casks,Burgundy wine casks,Single grain Irish whiskey finished in Burgundy casks. Bottled at 46%.,https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-06,,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,blended,Hyde,TRUE,FALSE,Blended Irish Whiskey; No.6 President's Reserve; Sherry Cask Finish,NAS,,,92,46.0,,Ex-bourbon casks,Spanish Oloroso sherry butts,Blend of 18-year-old single malt and 8-year-old single grain finished in vintage Spanish Oloroso sherry butts. 1938 Commemorative Edition.,https://www.masterofmalt.com/whiskies/hyde/hyde-no-6-presidents-reserve-whiskey/;https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-27,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/11709_source_1777116029.jpg,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,sourced,Hyde,TRUE,FALSE,Single Malt; No.7 President's Cask 1893; Sherry Cask Matured,NAS,,,92,46.0,,Sherry casks,,Sherry cask matured single malt Irish whiskey. Bottled at 46%.,https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-06,,irish_whiskey_ndps_bottlers
Irish Whiskey,Undisclosed (Ireland),"Cork, Ireland",Hyde,blended,Hyde,TRUE,FALSE,Blended Irish Whiskey; No.8 Heritage Cask 1640; Stout Cask Finish,NAS,,,86,43.0,,Ex-bourbon casks,Stout casks,"Blend of ~75% 4-year-old single grain and ~25% 4-year-old single malt, finished in stout casks. Bottled at 43%.",https://www.irishdrinkshop.com/Hyde-No-8-Stout-Cask-Finish;https://www.whiskybase.com/whiskies/brand/83437/hyde,2026-06-27,https://www.irishdrinkshop.com/image/cache/catalog/Irish%20Whiskey/Hyde%201604%20No.8%20Stout%20Cask%20Finish-600x315w.jpg,irish_whiskey_ndps_bottlers
