spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Signature Blend,own_make,,FALSE,FALSE,Blended Irish Whiskey,NAS,,,80,40,,Bourbon Cask,,https://www.roeandcowhiskey.com/our-whiskey,2026-06-27,https://images.ctfassets.net/h07fxpgu0eby/3VYGqOoEy9VTfL5gPv6Eoi/0d222c9f24d0b28766735b3baf4a9bbc/roe_and_co_logo.jpeg,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Blended Irish Whiskey,sourced,,FALSE,FALSE,Blended Irish Whiskey,NAS,,,90,45,,Bourbon Cask,,https://www.roeandcowhiskey.com/our-whiskey,2026-06-27,https://images.ctfassets.net/h07fxpgu0eby/3VYGqOoEy9VTfL5gPv6Eoi/0d222c9f24d0b28766735b3baf4a9bbc/roe_and_co_logo.jpeg,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Flor,own_make,,FALSE,FALSE,Single Grain,NAS,,,92,46,,,Solera (fortified-wine seasoned),https://www.roeandcowhiskey.com/our-whiskey,2026-06-27,https://images.ctfassets.net/h07fxpgu0eby/3VYGqOoEy9VTfL5gPv6Eoi/0d222c9f24d0b28766735b3baf4a9bbc/roe_and_co_logo.jpeg,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Solera,own_make,,FALSE,FALSE,Single Malt; Triple Distilled,NAS,,No.1,92,46,,,Solera,https://www.roeandcowhiskey.com/our-whiskey,2026-06-27,https://images.ctfassets.net/h07fxpgu0eby/3VYGqOoEy9VTfL5gPv6Eoi/0d222c9f24d0b28766735b3baf4a9bbc/roe_and_co_logo.jpeg,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Cask Strength,sourced,,FALSE,FALSE,Blended Irish Whiskey; Cask Strength,NAS,2019,2019 Edition,118.2,59.1,,,,https://www.irishmalts.com/blended/roe-co-cask-strength-2019-edition/;https://www.irishdrinkshop.com/Roe-and-Co-Cask-Strength,2026-06-27,https://www.irishmalts.com/wp-content/uploads/2020/08/Roe-Co-Cask-Strength-2019-Edition.webp,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Cask Strength,sourced,,FALSE,FALSE,Single Malt; Cask Strength,13 Years,2020,2020 Edition,116,58,,Port Cask,,https://distiller.com/spirits/roe-co-cask-strength-2020-edition;https://www.irishwhiskeymagazine.com/news/roe-co-launch-their-second-installment-of-the-cask-strength-series/,2026-06-28,NULL,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Cask Strength,sourced,,FALSE,FALSE,Single Grain; Cask Strength,13 Years,2021,2021 Edition,117.2,58.6,,,Alligator-char new oak,https://www.irishwhiskeymagazine.com/news/roe-co-launch-cask-strength-2021-edition/;https://www.irishdrinkshop.com/Roe-Co-Cask-Strength-2021,2026-06-27,https://www.irishwhiskeymagazine.com/wp-content/uploads/2021/10/Roe-co-Cask-Strength-2021-10.jpg,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Cask Strength,sourced,,FALSE,FALSE,Blended Irish Whiskey; Cask Strength,NAS,2022,2022 Full Bourbon Matured,124.6,62.3,,Bourbon First Fill,,https://www.whisky.com/whisky-database/details/roe-co-cask-strength-limited-edition-2022-full-bourbon-matured.html,2026-06-06,https://www.whisky.com/fileadmin/_processed_/3/6/csm_Roe___Co_Cask_Strength_Limited_Edition_2022_Full_Bourbon_Matured_358a8d847e.jpg,irish_whiskey_new_craft
Irish Whiskey,Roe & Co,"Dublin, Co. Dublin, Ireland",Roe & Co Cask Strength,sourced,,FALSE,FALSE,Single Malt; Cask Strength,13 Years,2022,2022 Full Port Cask Matured,113.8,56.9,,Port Cask,,https://www.whisky.com/whisky-database/details/roe-co-full-port-cask-matured-cask-strength-edition-2022.html,2026-06-06,https://www.whisky.com/fileadmin/_processed_/e/6/csm_Roe___Co_13_J_Cask_Strength_Limited_Edition_2022_Full_Port_Matured_a16e3ee8c5.jpg,irish_whiskey_new_craft
Irish Whiskey,Pearse Lyons,"Dublin, Co. Dublin, Ireland",Pearse Original,unknown,,,FALSE,Blended Irish Whiskey,5 Years,,,86,43,,Bourbon Cask,,https://pearselyonsdistillery.com/product/pearse-original/,2026-06-06,https://pearselyonsdistillery.com/wp-content/uploads/2022/07/Daniel-Rrell-Photography_Pearse-Lyons_Original.jpg,irish_whiskey_new_craft
Irish Whiskey,Pearse Lyons,"Dublin, Co. Dublin, Ireland",Pearse Distiller's Choice,unknown,,,FALSE,Blended Irish Whiskey,7 Years,,,86,43,,Bourbon Cask,Sherry Cask,https://pearselyonsdistillery.com/product/pearse-distillers-choice/,2026-06-27,https://pearselyonsdistillery.com/wp-content/uploads/2022/07/Daniel-Rrell-Photography_Pearse-Lyons_Distillers-Choice.png,irish_whiskey_new_craft
