spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; Spirit of Asama The Whisky Exchange,,,,110.0,55,,,,https://www.spiritradar.com/whisky-db/karuizawa-spirit-of-asama-55-percent-700ml,2026-06-28,NULL,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; 1999 2000 Asama European Oak Sherry Casks,,,,92.0,46,,Sherry cask,,https://www.spiritradar.com/whisky-db/karuizawa-1999-2000-asama-46-percent-700ml,2026-06-28,NULL,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; Spirit of Asama The Whisky Exchange,,,,96.0,48,,,,https://www.spiritradar.com/whisky-db/karuizawa-spirit-of-asama-48-percent-700ml,2026-06-28,NULL,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; Multi-Vintages #1 Noh Whisky &,,,,118.2,59.1,,Bourbon cask,,https://www.spiritradar.com/whisky-db/karuizawa-multi-vintages-1-noh-whisky-59.1-percent-700ml,2026-06-28,NULL,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; 1983 Noh Whisky Chorei Beshimi #7576,,1983,7576,114.4,57.2,,Sherry butt,,https://www.spiritradar.com/whisky-db/karuizawa-1983-noh-whisky-chorei-beshimi-57.2-percent-700ml;https://www.finespirits.auction/uk/domain/7457-Karuizawa.jsp,2026-06-07,https://www.finespirits.auction/fr/images/photos_ventes/large/B3291070_4.jpg,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; 1981 Noh Whisky #155,,1981,155,112.0,56,,Sherry butt,,https://www.spiritradar.com/whisky-db/karuizawa-1981-noh-whisky-56-percent-700ml;https://www.finespirits.auction/uk/domain/7457-Karuizawa.jsp,2026-06-07,https://www.finespirits.auction/fr/images/photos_ventes/large/B3152934_3.jpg,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,La Maison du Whisky,TRUE,FALSE,Single Malt; Single Cask; 1981 Cocktail Serie #162 LMDW,,1981,162,111.6,55.8,,Sherry butt,,https://www.spiritradar.com/whisky-db/karuizawa-1981-cocktail-serie-55.8-percent-700ml;https://www.finespirits.auction/uk/domain/7457-Karuizawa.jsp,2026-06-07,https://www.finespirits.auction/fr/images/photos_ventes/large/B3101711_714.jpg,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; 1984 Cask by cask #7802,,1984,7802,113.4,56.7,,,,https://www.spiritradar.com/whisky-db/karuizawa-1984-cask-by-cask-56.7-percent-700ml,2026-06-28,NULL,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,La Maison du Whisky,TRUE,FALSE,Single Malt; Single Cask; 1981 Artifices Serie #136 LMDW,,1981,136,110.6,55.3,,Sherry cask,,https://www.spiritradar.com/whisky-db/karuizawa-1981-artifices-serie-55.3-percent-700ml;https://www.finespirits.auction/uk/domain/7457-Karuizawa.jsp,2026-06-07,https://www.finespirits.auction/fr/images/photos_ventes/large/B3017452_194.jpg,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,La Maison du Whisky,TRUE,FALSE,Single Malt; Single Cask; 2000 Sea Dragon #166 LMDW,,2000,166,128.6,64.3,,Sherry butt,,https://www.spiritradar.com/whisky-db/karuizawa-2000-sea-dragon-64.3-percent-700ml;https://www.finespirits.auction/uk/domain/7457-Karuizawa.jsp,2026-06-07,https://www.finespirits.auction/fr/images/photos_ventes/large/B3017452_195.jpg,japanese_whisky_legacy_closed_ndps
Japanese Whisky,Karuizawa,"Miyota, Japan",Karuizawa,sourced,Number One Drinks,TRUE,FALSE,Single Malt; Single Cask; 17yo Crystal Decanter,17 Years,,,80.0,40,,,,https://www.spiritradar.com/whisky-db/karuizawa-17yo-crystal-decanter-40-percent-700ml,2026-06-28,NULL,japanese_whisky_legacy_closed_ndps
