spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt; Distiller's Reserve,NAS,,,,43,,American oak; Spanish oak; Mizunara (Japanese oak),,https://house.suntory.com/yamazaki-whisky/yamazaki-distillers-reserve,2026-06-26,https://house.suntory.com/sites/default/files/2024-11/yamazaki-distillery-house-of-suntory.png,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt,12 Years,,,,43,,American oak; Spanish oak; Mizunara (Japanese oak),,https://house.suntory.com/yamazaki-whisky/yamazaki-12-years-old,2026-06-06,https://house.suntory.com/sites/default/files/2024-11/yamazaki-12-years-house-of-suntory.png,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt,18 Years,,,,43,,American oak; Spanish oak; Mizunara (Japanese oak),,https://house.suntory.com/yamazaki-whisky/yamazaki-18-years-old,2026-06-26,https://house.suntory.com/sites/default/files/2024-11/yamazaki-18-years-house-of-suntory.png,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt,25 Years,,,,43,,American oak; Spanish oak (ex-Oloroso sherry); Mizunara (Japanese oak),,https://www.thewhiskyexchange.com/p/64228/yamazaki-25-year-old,2026-06-06,https://img.thewhiskyexchange.com/540/japan_yam25yo.jpg,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt; Mizunara Cask,55 Years,2020,,92,46,,"Mizunara (Japanese oak, dist.1960); white oak (dist.1964)",,https://www.suntoryglobalspirits.com/news/house-suntory-whisky-proudly-introduces-yamazakir-55-years-oldtm,2026-06-06,,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt; Mizunara Cask,18 Years,2017,,96,48,,Mizunara (Japanese oak),,https://www.thewhiskyexchange.com/p/40791/yamazaki-mizunara-18-year-old-2017-edition,2026-06-06,,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt; Mizunara Cask; 100th Anniversary,18 Years,2023,,96,48,,Mizunara (Japanese oak),,https://thewhiskeywash.com/whiskey-styles/world/everything-you-need-to-know-about-the-yamazaki-18-year-old-mizunara-100th-anniversary/; https://www.thewhiskyexchange.com/p/71848/yamazaki-18-year-old-mizunara-100th-anniversary,2026-06-06,,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt; Mizunara Cask,25 Years,,,96,48,,Mizunara (Japanese oak),,https://www.thewhiskyexchange.com/p/85197/yamazaki-25-year-old-mizunara,2026-06-06,,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt; 100th Anniversary Edition,12 Years,2023,,,43,,American oak; Spanish oak; Mizunara (Japanese oak),,https://house.suntory.com/yamazaki-whisky; https://thewhiskeywash.com/whiskey-styles/world/everything-you-need-to-know-about-the-yamazaki-18-year-old-mizunara-100th-anniversary/,2026-06-06,,japanese_whisky_suntory
Japanese Whisky,Suntory Yamazaki Distillery,"Shimamoto, Osaka, Japan",Yamazaki,own_make,,FALSE,FALSE,Single Malt; 100th Anniversary Edition,18 Years,2023,,,43,,American oak; Spanish oak; Mizunara (Japanese oak),,https://house.suntory.com/yamazaki-whisky; https://thewhiskeywash.com/whiskey-styles/world/everything-you-need-to-know-about-the-yamazaki-18-year-old-mizunara-100th-anniversary/,2026-06-06,,japanese_whisky_suntory
