spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Victoria Distillers,"Sidney, BC, Canada",Victoria Chocolate Liqueur,own_make,NULL,FALSE,FALSE,Cream Liqueur; Chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://victoriadistillers.com/spirits/chocolate-liqueur/,2026-09-22,NULL,liqueur_canada
Liqueur,Victoria Distillers,"Sidney, BC, Canada",Victoria Bitter Bianca,own_make,NULL,FALSE,FALSE,Aperitif Liqueur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://victoriadistillers.com/spirits/bitter-bianca/; https://www.binnys.com/spirits/liqueurs-cordials/victoria-distillers-bitter-bianca-160360/,2026-09-22,NULL,liqueur_canada
Liqueur,Victoria Distillers,"Sidney, BC, Canada",Sidney Spiced,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Spiced,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://victoriadistillers.com/; _cross_category_capture.md (Gin Sub 3),2026-06-23,NULL,liqueur_canada
Liqueur,Ungava Spirits Co.,"Cowansville, QC, Canada",Coureur des Bois Maple Cream Whisky Liqueur,own_make,NULL,FALSE,FALSE,Cream Liqueur; Whisky Base; Maple,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.saq.com/en/11091921; https://www.ungavaco.com/en/products/cabot-trail-cream/,2026-09-22,NULL,liqueur_canada
Liqueur,Sheringham Distillery,"Sooke, BC, Canada",Sheringham Rhubarb Liqueur,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Rhubarb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.sheringhamdistillery.com/fresh-rhubarb-liqueur/; https://www.bcliquorstores.com/product/95941,2026-09-22,https://www.sheringhamdistillery.com/wp-content/uploads/2022/06/Sheringham-feature-image.png,liqueur_canada
Liqueur,Sheringham Distillery,"Sooke, BC, Canada",Sheringham Lemon Liqueur,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Lemon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.sheringhamdistillery.com/fresh-lemon-liqueur/,2026-09-22,https://www.sheringhamdistillery.com/wp-content/uploads/2022/06/Sheringham-feature-image.png,liqueur_canada
Liqueur,Sheringham Distillery,"Sooke, BC, Canada",Sheringham Coffee Liqueur,own_make,NULL,FALSE,FALSE,Coffee Liqueur,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.sheringhamdistillery.com/coffee-liqueur/,2026-09-22,https://www.sheringhamdistillery.com/wp-content/uploads/2022/06/Sheringham-feature-image.png,liqueur_canada
Liqueur,Sheringham Distillery,"Sooke, BC, Canada",Sheringham Sirène Chocolate Liqueur,own_make,NULL,FALSE,FALSE,Cream Liqueur; Chocolate,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.sheringhamdistillery.com/sirene-chocolate-liqueur/,2026-09-22,https://www.sheringhamdistillery.com/wp-content/uploads/2022/06/Sheringham-feature-image.png,liqueur_canada
Liqueur,Forbidden Spirits,"Kelowna, BC, Canada",Forbidden Italian-style Amaretto,own_make,NULL,FALSE,FALSE,Nut Liqueur; Amaretto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://forbiddenspirits.ca/; _cross_category_capture.md (Brandy Sub 3),2026-06-23,NULL,liqueur_canada
Liqueur,Okanagan Spirits,"Vernon, BC, Canada",Okanagan Spirits Taboo Genuine Absinthe,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Absinthe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://okanaganspirits.com/products/taboo,2026-09-22,NULL,liqueur_canada
