spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse Verte (Green Chartreuse),own_make,,FALSE,FALSE,Herbal Liqueur; Verte,,,,110,55,,,,https://www.diffordsguide.com/beer-wine-spirits/liqueurs-alc-cordials/botanical-herb/spice/BWS000874/chartreuse-verte-green-chartreuse ; https://en.wikipedia.org/wiki/Chartreuse_(liqueur),2026-06-26,https://cdn.diffordsguide.com/bws/bNgozN/product-image/0/512x.webp,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse Jaune (Yellow Chartreuse),own_make,,FALSE,FALSE,Herbal Liqueur; Jaune,,,,80,40,,,,https://abarabove.com/chartreuse/ ; https://en.wikipedia.org/wiki/Chartreuse_(liqueur),2026-06-28,NULL,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Aiguenoire, France",Chartreuse VEP Verte,own_make,,FALSE,FALSE,Herbal Liqueur; VEP Verte,,,,108,54,,,,https://www.chartreuse.fr/en/produit/chartreuse-vep-green/,2026-06-26,https://www.chartreuse.fr/wp-content/uploads/2021/07/VEP-VERTE-022.png,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Aiguenoire, France",Chartreuse VEP Jaune,own_make,,FALSE,FALSE,Herbal Liqueur; VEP Jaune,,,,84,42,,,,https://www.chartreuse.fr/en/produit/chartreuse-vep-yellow/,2026-06-26,https://www.chartreuse.fr/wp-content/uploads/2021/07/VEP-JAUNE-022.png,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse Liqueur du 9e Centenaire,own_make,,FALSE,FALSE,Herbal Liqueur; 9e Centenaire,,,,94,47,,,,https://www.chartreuse.fr/en/produit/liqueur-of-the-9th-centenary/,2026-06-26,https://www.chartreuse.fr/wp-content/uploads/2021/03/Liqueur-9%C2%B0-Centenaire-022.png,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse Liqueur du 9e Centenaire (Mise 2023),own_make,,FALSE,FALSE,Herbal Liqueur; 9e Centenaire; Mise 2023,,2023,,94,47,,,,https://www.pressoirdugatinais.fr/boutique/grande-chartreuse-9eme-centenaire/,2026-06-16,,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse Liqueur du 9e Centenaire (Mise 2024),own_make,,FALSE,FALSE,Herbal Liqueur; 9e Centenaire; Mise 2024,,2024,,94,47,,,,https://www.pressoirdugatinais.fr/boutique/liqueur-grande-chartreuse-9eme-centenaire/,2026-06-26,https://pressoirdugatinais.fr/wp-content/uploads/2026/03/GRANDE-CHARTREUSE-Liqueur-du-9eme-Centenaire-fabriquee-par-Les-Peres-Chartreux-1.jpg,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse Liqueur du 9e Centenaire (Mise 2025),own_make,,FALSE,FALSE,Herbal Liqueur; 9e Centenaire; Mise 2025,,2025,,94,47,,,,https://www.closdesmillesimes.com/chartreuse-liqueur-du-9-centenaire-2025.html,2026-06-16,,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse Liqueur du 9e Centenaire (Mise 2026),own_make,,FALSE,FALSE,Herbal Liqueur; 9e Centenaire; Mise 2026,,2026,,94,47,,,,https://www.closdesmillesimes.com/37076-liqueurs-de-plantes-chartreuse---liqueur-du-9eme-centenaire---mise-2026---47.html,2026-06-16,,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse 1605 Liqueur d'Elixir,own_make,,FALSE,FALSE,Herbal Liqueur; 1605,,,,112,56,,,,https://www.chartreuse.fr/en/produit/elixir-liqueur/ ; https://www.htfw.com/chartreuse-1605-d-elixir-liqueur,2026-06-26,https://www.htfw.com/media/catalog/product/cache/51223aefd935e9442ebd0868a3d13ae4/l/p/lp18260_2_1.jpg,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Chartreuse 1605 Liqueur d'Elixir (Mise 2025),own_make,,FALSE,FALSE,Herbal Liqueur; 1605; Mise 2025,,2025,,112,56,,,,https://www.closdesmillesimes.com/chartreuse-liqueur-elixir-1605-mise-2025.html,2026-06-16,,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Voiron, France",Elixir Vegetal de la Grande-Chartreuse,own_make,,FALSE,FALSE,Herbal Liqueur; Elixir Vegetal,,,,138,69,,,,https://www.chartreuse.fr/en/produit/vegetable-elixir/ ; https://www.thewhiskyexchange.com/p/3207/chartreuse-elixir-vegetal-de-la-grande-chartreuse-liqueur,2026-06-16,,liqueur_france
Liqueur,Les Pères Chartreux (Chartreuse Diffusion),"Aiguenoire, France",Chartreuse Cuvee des Meilleurs Ouvriers de France (MOF),own_make,,FALSE,FALSE,Herbal Liqueur; MOF,,,,90,45,,,,https://www.chartreuse.fr/en/produit/mof-liqueur/,2026-06-26,https://www.chartreuse.fr/wp-content/uploads/2021/03/Chartreuse-MOF-%C2%A9-Pascal-Flamant.jpg,liqueur_france
