spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,The Dublin Liberties,"Dublin, Co. Dublin, Ireland",Dubliner Honeycomb,own_make,,FALSE,FALSE,Herbal Liqueur; Whiskey Base; Honeycomb,,,,60,30,,,,https://thedld.com/our-whiskeys/,2026-06-28,NULL,liqueur_ireland
Liqueur,The Dublin Liberties,"Dublin, Co. Dublin, Ireland",Dubliner Fiery,own_make,,FALSE,FALSE,Herbal Liqueur; Whiskey Base; Spiced,,,,60,30,,,,https://thedld.com/our-whiskeys/,2026-06-28,NULL,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Original Irish Cream,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base,,,,34,17,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream ; https://www.diageo.com/en/our-brands/liqueurs/baileys,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Glass_of_Baileys.jpg/960px-Glass_of_Baileys.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Salted Caramel,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Salted Caramel,,,,34,17,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Glass_of_Baileys.jpg/960px-Glass_of_Baileys.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Espresso Creme,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Espresso,,,,34,17,,,,https://winenliquor.com/p/baileys-espresso-creme/ ; https://www.totalwine.com/spirits/liqueurscordialsschnapps/cream/baileys-espresso/p/151853750,2026-06-26,https://slash1.winenliquor.com/wp-content/uploads/Baileys-Espresso-Creme.jpeg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Chocolat Luxe,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Belgian Chocolate,,,,31.4,15.7,,,,https://www.htfw.com/baileys-chocolat-luxe-cream-liqueur ; https://www.1001spirits.com/product/6990/baileys-chocolate-luxe-liqueur--157--050-l,2026-06-26,https://www.htfw.com/media/catalog/product/cache/51223aefd935e9442ebd0868a3d13ae4/l/p/lp15896_2_1.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Colada,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Pina Colada,,,,34,17,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream ; https://www.thedrinksbusiness.com/2021/04/baileys-launches-new-pina-colada-liqueur-baileys-colada/,2026-06-26,https://www.thedrinksbusiness.com/content/uploads/2021/04/240909_BA2999_PNCL_ONLI_UK_1920x1080_003.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Red Velvet Cupcake,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Red Velvet,,,,34,17,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream ; https://www.thespiritsbusiness.com/2020/01/baileys-red-velvet-cupcake-launches-in-uk/,2026-06-26,https://www.thespiritsbusiness.com/content/uploads/2020/01/Baileys-Red-Velvet-Cupcake.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Vanilla Cinnamon,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Vanilla Cinnamon,,,,34,17,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Glass_of_Baileys.jpg/960px-Glass_of_Baileys.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Strawberries & Cream,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Strawberries & Cream,,,,34,17,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream ; https://www.empirewine.com/liquor/baileys-strawberries-and-cream-irish-cream-liqueur-750ml-h28789/,2026-06-26,https://ik.imagekit.io/empirewine/item-uuid/28789-4E141CD1.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Apple Pie,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Apple Pie,,,,34,17,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream ; https://metro.co.uk/2020/10/15/baileys-launches-limited-edition-apple-pie-flavour-liqueur-and-it-sounds-almost-too-festive-13428571/,2026-06-26,https://metro.co.uk/wp-content/uploads/2020/10/PRC_168755793_1602776173.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Almande,blended,,FALSE,FALSE,Cream Liqueur; Almond Base; Vegan,,,,26,13,,,,https://en.wikipedia.org/wiki/Baileys_Irish_Cream,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Glass_of_Baileys.jpg/960px-Glass_of_Baileys.jpg,liqueur_ireland
Liqueur,Baileys,"Dublin, Ireland",Baileys Deliciously Light,blended,,FALSE,FALSE,Cream Liqueur; Whiskey Base; Reduced Sugar,,,,32.2,16.1,,,,https://www.totalwine.com/spirits/liqueurscordialsschnapps/cream/baileys-deliciously-light-irish-cream-liqueur/p/235414750 ; https://www.prnewswire.com/news-releases/introducing-baileys-deliciously-light-our-lightest-indulgence-yet-made-with-40-less-sugar-and-calories-than-baileys-original-irish-cream----thats-perfect-for-a-light-break-whenever-you-need-it-301229061.html,2026-06-26,https://www.totalwine.com/dynamic/490x/images/235414750/235414750-1-fr.png,liqueur_ireland
