spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Nolet (Ketel One Distillery),"Schiedam, Netherlands",Ketel One Botanical Peach & Orange Blossom,own_make,,FALSE,FALSE,Class TBD; Flavored; Peach & Orange Blossom,,,,60,30,,,,"Vodka distilled with botanicals + natural fruit essences, no added sugar; 30% — below 37.5% EU vodka floor and below liqueur sugar floor (class unresolved, maintenance defer)",https://www.diffordsguide.com/beer-wine-spirits/4290/ketel-one-botanical-peach-orange-blossom,2026-06-26,https://cdn.diffordsguide.com/bws/a0b4dD/product-image/0/512x.webp,liqueur_netherlands
Liqueur,Nolet (Ketel One Distillery),"Schiedam, Netherlands",Ketel One Botanical Cucumber & Mint,own_make,,FALSE,FALSE,Class TBD; Flavored; Cucumber & Mint,,,,60,30,,,,"Vodka distilled with botanicals + natural fruit essences, no added sugar; sub-floor (class unresolved, maintenance defer)",https://www.diffordsguide.com/beer-wine-spirits/4291/ketel-one-botanical-cucumber-mint,2026-06-26,https://cdn.diffordsguide.com/bws/Nr2P3N/product-image/0/512x.webp,liqueur_netherlands
Liqueur,Nolet (Ketel One Distillery),"Schiedam, Netherlands",Ketel One Botanical Grapefruit & Rose,own_make,,FALSE,FALSE,Class TBD; Flavored; Grapefruit & Rose,,,,60,30,,,,"Vodka distilled with botanicals + natural fruit essences, no added sugar; sub-floor (class unresolved, maintenance defer)",https://www.diffordsguide.com/beer-wine-spirits/4292/ketel-one-botanical-grapefruit-rose,2026-06-26,https://cdn.diffordsguide.com/bws/aJXKMD/product-image/0/512x.webp,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Blue Curaçao,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Curaçao; Orange,NULL,NULL,NULL,42,21,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Triple Sec,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Triple Sec; Orange,NULL,NULL,NULL,76,38,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Crème de Cacao White,own_make,NULL,FALSE,FALSE,Crème de; Cacao,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Crème de Cacao Brown,own_make,NULL,FALSE,FALSE,Crème de; Cacao,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Apricot Brandy,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Apricot,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Cherry Brandy,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Cherry,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Maraschino,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Maraschino,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Parfait Amour,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Floral,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Crème de Cassis,own_make,NULL,FALSE,FALSE,Crème de; Cassis,NULL,NULL,NULL,34,17,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Crème de Banane,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Banana,NULL,NULL,NULL,34,17,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Coffee Liqueur,own_make,NULL,FALSE,FALSE,Coffee Liqueur,NULL,NULL,NULL,48,24,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
Liqueur,Lucas Bols,"Amsterdam, Netherlands",Bols Natural Yoghurt,own_make,NULL,FALSE,FALSE,Cream Liqueur; Yoghurt,NULL,NULL,NULL,30,15,NULL,NULL,NULL,NULL,https://lucasbols.com/,2026-06-23,NULL,liqueur_netherlands
