spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Destylarnia Sobieski,"Starogard Gdański, Poland",Krupnik Honey Liqueur,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Krupnik,NULL,NULL,NULL,76,38,NULL,NULL,NULL,Traditional Polish honey-spice liqueur on a grain-spirit base with honey and up to 50 herbs and spices.,https://www.diffordsguide.com/beer-wine-spirits/296/krupnik; https://wodkacompany.com/products/copy-of-krupnik-old-liqueur-honey-vodka-miodowy-50cl-38,2026-06-26,http://wodkacompany.com/cdn/shop/files/krupnik-honey-old-liquere-vodka-likier-miodowy-original-wodkacompany.jpg,liqueur_poland
Liqueur,Bak's,Poland,Bak's Old Krupnik Honey Liqueur,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Krupnik,NULL,NULL,NULL,76,38,NULL,NULL,NULL,Double-gold Polish honey liqueur made to an old recipe; warming honey over a grain-spirit base.,https://www.bittersandbottles.com/products/baks-krupnik-honey-liqueur; https://theliquorbarn.com/products/old-krupnik-honey-liqueur-750ml,2026-06-26,http://www.bittersandbottles.com/cdn/shop/files/bak_s-krupnik-honey-liqueur.jpg,liqueur_poland
Liqueur,Polmos Lublin,"Lublin, Poland",Lubelska Miodówka Honey Liqueur,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Krupnik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Vodka-based honey-flavoured liqueur made in the traditional homemade style under the Lubelska label.,https://www.thewhiskyexchange.com/p/26383/lubelska-miodowka-honey-liqueur; https://masterofmalt.com/liqueurs/polmos/lubelska-midowka-traditional-honey-taste-liqueur,2026-06-26,https://cdn.builder.io/api/v1/image/assets%2Fa5c4ba9432914bef8394191fded0d1a4%2Fbd955535494846e7b0c84240d5511582,liqueur_poland
Liqueur,Nalewka Babuni,Poland,Nalewka Babuni Miodowa,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Krupnik,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Grandmother's-recipe Polish honey nalewka; sweet honey over macerated herbs.,https://www.wine-searcher.com/find/nalewka+babuni+miodowka+honey+liqueur+poland,2026-06-23,NULL,liqueur_poland
Liqueur,Polmos Lublin (Stock Polska),"Lublin, Poland",Żołądkowa Gorzka z Miodem,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Honey,NULL,NULL,NULL,60,30,NULL,NULL,NULL,Honey variant of the classic Polish stomach bitter (introduced 2006); Polish honey balancing the herbal bitterness.,https://en.wikipedia.org/wiki/W%C3%B3dka_%C5%BBo%C5%82%C4%85dkowa_Gorzka; https://theliquorbarn.com/products/zoladkowa-gorzka-750ml,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/7/79/Wodka_zoladkowa_gorzka_new_bottle.jpg,liqueur_poland
Liqueur,Polmos Lublin (Stock Polska),"Lublin, Poland",Żołądkowa Gorzka Traditional,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Bitter,NULL,NULL,NULL,68,34,NULL,NULL,NULL,"Traditional Polish herbal bitter with gentian, wormwood, bitter orange and caramel.",https://www.amazon.co.uk/%C5%BBol%C4%85dkowa-Gorzka-Traditional-Liqueurs-Pack/dp/B01FS7GKX0,2026-06-23,NULL,liqueur_poland
Liqueur,Polmos Lublin (Stock Polska),"Lublin, Poland",Żołądkowa Gorzka Black Cherry,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Cherry,NULL,NULL,NULL,60,30,NULL,NULL,NULL,Black-cherry variant of the herbal bitter; sweet dark cherry over the spiced base.,https://www.amazon.co.uk/%C5%BBol%C4%85dkowa-Gorzka-Traditional-Liqueurs-50/dp/B009DADP50,2026-06-23,NULL,liqueur_poland
Liqueur,Polmos Białystok,"Białystok, Poland",Żubrówka Fresh Żu Sour Apple,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Apple; Vodka Base,NULL,NULL,NULL,60,30,NULL,NULL,NULL,"Bison-grass vodka-base liqueur flavoured with sour apple, bottled below the vodka floor at 30%.",https://zubrowka.com/en/fresh-zu/; https://www.thespiritsbusiness.com/2023/10/zubrowka-releases-fresh-zu-line/,2026-06-26,https://zubrowka.com/wp-content/uploads/2024/02/26%EF%BF%BD_home-fresh.png,liqueur_poland
Liqueur,Polmos Białystok,"Białystok, Poland",Żubrówka Fresh Żu Refreshing Mint,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Mint; Vodka Base,NULL,NULL,NULL,60,30,NULL,NULL,NULL,Bison-grass vodka-base liqueur flavoured with refreshing mint at 30%.,https://zubrowka.com/en/fresh-zu/,2026-06-26,https://zubrowka.com/wp-content/uploads/2024/02/26%EF%BF%BD_home-fresh.png,liqueur_poland
Liqueur,Polmos Białystok,"Białystok, Poland",Żubrówka Fresh Żu Sour Lemon,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Lemon; Vodka Base,NULL,NULL,NULL,60,30,NULL,NULL,NULL,Bison-grass vodka-base liqueur flavoured with sour lemon at 30%.,https://zubrowka.com/en/fresh-zu/,2026-06-26,https://zubrowka.com/wp-content/uploads/2024/02/26%EF%BF%BD_home-fresh.png,liqueur_poland
Liqueur,Polmos Białystok,"Białystok, Poland",Żubrówka Fresh Żu Invigorating Sea Buckthorn,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Sea Buckthorn; Vodka Base,NULL,NULL,NULL,60,30,NULL,NULL,NULL,Bison-grass vodka-base liqueur flavoured with sea buckthorn at 30%.,https://zubrowka.com/en/fresh-zu/; https://www.thespiritsbusiness.com/2024/11/zubrowka-reveals-two-new-flavours/,2026-06-26,https://zubrowka.com/wp-content/uploads/2024/02/26%EF%BF%BD_home-fresh.png,liqueur_poland
Liqueur,Toruńskie Wódki Gatunkowe,"Toruń, Poland",Toruński Likier Piernikowy (Gingerbread),own_make,NULL,FALSE,FALSE,Herbal Liqueur; Gingerbread,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Toruń gingerbread-spice liqueur.,https://www.masterofmalt.com/country/polish-liqueurs/,2026-06-23,NULL,liqueur_poland
Liqueur,Polmos,Poland,Wiśniówka Cherry Liqueur,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Cherry,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Traditional Polish sour-cherry liqueur.,https://www.masterofmalt.com/country/polish-liqueurs/,2026-06-23,NULL,liqueur_poland
