spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Liqueur,Amarula,"Stellenbosch, South Africa",Amarula Cream,blended,,FALSE,FALSE,Cream Liqueur; Marula,,,,34,17,,Oak,,https://en.wikipedia.org/wiki/Amarula ; https://www.htfw.com/amarula-cream-liqueur,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/2/27/Amarula_Festive.jpg,liqueur_south_africa
Liqueur,Amarula,"Stellenbosch, South Africa",Amarula Vanilla Spice Cream,blended,,FALSE,FALSE,Cream Liqueur; Marula; Vanilla Spice,,,,31,15.5,,,,https://www.totalwine.com/spirits/liqueurscordialsschnapps/cream/amarula-vanilla-spice-cream/p/220298750 ; https://whiskyandwhiskey.com/products/amarula-vanilla-spice-cream-liqueur,2026-06-26,https://www.totalwine.com/dynamic/490x/images/220298750/220298750-1-fr.png,liqueur_south_africa
Liqueur,Amarula,"Stellenbosch, South Africa","Amarula Raspberry, Chocolate & African Baobab",blended,,FALSE,FALSE,Cream Liqueur; Marula; Raspberry Chocolate Baobab,,,,31,15.5,,,,https://amarula.com/product/raspberry-chocolate-and-african-baobab/ ; https://www.htfw.com/amarula-raspberry-chocolate-baobab-cream-liqueur,2026-06-26,https://www.htfw.com/media/catalog/product/cache/51223aefd935e9442ebd0868a3d13ae4/l/p/lp15369_2_1.jpg,liqueur_south_africa
Liqueur,Amarula,"Stellenbosch, South Africa",Amarula Ethiopian Coffee Cream,blended,,FALSE,FALSE,Cream Liqueur; Marula; Ethiopian Coffee,,,,31,15.5,,,,https://www.htfw.com/amarula-ethiopian-coffee-cream-liqueur ; https://www.totalwine.com/spirits/liqueurscordialsschnapps/coffee/amarula-coffee-cream-liqueur/p/236803750,2026-06-26,https://www.htfw.com/media/catalog/product/cache/51223aefd935e9442ebd0868a3d13ae4/l/p/lp15367_2_1.jpg,liqueur_south_africa
Liqueur,Inverroche,"Still Bay, South Africa",Inverroche Botanique Brandy Liqueur,own_make,NULL,FALSE,FALSE,Herbal Liqueur; Brandy Base; Fynbos,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.inverroche.com/; _cross_category_capture.md (Rum Sub 4),2026-06-23,NULL,liqueur_south_africa
Liqueur,Inverroche,"Still Bay, South Africa",Inverroche Marmalade Gin Liqueur,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Gin Base; Marmalade,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.inverroche.com/; _cross_category_capture.md (Rum Sub 4),2026-06-23,NULL,liqueur_south_africa
Liqueur,Inverroche,"Still Bay, South Africa",Inverroche CafeCoco Rum Liqueur,own_make,NULL,FALSE,FALSE,Coffee Liqueur; Rum Base,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.inverroche.com/; _cross_category_capture.md (Rum Sub 4),2026-06-23,NULL,liqueur_south_africa
Liqueur,Wild Africa Cream,South Africa,Wild Africa Cream Liqueur,own_make,NULL,FALSE,FALSE,Cream Liqueur; Marula,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://wildafricacream.com/,2026-06-26,https://wildafricacream.com/wp-content/uploads/2025/07/DB20694-Wild-Africa-Cream-MAIN-PAGE-elements6-logo-3.png,liqueur_south_africa
Liqueur,Cape Velvet (KWV/Distell),"Stellenbosch, South Africa",Cape Velvet Cream Liqueur,own_make,NULL,FALSE,FALSE,Cream Liqueur; Brandy Base; Coffee,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.ngf.co.za/product-category/spirits/liqueurs/cream-liqueurs/,2026-06-28,NULL,liqueur_south_africa
Liqueur,Distell,"Stellenbosch, South Africa",Van der Hum Liqueur,own_make,NULL,FALSE,FALSE,Fruit Liqueur; Brandy Base; Naartjie,NULL,NULL,NULL,68,34,NULL,NULL,NULL,https://www.masterofmalt.com/liqueurs/van-der-hum/,2026-06-23,NULL,liqueur_south_africa
