spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Liqueur,Kōloa Rum Company,"Kalāheo, USA",Kōloa Kaua'i Coffee Rum,own_make,,FALSE,FALSE,Coffee Liqueur; Rum Base,,,,68,34,,,,"Pure-cane-sugar rum, pot distilled, collaboration with Kauaʻi Coffee Company. Ground Arabica and Robusta, molasses, dark chocolate, lilikoi.",https://koloarum.com/rum/koloa-kauai-coffee-rum/,2026-06-26,https://koloarum.com/wp-content/uploads/2025/01/coffee-edit.gif,liqueur_united_states
Liqueur,Kōloa Rum Company,"Kalāheo, USA",Kōloa Kaua'i Cacao Rum,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Cacao,,,,80,40,,,,"Pure-cane-sugar rum with Hawaiian-grown cacao from Lydgate Farms. Fudge undertones, floral notes, mocha, cacao nibs, coffee finish.",https://koloarum.com/rum/koloa-kaua%CA%BBi-cacao-rum/; https://www.totalwine.com/spirits/rum/flavored-rum/koloa-kauai-cacao-rum/p/237225750,2026-06-26,https://koloarum.com/wp-content/uploads/2020/12/Cacao_750ml-On_Wht-min.png,liqueur_united_states
Liqueur,Kō Hana (Manulele Distillers),"Kunia, USA",Kō Hana Kokoleka Cacao & Honey,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Cacao,,,,60,30,,,,Hawaiian cane-based agricole rum blended with raw honey and pure cacao. Grassy tropical sweetness countered by cacao earthiness and honeyed finish.,https://www.kohanarum.com/shop/p/kokoleka-hawaiian-agricole-rum; https://www.bittersandbottles.com/products/ko-hana-kokoleka-cacao-honey-rum-liqueur,2026-06-26,http://www.bittersandbottles.com/cdn/shop/products/kohana-kokoleka-cacao-_-honey-rum-liqueur.jpg,liqueur_united_states
Liqueur,Richland Rum,"Richland, USA",Richland Satsuma Orange Rum Liqueur,own_make,,FALSE,FALSE,Fruit Liqueur; Rum Base; Orange,,,,70,35,,,,Whole Satsuma oranges grown in SW Georgia immersed in virgin coastal rum and cured for several months. No preservatives or artificial flavors.,https://richlandrum.store/product/richland-rum-orange-liqueur/; https://seelbachs.com/products/richland-rum-the-georgian-rum-liqueur,2026-06-28,NULL,liqueur_united_states
Liqueur,St. George Spirits,"Alameda, California, USA",St. George NOLA Coffee Liqueur,own_make,,FALSE,FALSE,Coffee Liqueur; Chicory,,,,50,25,,,,"New Orleans-style coffee liqueur with Ethiopian Yirgacheffe coffee, French-roast chicory, Madagascar vanilla and cane sugar; beans roasted by Jewel Box Coffee Roasters, low-temperature infusion. 25% ABV.",https://stgeorgespirits.com/spirits/nola-coffee-liqueur; https://www.totalwine.com/spirits/liqueurscordialsschnapps/coffee/st-george-nola-coffee-liqueur/p/144531750,2026-06-26,https://www.totalwine.com/dynamic/490x/images/144531750/144531750-1-fr.png,liqueur_united_states
Liqueur,Firelit Spirits,"Mendocino County, California, USA",Firelit Coffee Liqueur,own_make,,FALSE,FALSE,Coffee Liqueur; Cold Brew; Brandy Base,,,,60,30,,,,"Single-origin 100% Arabica beans cold brewed 18 hours and blended with a brandy/coffee infusion, rested one month in stainless. Small batches (~1300 bottles). Collaboration tied to St. George Spirits / Blue Bottle Coffee. 30% ABV.",http://www.firelitspirits.com/firelit; https://craftdistillers.com/products/firelit-coffee-liqueur/,2026-06-23,,liqueur_united_states
Liqueur,New Deal Distillery,"Portland, Oregon, USA",New Deal Coffee Liqueur,own_make,,FALSE,FALSE,Coffee Liqueur; Cold Brew,,,,,,,,,"Cold-brewed coffee (custom roast partner) blended with house small-batch spirit, organic cane sugar and agave nectar; less syrupy than mass-market. Published ABV not stated on brand/retailer pages found.",https://newdealdistillery.com/coffee-liqueur/; https://chipsliquor.com/products/new-deal-coffee-liqueur,2026-06-26,http://chipsliquor.com/cdn/shop/products/NewDealCoffeeLiqueur.jpg,liqueur_united_states
Liqueur,RumChata,"Pewaukee, Wisconsin, USA",RumChata Original,own_make,,FALSE,FALSE,Cream Liqueur; Rum Base; Horchata,,,,27.5,13.75,,,,"Caribbean rum blended with real dairy cream and horchata spices (cinnamon, vanilla); smooth, creamy, perfectly spiced.",https://www.rumchata.com/flavors/original/ ; https://www.rumchata.com/,2026-06-26,https://d2z0iotqznvuup.cloudfront.net/public/rumchata2025/prod/Uploads/Facebook_Share-Image.png,liqueur_united_states
Liqueur,RumChata,"Pewaukee, Wisconsin, USA",RumChata Coconut Cream,own_make,,FALSE,FALSE,Cream Liqueur; Rum Base; Coconut,,,,27.5,13.75,,,,"Smooth, creamy RumChata bursting with tropical coconut flavor.",https://www.rumchata.com/flavors/coconut-cream/ ; https://www.rumchata.com/,2026-06-26,https://d2z0iotqznvuup.cloudfront.net/public/rumchata2025/prod/Uploads/Facebook_Share-Image.png,liqueur_united_states
Liqueur,RumChata,"Pewaukee, Wisconsin, USA",RumChata Pineapple Cream,own_make,,FALSE,FALSE,Cream Liqueur; Rum Base; Pineapple,,,,27.5,13.75,,,,Sunny blend of vanilla and juicy pineapple over the creamy RumChata base.,https://www.rumchata.com/flavors/pineapple-cream/ ; https://www.rumchata.com/,2026-06-26,https://d2z0iotqznvuup.cloudfront.net/public/rumchata2025/prod/Uploads/Facebook_Share-Image.png,liqueur_united_states
