spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Mezcal,Del Maguey (CRM NOM O41X),"San Luis del Río, Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Espadín; cocktail mezcal,NULL,NULL,NULL,84.0,42.0,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-vida/;https://delmaguey.com/vida-clasico/;https://delmaguey.com/villages/,2026-06-08,https://www.mezcalreviews.com/wp-content/uploads/2019/07/del-maguey-mezcal-bottle-vida-clasico.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"San Luis del Río, Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Espadín; Día de Muertos seasonal release,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-vida-de-muertos/;https://delmaguey.com/vida-de-muertos/;https://delmaguey.com/villages/,2026-06-28,NULL,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"Puebla, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Espadín; Puebla cocktail mezcal,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-vida-puebla/;https://delmaguey.com/vida-puebla/,2026-06-08,https://www.mezcalreviews.com/wp-content/uploads/2016/09/del-maguey-mezcal-vida.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"San Baltazar Chichicapam, Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Espadín,NULL,NULL,NULL,92.0,46.0,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-chichicapa/;https://delmaguey.com/chichicapa/;https://delmaguey.com/villages/,2026-06-08,https://www.mezcalreviews.com/wp-content/uploads/2019/07/del-maguey-mezcal-bottle-chichicapa.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"San Luis del Río, Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Espadín; San Luis del Río Azul barrel-aged maguey selection,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-san-luis-del-rio-azul/;https://delmaguey.com/san-luis-del-rio/,2026-06-23,https://www.mezcalreviews.com/wp-content/uploads/2016/12/del-maguey-azul.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"Santa Catarina Minas, Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Ancestral; Espadín; clay-pot,NULL,NULL,NULL,92.0,46.0,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-minero/;https://delmaguey.com/santa-catarina-minas-minero/;https://delmaguey.com/villages/,2026-06-08,https://www.mezcalreviews.com/wp-content/uploads/2019/07/del-maguey-mezcal-bottle-minero.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"Santa Maria Albarradas, Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Tobalá,NULL,NULL,NULL,92.0,46.0,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-tobala/;https://delmaguey.com/tobala/;https://delmaguey.com/villages/,2026-06-08,https://www.mezcalreviews.com/wp-content/uploads/2016/09/del-maguey-mezcal-tobala.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"Santa Catarina Minas, Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Ancestral; Arroqueño; clay-pot,NULL,NULL,NULL,98.0,49.0,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-arroqueno/;https://delmaguey.com/arroqueno/;https://delmaguey.com/villages/,2026-06-08,https://www.mezcalreviews.com/wp-content/uploads/2016/09/del-maguey-mezcal-arroqueno.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Barril,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-barril/;https://delmaguey.com/barril/,2026-06-23,https://www.mezcalreviews.com/wp-content/uploads/2016/12/del-maguey-barril.jpg,mezcal_mexico
Mezcal,Del Maguey (CRM NOM O41X),"Oaxaca, Mexico",Del Maguey,sourced,Del Maguey,TRUE,FALSE,Mezcal Artesanal; Cuixe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,https://www.mezcalreviews.com/mezcal/del-maguey-cuixe/;https://delmaguey.com/cuixe/,2026-06-23,https://www.mezcalreviews.com/wp-content/uploads/2025/12/del-maguey-mezcal-bottle-cuixe.jpg,mezcal_mexico
