spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; White; White,NAS,,,80.0,40.0,,,,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Gold,3 Years,,,80.0,40.0,,,,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 5 Year,5 Years,,,80.0,40.0,,Ex-bourbon,,https://www.masterofmalt.com/rum/english-harbour-5-year-old-rum/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/30997_source_1782202250.jpg,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Reserve 10 Year,10 Years,,,80.0,40.0,,,,https://www.thewhiskyexchange.com/p/8658,2026-06-26,https://img.thewhiskyexchange.com/540/rum_eng3.jpg,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; XO,,,,80.0,40.0,,,,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Port Cask; Port Cask Finish Batch No.1,5 Years,,Batch 1,92.0,46.0,,Ex-bourbon,Ex-Port,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Port Cask; Port Cask Finish Batch No.2,5 Years,2012,Batch 2,92.0,46.0,,Ex-bourbon,Ex-Port,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Sherry Cask; Sherry Cask Finish Batch No.1,5 Years,,Batch 1,92.0,46.0,,Ex-bourbon,Ex-Sherry,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Sherry Cask; Sherry Cask Finish Batch No.2,5 Years,,Batch 2,92.0,46.0,,Ex-bourbon,Ex-Sherry,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
Rum,Antigua Distillery,"St John's, Antigua",English Harbour,own_make,NULL,FALSE,FALSE,Column Still Rum; Sherry Cask; Sherry Cask Finish Batch No.3,5 Years,,Batch 3,92.0,46.0,,Ex-bourbon,Ex-Sherry,https://www.spiritradar.com/rum-db/brands/english-harbour/,2026-06-07,NULL,rum_antigua
