spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Pot Still Rum; Gold; Copper Pot Distilled,,,,80,40,Queensland molasses,Ex-brandy vats + ex-bourbon American oak,,"Tropical fruit, toasted oak, caramel, burnt sugar",https://www.beenleighrum.com.au/products/copper-pot-distilled-rum/,2026-06-08,https://www.beenleighrum.com.au/wp-content/uploads/2023/10/eenleigh-Artisan-Distillers-Copper-Pot-Distilled-Rum1.png,rum_australia
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Blended Rum; Aged; Double Cask,,,,80,40,Queensland molasses,Kauri pine vats + brandy vats + ex-bourbon,,"Silky caramel, spiced oak",https://www.beenleighrum.com.au/products/double-cask-rum/,2026-06-08,https://www.beenleighrum.com.au/wp-content/uploads/2023/03/Beenleigh-Artisan-Distillers-Double-Cask-Rum.png,rum_australia
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Column Still Rum; White,,,,75,37.5,Queensland molasses,,,,https://www.beenleighrum.com.au/products/white-rum/,2026-06-08,https://www.beenleighrum.com.au/wp-content/uploads/2023/06/Beenleigh-Artisan-Distillers-White-Rum-2022.png,rum_australia
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Blended Rum; Spiced; Australian Spiced,,,,80,40,Molasses,,,,https://www.beenleighrum.com.au/products/australian-spiced-rum/,2026-06-26,https://www.beenleighrum.com.au/wp-content/uploads/2023/03/Beenleigh-Artisan-Distillers-Australian-Spiced-Rum.png,rum_australia
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Blended Rum; Aged; 5 Year Old Dark,5 Years,,,80,40,Queensland molasses,Ex-brandy vats,,,https://en.wikipedia.org/wiki/Beenleigh_Rum; https://distiller.com/spirits/beenleigh-double-barrel-5-year-rum,2026-06-08,,rum_australia
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Blended Rum; Aged; Tawny Barrel,,,,,,Queensland molasses,,,,https://www.beenleighrum.com.au/product/beenleigh-tawny-barrel-rum/,2026-06-26,https://www.beenleighrum.com.au/wp-content/uploads/2023/06/Beenleigh-Tawny-2023-release.png,rum_australia
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Blended Rum; Extra Aged; XO Rare,,,,,,Queensland molasses,,,,https://www.beenleighrum.com.au/product/beenleigh-xo-rare-rum,2026-06-08,,rum_australia
Rum,Beenleigh Artisan Distillery,"Eagleby, QLD, Australia",Beenleigh,own_make,,FALSE,FALSE,Blended Rum; Extra Aged; 140 Year Anniversary The Legend,,,,,,Queensland molasses,,,,https://www.beenleighrum.com.au/product/beenleigh-140-year-anniversary-edition-the-legend/,2026-06-26,https://www.beenleighrum.com.au/wp-content/uploads/2024/08/Beenleigh-140-Year_Composition.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Original UP,,,,74,37,Molasses,,,,https://www.bundabergrum.com.au/bundaberg-original-up-rum-700ml.html,2026-06-28,NULL,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Red (Extra Smooth),,,,74,37,Molasses,,,"Caramel, honey, brown sugar",https://www.bundabergrum.com.au/bundaberg-red-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/bundaberg_red.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Select Vat,,,Batch numbers vary,74,37,Molasses,American oak,,"Butterscotch, deep oak, caramelised banana, demerara",https://www.bundabergrum.com.au/bundaberg-select-vat-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/bundy_selectvat_rum_37__700ml_3_1.jpg,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Overproof,,,,,,Molasses,,,,https://www.bundabergrum.com.au/bundaberg-overproof-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/op_render.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Select Vat No. 207,4 Years,2012,"No. 207 (1st release, individually numbered)",80,40,Molasses,Oak vats,,,http://www.bundabergrumshowcase.com.au/selectvat.html; https://distiller.com/spirits/bundaberg-select-vat-double-aged-rum,2026-06-08,,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Master Distillers' Small Batch Reserve,,,,80,40,Molasses,Brandy & Cognac barrels,,"Sweet cane, Christmas spice, dark chocolate orange, vanilla, butterscotch",https://www.bundabergrum.com.au/bundaberg-small-batch-reserve-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/small_batch_reserve_500_x_1200_px.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Master Distillers' Small Batch Silver Reserve,4 Years,,,80,40,Molasses,First-fill American oak ex-bourbon,,,https://www.bundabergrum.com.au/bundaberg-small-batch-silver-reserve-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/small_batch_silver.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Master Distillers' Small Batch Vintage Barrel,8 Years,,,80,40,Molasses,100-year-old Port barrels,,"Honeyed tropical fruit, roasted coffee, creme brulee",https://www.bundabergrum.com.au/bundaberg-small-batch-vintage-barrel-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/small_batch_vintage_barrel.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Spiced; Master Distillers' Small Batch Spiced,,,,,,Molasses,,,,https://www.bundabergrum.com.au/bundaberg-small-batch-spiced-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/small_batch_spiced_1.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Master Distillers' Extra Finish Bourbon Barrel,,,,80,40,Molasses,Heavy charred American oak,Bourbon barrel,,https://www.bundabergrum.com.au/bundaberg-extra-finish-bourbon-barrel-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/j016873_bundaberg_xf_bottle_3drender.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Master Distillers' Blenders Edition,,,,80,40,Molasses,,Port & sherry barrels,"Raisin, fig, prune, brulee",https://www.bundabergrum.com.au/bundaberg-blenders-edition-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/blenders_edition_1.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Solera; Master Distillers' Solera,,,,80,40,Molasses,"Port, bourbon & sherry barrels (solera)",,,https://www.bundabergrum.com.au/bundaberg-solera-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/dob0252_solera_kv_hero_1_5.png,rum_australia
Rum,Bundaberg Distilling Co.,"Bundaberg, QLD, Australia",Bundaberg,own_make,,FALSE,FALSE,Column Still Rum; Aged; Campfire (Aged Reserves Bourbon Barrel),,,,,,Molasses,Bourbon barrel,,,https://www.bundabergrum.com.au/campfire-aged-reserves-bourbon-barrel-rum-700ml.html,2026-06-26,http://www.bundabergrum.com.au/cdn/shop/files/campfire_bb_1.png,rum_australia
Rum,Mt Uncle Distillery,"Walkamin, QLD, Australia",FNQ Rum Co.,own_make,,FALSE,FALSE,Pot Still Rum; Aged; Iridium 5 Year,5 Years,,,80,40,North Queensland cane syrup,Ex-red wine hogsheads,,"Treacle, cinnamon, burnt sugar, caramel fudge, honey, vanilla, oak spice",https://www.mtuncle.com/products/fnq-rum-co-iridium-gold-rum,2026-06-08,https://static.wixstatic.com/media/6efcfb_c860ca7f94444f8c8bb7dc8c59ee83ce~mv2.png,rum_australia
Rum,Mt Uncle Distillery,"Walkamin, QLD, Australia",FNQ Rum Co.,own_make,,FALSE,FALSE,Pot Still Rum; Aged; Iridium X 10 Year,10 Years,,,94,47,North Queensland cane syrup,Selected oak,American oak agave casks,,https://www.mtuncle.com/products/fnq-rum-co-iridium-x-aged-rum; https://thelonecaner.com/r1064/,2026-06-08,https://static.wixstatic.com/media/6efcfb_5377516c47b1491086851df1aedde7b9~mv2.png,rum_australia
Rum,Mt Uncle Distillery,"Walkamin, QLD, Australia",FNQ Rum Co.,own_make,,FALSE,FALSE,Pot Still Rum; Overproof; Palladium,,,,120,60,North Queensland cane syrup,American oak hogsheads,,"Creamy vanilla, oak, peppery spice; caramel, banana, coconut, raisin",https://www.mtuncle.com/products/fnq-rum-co-palladium-overproof-rum,2026-06-08,https://static.wixstatic.com/media/f6180d_4fad0caa82b94fcaa19b470c4de2d27a~mv2.png,rum_australia
Rum,Mt Uncle Distillery,"Walkamin, QLD, Australia",FNQ Rum Co.,own_make,,FALSE,FALSE,Pot Still Rum; White; Platinum Cane Spirit,,,,,,North Queensland cane syrup,,,,https://www.mtuncle.com/products/fnq-rum-co-platinum-cane-spirit,2026-06-26,"https://static.wixstatic.com/media/6efcfb_31f37066739642ecbff29b83acf41a42~mv2.png/v1/fit/w_500,h_500,q_90/file.png",rum_australia
Rum,Husk Farm Distillery,"North Tumbulgum, NSW, Australia",Husk,own_make,,FALSE,FALSE,Rhum Agricole; White; Pure Cane,,,,80,40,Fresh cane juice,,,"Bold, grassy, fresh, full flavoured",https://www.huskdistillers.com/shop/pure-cane,2026-06-08,https://images.squarespace-cdn.com/content/v1/5a59fb2fccc5c5cfcbef4fda/1702439177594-XPB293Z3ZB6PIWXU5DIV/Pure+Cane.png,rum_australia
Rum,Husk Farm Distillery,"North Tumbulgum, NSW, Australia",Husk,own_make,,FALSE,FALSE,Rhum Agricole; White; Pure Cane 50 (Caribbean Strength),,2025,2025 harvest,100,50,Fresh cane juice,,,,https://www.huskdistillers.com/shop/husk-pure-cane-50; https://thelonecaner.com/r1094/,2026-06-26,http://static1.squarespace.com/static/5a59fb2fccc5c5cfcbef4fda/5a5ea11d53450ae875ed3604/5ca2c4487817f7538ebd46d1/1779426139911/28.png,rum_australia
Rum,Husk Farm Distillery,"North Tumbulgum, NSW, Australia",Husk,own_make,,FALSE,FALSE,Rhum Agricole; Aged; Signature ACR,,,,,,Single-estate cane juice,,,"Spicy oak, dried fruits, soft pineapple, earthy finish, blonde tobacco",https://www.huskdistillers.com/shop/husk-signature,2026-06-26,http://static1.squarespace.com/static/5a59fb2fccc5c5cfcbef4fda/5a5ea11d53450ae875ed3604/64179e493039640e48f7cdfc/1773627403863/Website+Product+Images+%284%29.png,rum_australia
