spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Eclipse,,,,80.0,40.0,,American oak ex-bourbon,,,https://www.mountgayrum.com/rum/eclipse/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay,own_make,NULL,FALSE,FALSE,Blended Rum; White; Eclipse Silver,NAS,,,80.0,40.0,,Charcoal-filtered ex-bourbon,,,https://www.mountgayrum.com/rum/silver/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Black Barrel,,,,86.0,43.0,,Ex-bourbon + double-charred bourbon,,,https://www.mountgayrum.com/rum/black-barrel/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; XO Triple Cask Blend,,,,86.0,43.0,,"Ex-bourbon, ex-whiskey, ex-cognac",Cognac cask,2020 reformulation; component range 5-17 years.,https://www.masterofmalt.com/rum/mount-gay/mount-gay-xo-triple-cask-blend-rum/; https://www.rum-x.com/rums/2067/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/532_source_1782293470.jpg,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 1703 Master Select,,,,86.0,43.0,,"Copper pot + column, ex-bourbon",,Component range 10-30 years.,https://www.rum-x.com/rums/181/,2026-06-28,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay,own_make,NULL,FALSE,FALSE,Blended Rum; Overproof; Eclipse Navy Strength,,,,114.2,57.1,,Ex-bourbon,,Barbados distillery exclusive.,https://www.mountgayrum.com/rum/eclipse-navy-strength/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay,own_make,NULL,FALSE,FALSE,Blended Rum; Cask Strength; Black Barrel Cask Strength,,,,132.0,66.0,,Double-charred bourbon,,Distillery exclusive.,https://www.mountgayrum.com/rum/black-barrel-cask-strength/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; XO The Peat Smoke Expression,,2018,,114.0,57.0,,,Peated-whisky-cask influence,,https://www.mountgayrum.com/rum/xo-peat-smoke-expression/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Pot Still Rum; Aged; Pot Still Rum (MBC 2019),,2019,,,,,Ex-bourbon,Pot still,,https://www.mountgayrum.com/rum/pot-still-rum/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; The Port Cask Expression,,2020,,,,,Ex-bourbon,Port cask,,https://www.mountgayrum.com/rum/port-cask/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; The Andean Oak Cask,,2021,,96.0,48.0,,14yr ex-bourbon,Virgin Andean oak,,https://www.mountgayrum.com/rum/andean-oak-cask/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; The Madeira Cask Expression,,2022,,,,,Ex-bourbon,Madeira cask,,https://www.mountgayrum.com/rum/the-madeira-cask-expression/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; The PX Sherry Cask Expression,,2023,,90.0,45.0,,Ex-bourbon,PX Sherry cask,,https://www.mountgayrum.com/rum/the-px-sherry-cask-expression/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; The Coffey Still Expression,,2024,,116.0,58.0,,Coffey still ex-bourbon,,,https://www.rum-x.com/rums/20836/,2026-06-28,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Master Blender Collection,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; The Cognac Cask Expression,,2024,,116.0,58.0,,Ex-bourbon,Cognac cask,,https://www.rum-x.com/rums/24331/,2026-06-28,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Single Estate Series,own_make,NULL,FALSE,FALSE,Pot Still Rum; Single Cask; Release 01,,2016,,110.0,55.0,,Pot still ex-bourbon,,,https://www.rum-x.com/rums/17555/,2026-06-28,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Single Estate Series,own_make,NULL,FALSE,FALSE,Pot Still Rum; Single Cask; Release 02,,2018,,110.0,55.0,,Pot still ex-bourbon,,,https://www.rum-x.com/rums/21730/,2026-06-28,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Single Estate Series,own_make,NULL,FALSE,FALSE,Column Still Rum; Single Cask; Release 03,,2024,,96.0,48.0,,Coffey still,,,https://www.mountgayrum.com/rum/single-estate-series-release-03/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Single Estate Series,own_make,NULL,FALSE,FALSE,Pot Still Rum; Single Cask; Release 04,,2019,,110.0,55.0,,Pot still ex-bourbon,,,https://www.mountgayrum.com/rum/single-estate-series-release-04/,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Origin Series,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Vol. 1 Virgin Cask,,,,86.0,43.0,,New French oak,,,https://rumratings.com/rum/5659,2026-06-07,NULL,rum_barbados
Rum,Mount Gay,"St Lucy, Barbados",Mount Gay Origin Series,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Vol. 1 Charred Cask,,,,86.0,43.0,,Deeply charred ex-bourbon American oak,,,https://rumratings.com/rum/5660,2026-06-07,NULL,rum_barbados
Rum,Foursquare Rum Distillery,"St Philip, Barbados",Doorly's,own_make,NULL,FALSE,FALSE,Blended Rum; White; 3 Year,3 Years,,,80.0,40.0,,"Ex-bourbon, charcoal-filtered",,,https://www.masterofmalt.com/rum/doorlys/,2026-06-07,NULL,rum_barbados
Rum,Foursquare Rum Distillery,"St Philip, Barbados",Doorly's,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 5 Year,5 Years,,,80.0,40.0,,Ex-bourbon,,,https://therumbarrel.co.uk/2023/03/23/,2026-06-07,NULL,rum_barbados
Rum,Foursquare Rum Distillery,"St Philip, Barbados",Doorly's,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 8 Year,8 Years,,,80.0,40.0,,Ex-bourbon,,,https://therumbarrel.co.uk/2023/03/23/,2026-06-07,NULL,rum_barbados
Rum,Foursquare Rum Distillery,"St Philip, Barbados",Doorly's,own_make,NULL,FALSE,FALSE,Blended Rum; Sherry Cask; XO,,,,86.0,43.0,,Ex-bourbon,Ex-Oloroso Sherry,,https://www.masterofmalt.com/rum/doorlys/,2026-06-07,NULL,rum_barbados
Rum,Foursquare Rum Distillery,"St Philip, Barbados",Doorly's,own_make,NULL,FALSE,FALSE,Blended Rum; Sherry Cask; 12 Year,12 Years,,,86.0,43.0,,Ex-bourbon,Ex-Sherry,,https://therumbarrel.co.uk/2019/11/19/,2026-06-07,NULL,rum_barbados
Rum,Foursquare Rum Distillery,"St Philip, Barbados",Doorly's,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 14 Year,14 Years,,,96.0,48.0,,Ex-bourbon,,,https://therumbarrel.co.uk/2023/03/23/,2026-06-07,NULL,rum_barbados
