spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Travellers Liquors,"Belize City, Belize",1 Barrel,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Aged Dark 1 Year,1 Year,,,80.0,40.0,,Kentucky/American oak ex-bourbon,,"Floral aroma; soft, sweet body.",https://www.onebarrelrum.com/aged-dark-rum,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",3 Barrel,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Aged Dark 3 Year,3 Years,,,,,,,,,https://caribbeanlifestyle.com/exploring-belizean-rum-with-travellers-liquors/,2026-06-28,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",5 Barrel,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Aged Dark 5 Year,5 Years,,,,,,Oak,,,https://www.onebarrelrum.com/aged-dark-rum,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Tiburon,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; The Spirit of Belize,,,,,,,Ex-bourbon (second maturation),,Premium small batch.,https://www.onebarrelrum.com/aged-dark-rum,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Don Omario's,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Vintage 10 Year,10 Years,,,80.0,40.0,,,,"Earthy, coffee, chocolate, prunes, dates.",https://www.onebarrelrum.com/vintage-rums; https://www.rum-x.com/rums/6552/,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Don Omario's,own_make,NULL,FALSE,FALSE,Column Still Rum; Port Cask; 18 Year 70th Anniversary,18 Years,,,,,,Ex-bourbon,Ex-Port (3 years),,https://www.onebarrelrum.com/premium-rums,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Don Omario's,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 15 Year Royal Edition,15 Years,,,,,,,,,https://www.onebarrelrum.com/premium-rums,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Travellers,own_make,NULL,FALSE,FALSE,Column Still Rum; Sherry Cask; The Wolf,10 Years,,,,,,Ex-bourbon,Ex-Sherry (9 months),,https://www.onebarrelrum.com/premium-rums,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Travellers,own_make,NULL,FALSE,FALSE,Column Still Rum; Single Cask; 1981 Cask Strength,15 Years,2005,,,,,Ex-bourbon,Ex-Sherry (6 months),,https://www.onebarrelrum.com/premium-rums,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Belizean Blue,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Signature Blend,7 Years,,,,,,Ex-bourbon oak,,"Bitter-sweet, spicy notes.",https://www.onebarrelrum.com/premium-rums,2026-06-07,NULL,rum_belize
Rum,Travellers Liquors,"Belize City, Belize",Belizean,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Gold Rum,,,,,,,,,,https://www.onebarrelrum.com/belizean-rum,2026-06-07,NULL,rum_belize
Rum,Copal Tree Distillery,"Punta Gorda, Belize",Copalli,own_make,NULL,FALSE,FALSE,Rhum Agricole; White; Organic White,NAS,,,84.0,42.0,,,,"Fennel, cut grass, toffee, grapefruit zest, white pepper, coconut water.",https://shop.copallirum.com/products/copalli-white-rum,2026-06-26,http://shop.copallirum.com/cdn/shop/files/Copalli_Cocktails-3-1.png,rum_belize
Rum,Copal Tree Distillery,"Punta Gorda, Belize",Copalli,own_make,NULL,FALSE,FALSE,Rhum Agricole; Aged; Organic Barrel Rested,,,,88.0,44.0,,Used American oak ex-bourbon,,"Woody, lime zest, cacao; vanilla, nutmeg, cinnamon, tobacco.",https://shop.copallirum.com/products/copalli-barrel-rested-rum,2026-06-26,http://shop.copallirum.com/cdn/shop/files/Copalli_Cocktails-32-2.png,rum_belize
Rum,Copal Tree Distillery,"Punta Gorda, Belize",Copalli,own_make,NULL,FALSE,FALSE,Rhum Agricole; Aged; Organic Five Year Aged,5 Years,,,,,,American oak ex-bourbon,,,https://shop.copallirum.com/products/copalli-organic-five-year-aged-rum,2026-06-26,http://shop.copallirum.com/cdn/shop/files/5YR_Bottle_Front_Sugarcane_Edited-1000x1500.jpg,rum_belize
