spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; 3 Anos,3 Years,,,80.0,40.0,,White oak,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Anejo Especial,NAS,,,80.0,40.0,,White oak,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 7 Anos,7 Years,,,80.0,40.0,,White oak,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Seleccion de Maestros,NAS,,,90.0,45.0,,White oak,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 15 Anos,15 Years,,,80.0,40.0,,White oak,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Maximo Extra Anejo,NAS,,,80.0,40.0,,White oak,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Union,NAS,,,80.0,40.0,,White oak,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Tributo 2019,,2019,,80.0,40.0,,,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Tributo 2020,,2020,,,,,,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Tributo 2021,,2021,,80.0,40.0,,,Portuguese white port,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Tributo 2023,,2023,,80.0,40.0,,,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Havana Club,"Santa Cruz del Norte, Cuba",Havana Club,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Tributo 2025,,2025,,86.0,43.0,,,,,https://havana-club.com/en/; https://www.masterofmalt.com/distilleries/havana-club-rum-distillery/,2026-06-07,NULL,rum_cuba
Rum,Ron Santiago de Cuba,"Santiago de Cuba, Cuba",Ron Santiago de Cuba,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Carta Blanca,NAS,,,,,,White oak,,,https://www.ronsantiagodecuba.com/rum/; https://www.thewhiskyexchange.com/b/339/santiago-de-cuba,2026-06-07,NULL,rum_cuba
