spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Brugal,"Puerto Plata, Dominican Republic",Brugal,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Especial Extra Dry,NAS,,,80.0,40.0,,,,,https://www.brugal-rum.com/en/our-rum/; https://www.masterofmalt.com/distilleries/brugal-rum-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Brugal,"Puerto Plata, Dominican Republic",Brugal,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Anejo,NAS,,,80.0,40.0,,Ex-bourbon American oak,,,https://www.brugal-rum.com/en/our-rum/; https://www.masterofmalt.com/distilleries/brugal-rum-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Brugal,"Puerto Plata, Dominican Republic",Brugal,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Extra Viejo,NAS,,,76.0,38.0,,Ex-American whiskey oak,,,https://www.brugal-rum.com/en/our-rum/; https://www.masterofmalt.com/distilleries/brugal-rum-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Brugal,"Puerto Plata, Dominican Republic",Brugal,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 1888 Gran Reserva Familiar,NAS,,,80.0,40.0,,American oak,Spanish oloroso oak,,https://www.brugal-rum.com/en/our-rum/; https://www.masterofmalt.com/distilleries/brugal-rum-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Brugal,"Puerto Plata, Dominican Republic",Brugal,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Leyenda,NAS,,,76.0,38.0,,,Oloroso & Pedro Ximenez Sherry,,https://www.brugal-rum.com/en/our-rum/; https://www.masterofmalt.com/distilleries/brugal-rum-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Brugal,"Puerto Plata, Dominican Republic",Brugal,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Papa Andres,NAS,,,,,,,,,https://www.brugal-rum.com/en/our-rum/; https://www.masterofmalt.com/distilleries/brugal-rum-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Brugal,"Puerto Plata, Dominican Republic",Brugal,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Coleccion Visionaria,NAS,,,90.0,45.0,,Virgin French oak (coffee-toasted),,,https://www.brugal-rum.com/en/our-rum/; https://www.masterofmalt.com/distilleries/brugal-rum-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Ron Barcelo,"Santo Domingo, Dominican Republic",Ron Barcelo,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Blanco Anejado,NAS,,,75.0,37.5,,,,,https://ronbarcelo.com/en/rum/; https://www.masterofmalt.com/distilleries/ron-barcelo-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Ron Barcelo,"Santo Domingo, Dominican Republic",Ron Barcelo,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Anejo,,,,75.0,37.5,,,,,https://ronbarcelo.com/en/rum/; https://www.masterofmalt.com/distilleries/ron-barcelo-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Ron Barcelo,"Santo Domingo, Dominican Republic",Ron Barcelo,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Gran Anejo,NAS,,,75.0,37.5,,,,,https://ronbarcelo.com/en/rum/; https://www.masterofmalt.com/distilleries/ron-barcelo-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Ron Barcelo,"Santo Domingo, Dominican Republic",Ron Barcelo,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Imperial,NAS,,,76.0,38.0,,,,,https://ronbarcelo.com/en/rum/; https://www.masterofmalt.com/distilleries/ron-barcelo-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Ron Barcelo,"Santo Domingo, Dominican Republic",Ron Barcelo,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Imperial Onyx,NAS,,,76.0,38.0,,Charred American oak,,,https://ronbarcelo.com/en/rum/; https://www.masterofmalt.com/distilleries/ron-barcelo-distillery/,2026-06-07,NULL,rum_dominican_republic
Rum,Ron Barcelo,"Santo Domingo, Dominican Republic",Ron Barcelo,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Imperial Premium Blend 30 Aniversario,NAS,,,86.0,43.0,,,French oak,,https://ronbarcelo.com/en/rum/; https://www.masterofmalt.com/distilleries/ron-barcelo-distillery/,2026-06-07,NULL,rum_dominican_republic
