spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; White; White Jack,,,,,,,,,https://westerhallrums.com/white-jack-rum,2026-06-07,NULL,rum_grenada
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; Overproof; Jack Iron,,,,138.0,69.0,,Charred oak,,https://westerhallrums.com/jack-iron-rum,2026-06-07,NULL,rum_grenada
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Rum No.3,3 Years,,,,,,,,https://westerhallrums.com/rum-no-3,2026-06-07,NULL,rum_grenada
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Rum No.5,5 Years,,,,,,,,https://westerhallrums.com/rum-no-5,2026-06-07,NULL,rum_grenada
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Rum No.7,7 Years,,,,,,,,https://westerhallrums.com/rum-no-7,2026-06-07,NULL,rum_grenada
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 10XO,10 Years,,,,,,,,https://westerhallrums.com/westerhall-10xo,2026-06-07,NULL,rum_grenada
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Rum No.12,12 Years,,,,,,,,https://westerhallrums.com/rum-no-12,2026-06-07,NULL,rum_grenada
Rum,Westerhall Estate,"St David's, Grenada",Westerhall,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; XXO,,,,,,,,,https://westerhallrums.com/xxo-rum,2026-06-07,NULL,rum_grenada
Rum,River Antoine,"St Patrick, Grenada",Rivers Royale,own_make,NULL,FALSE,FALSE,Rhum Agricole; Overproof; Grenadian White Overproof (local),NAS,,,150.0,75.0,,,,https://thelonecaner.com/r0505/,2026-06-07,NULL,rum_grenada
Rum,River Antoine,"St Patrick, Grenada",Rivers Royale,own_make,NULL,FALSE,FALSE,Rhum Agricole; Overproof; Grenadian Rum (export),NAS,,,138.0,69.0,,,,https://thelonecaner.com/r1114/,2026-06-07,NULL,rum_grenada
Rum,Clarke's Court,"Woodlands, Grenada",Clarke's Court,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Superior Light,,,,,,,,,https://www.businessgrenada.com/grenada-distillers/,2026-06-07,NULL,rum_grenada
Rum,Clarke's Court,"Woodlands, Grenada",Clarke's Court,own_make,NULL,FALSE,FALSE,Column Still Rum; Overproof; Pure White,,,,138.0,69.0,,,,https://rumratings.com/rum/203-clarkes-court-pure-white-overproof,2026-06-07,NULL,rum_grenada
Rum,Clarke's Court,"Woodlands, Grenada",Clarke's Court,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Old Grog,10 Years,,,80.0,40.0,,,,https://thefatrumpirate.com/clarkes-court-old-grog-rum/,2026-06-07,NULL,rum_grenada
Rum,Clarke's Court,"Woodlands, Grenada",Clarke's Court,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Special Dark,,,,,,,,,https://www.businessgrenada.com/grenada-distillers/,2026-06-07,NULL,rum_grenada
Rum,Clarke's Court,"Woodlands, Grenada",Clarke's Court,own_make,NULL,FALSE,FALSE,Column Still Rum; Spiced; Exotic Spiced,,,,,,,,,https://www.businessgrenada.com/grenada-distillers/,2026-06-07,NULL,rum_grenada
Rum,Clarke's Court,"Woodlands, Grenada",Clarke's Court,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; No.37 12 Year,12 Years,,,,,,,,https://caribjournal.com/2025/05/09/grenada-rum-clarkes-court-37,2026-06-28,NULL,rum_grenada
Rum,Clarke's Court,"Woodlands, Grenada",Clarke's Court,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Tradition,,,,,,,,,https://www.businessgrenada.com/grenada-distillers/,2026-06-07,NULL,rum_grenada
