spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Damoiseau (Distillerie Bellevue),"Le Moule, Grande-Terre, Guadeloupe",Damoiseau,own_make,NULL,FALSE,FALSE,Rhum Agricole; Blanc 40,NAS,,,80.0,40.0,,,,,https://www.laroutedesrhums.com/fr/3_damoiseau; https://www.excellencerhum.com/en/guadeloupe/80-agricole-rum-damoiseau-4-years-special-reserve-vsop.html,2026-06-07,NULL,rum_guadeloupe
Rum,Damoiseau (Distillerie Bellevue),"Le Moule, Grande-Terre, Guadeloupe",Damoiseau,own_make,NULL,FALSE,FALSE,Rhum Agricole; Blanc 50,NAS,,,100.0,50.0,,,,,https://www.laroutedesrhums.com/fr/3_damoiseau; https://www.excellencerhum.com/en/guadeloupe/80-agricole-rum-damoiseau-4-years-special-reserve-vsop.html,2026-06-07,NULL,rum_guadeloupe
Rum,Damoiseau (Distillerie Bellevue),"Le Moule, Grande-Terre, Guadeloupe",Damoiseau,own_make,NULL,FALSE,FALSE,Rhum Agricole; Blanc 55,NAS,,,110.0,55.0,,,,,https://www.laroutedesrhums.com/fr/3_damoiseau; https://www.excellencerhum.com/en/guadeloupe/80-agricole-rum-damoiseau-4-years-special-reserve-vsop.html,2026-06-07,NULL,rum_guadeloupe
Rum,Damoiseau (Distillerie Bellevue),"Le Moule, Grande-Terre, Guadeloupe",Damoiseau,own_make,NULL,FALSE,FALSE,Rhum Agricole; VO,3 Years,,,84.0,42.0,,Ex-bourbon oak,,,https://www.laroutedesrhums.com/fr/3_damoiseau; https://www.excellencerhum.com/en/guadeloupe/80-agricole-rum-damoiseau-4-years-special-reserve-vsop.html,2026-06-07,NULL,rum_guadeloupe
Rum,Damoiseau (Distillerie Bellevue),"Le Moule, Grande-Terre, Guadeloupe",Damoiseau,own_make,NULL,FALSE,FALSE,Rhum Agricole; VSOP,4 Years,,,84.0,42.0,,Re-charred ex-bourbon oak,,,https://www.laroutedesrhums.com/fr/3_damoiseau; https://www.excellencerhum.com/en/guadeloupe/80-agricole-rum-damoiseau-4-years-special-reserve-vsop.html,2026-06-07,NULL,rum_guadeloupe
Rum,Damoiseau (Distillerie Bellevue),"Le Moule, Grande-Terre, Guadeloupe",Damoiseau,own_make,NULL,FALSE,FALSE,Rhum Agricole; XO,6 Years,,,84.0,42.0,,Oak,,,https://www.laroutedesrhums.com/fr/3_damoiseau; https://www.excellencerhum.com/en/guadeloupe/80-agricole-rum-damoiseau-4-years-special-reserve-vsop.html,2026-06-07,NULL,rum_guadeloupe
Rum,Distillerie Longueteau (Esperance),"Capesterre-Belle-Eau, Guadeloupe",Longueteau,own_make,NULL,FALSE,FALSE,Rhum Agricole; Blanc 50,NAS,,,100.0,50.0,,,,,https://www.excellencerhum.com/en/guadeloupe/215-agricole-rum-longueteau-vsop.html; https://www.lesrhumsdumonde.com/413-longueteau,2026-06-26,https://cdn1.excellencerhum.com/256-thickbox_default/agricole-rum-longueteau-vsop.jpg,rum_guadeloupe
Rum,Distillerie Longueteau (Esperance),"Capesterre-Belle-Eau, Guadeloupe",Longueteau,own_make,NULL,FALSE,FALSE,Rhum Agricole; Blanc 55,NAS,,,110.0,55.0,,,,,https://www.excellencerhum.com/en/guadeloupe/215-agricole-rum-longueteau-vsop.html; https://www.lesrhumsdumonde.com/413-longueteau,2026-06-26,https://cdn1.excellencerhum.com/256-thickbox_default/agricole-rum-longueteau-vsop.jpg,rum_guadeloupe
Rum,Distillerie Longueteau (Esperance),"Capesterre-Belle-Eau, Guadeloupe",Longueteau,own_make,NULL,FALSE,FALSE,Rhum Agricole; VSOP,NAS,,,84.0,42.0,,Oak,,,https://www.excellencerhum.com/en/guadeloupe/215-agricole-rum-longueteau-vsop.html; https://www.lesrhumsdumonde.com/413-longueteau,2026-06-26,https://cdn1.excellencerhum.com/256-thickbox_default/agricole-rum-longueteau-vsop.jpg,rum_guadeloupe
Rum,Distillerie Longueteau (Esperance),"Capesterre-Belle-Eau, Guadeloupe",Longueteau,own_make,NULL,FALSE,FALSE,Rhum Agricole; XO,NAS,,,84.0,42.0,,Oak,,,https://www.excellencerhum.com/en/guadeloupe/215-agricole-rum-longueteau-vsop.html; https://www.lesrhumsdumonde.com/413-longueteau,2026-06-26,https://cdn1.excellencerhum.com/256-thickbox_default/agricole-rum-longueteau-vsop.jpg,rum_guadeloupe
Rum,Distillerie Longueteau (Esperance),"Capesterre-Belle-Eau, Guadeloupe",Karukera,own_make,NULL,FALSE,FALSE,Rhum Agricole; White; Blanc Agricole,NAS,,,100.0,50.0,,,,,https://www.laroutedesrhums.com/fr/9_karukera; https://www.rum-x.com/rums/1167/karukera-blanc-agricole/,2026-06-07,NULL,rum_guadeloupe
Rum,Distillerie Longueteau (Esperance),"Capesterre-Belle-Eau, Guadeloupe",Karukera,own_make,NULL,FALSE,FALSE,Rhum Agricole; Gold; Reserve Speciale,NAS,,,84.0,42.0,,Oak,,,https://www.laroutedesrhums.com/fr/9_karukera; https://www.rum-x.com/rums/1167/karukera-blanc-agricole/,2026-06-07,NULL,rum_guadeloupe
Rum,Distillerie Longueteau (Esperance),"Capesterre-Belle-Eau, Guadeloupe",Karukera,own_make,NULL,FALSE,FALSE,Rhum Agricole; Black Edition,NAS,,,84.0,42.0,,Oak,Cognac,,https://www.laroutedesrhums.com/fr/9_karukera; https://www.rum-x.com/rums/1167/karukera-blanc-agricole/,2026-06-07,NULL,rum_guadeloupe
Rum,Distillerie Poisson (Pere Labat),"Marie-Galante, Guadeloupe",Pere Labat,own_make,NULL,FALSE,FALSE,Rhum Agricole; Blanc 59,NAS,,,118.0,59.0,,,,,https://www.pmspirits.com/pere-labat-rhum-agricole; https://www.excellencerhum.com/en/marie-galante/582-agricole-rum-pere-labat-8-years-old.html,2026-06-26,https://cdn2.excellencerhum.com/4272-thickbox_default/agricole-rum-pere-labat-8-years-old.jpg,rum_guadeloupe
Rum,Distillerie Poisson (Pere Labat),"Marie-Galante, Guadeloupe",Pere Labat,own_make,NULL,FALSE,FALSE,Rhum Agricole; Blanc 50,NAS,,,100.0,50.0,,,,,https://www.pmspirits.com/pere-labat-rhum-agricole; https://www.excellencerhum.com/en/marie-galante/582-agricole-rum-pere-labat-8-years-old.html,2026-06-26,https://cdn2.excellencerhum.com/4272-thickbox_default/agricole-rum-pere-labat-8-years-old.jpg,rum_guadeloupe
