spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; White; 3 Year,3 Years,,,80.0,40.0,,Oak,,https://theeldoradorum.com/blended-rums/3-year-old-casked-aged,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 5 Year,5 Years,,,80.0,40.0,,Oak,,https://theeldoradorum.com/blended-rums/5-year-old-casked-aged,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 8 Year,8 Years,,,80.0,40.0,,Oak,,https://theeldoradorum.com/blended-rums/8-year-old-casked-aged,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 12 Year,12 Years,,,80.0,40.0,,Oak,,https://theeldoradorum.com/blended-rums/12-year-old,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Extra Aged; 15 Year,15 Years,,,86.0,43.0,,Oak,,https://theeldoradorum.com/blended-rums/15-year-old,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Extra Aged; 21 Year,21 Years,,,86.0,43.0,,Oak,,https://theeldoradorum.com/blended-rums/21-year-old,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Extra Aged; 25 Year,25 Years,,,86.0,43.0,,Oak,,https://theeldoradorum.com/blended-rums/25-year-old-grand-special-reserve,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Heavy Ester; High Ester Blend,,,,,,,Oak,,https://theeldoradorum.com/blended-rums/high-ester-blend,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Enmore Single Still,,,,80.0,40.0,,Oak ex-bourbon,,https://theeldoradorum.com/single-still-rums,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Pot Still Rum; Aged; Port Mourant Single Still,,,,80.0,40.0,,Oak ex-bourbon,,https://theeldoradorum.com/single-still-rums,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Pot Still Rum; Aged; Versailles Single Still,,,,80.0,40.0,,Oak ex-bourbon,,https://theeldoradorum.com/single-still-rums,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Column Still Rum; Cask Strength; Enmore Single Still Cask Strength,,,,,,,Oak ex-bourbon,,https://theeldoradorum.com/single-still-rums,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Pot Still Rum; Cask Strength; Port Mourant Single Still Cask Strength,,,,,,,Oak ex-bourbon,,https://theeldoradorum.com/single-still-rums,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Pot Still Rum; Cask Strength; Versailles Single Still Cask Strength,,,,,,,Oak ex-bourbon,,https://theeldoradorum.com/single-still-rums,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 12 Year Cask Finish Madeira Dry,12 Years,,,,,,French oak,Ex-Madeira Dry,https://theeldoradorum.com/limited-releases/twelve-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 12 Year Cask Finish Madeira Sweet,12 Years,,,,,,French oak,Ex-Madeira Sweet,https://theeldoradorum.com/limited-releases/twelve-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 12 Year Cask Finish Portuguese Red Wine,12 Years,,,,,,French oak,Ex-Portuguese Red Wine,https://theeldoradorum.com/limited-releases/twelve-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 12 Year Cask Finish Ruby Port,12 Years,,,,,,French oak,Ex-Ruby Port,https://theeldoradorum.com/limited-releases/twelve-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 12 Year Cask Finish Sauternes,12 Years,,,,,,French oak,Ex-Sauternes,https://theeldoradorum.com/limited-releases/twelve-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 12 Year Cask Finish White Port,12 Years,,,,,,French oak,Ex-White Port,https://theeldoradorum.com/limited-releases/twelve-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 15 Year Cask Finish Madeira Dry,15 Years,,,,,,French oak,Ex-Madeira Dry,https://theeldoradorum.com/limited-releases/fifteen-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 15 Year Cask Finish Madeira Sweet,15 Years,,,,,,French oak,Ex-Madeira Sweet,https://theeldoradorum.com/limited-releases/fifteen-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 15 Year Cask Finish Portuguese Red Wine,15 Years,,,,,,French oak,Ex-Portuguese Red Wine,https://theeldoradorum.com/limited-releases/fifteen-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 15 Year Cask Finish Ruby Port,15 Years,,,,,,French oak,Ex-Ruby Port,https://theeldoradorum.com/limited-releases/fifteen-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 15 Year Cask Finish Sauternes,15 Years,,,,,,French oak,Ex-Sauternes,https://theeldoradorum.com/limited-releases/fifteen-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 15 Year Cask Finish White Port,15 Years,,,,,,French oak,Ex-White Port,https://theeldoradorum.com/limited-releases/fifteen-year-old-cask-finish,2026-06-07,NULL,rum_guyana
Rum,Demerara Distillers,"East Bank Demerara, Guyana",El Dorado,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Master Blender's 10 Year,10 Years,,,,,,,,https://theeldoradorum.com/limited-releases/master-blender-s,2026-06-07,NULL,rum_guyana
