spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,Barbancourt,"Port-au-Prince, Haiti",Barbancourt,own_make,NULL,FALSE,FALSE,Rhum Agricole; White,NAS,,,80.0,40.0,,,,,https://barbancourt.com/en; https://en.wikipedia.org/wiki/Rhum_Barbancourt,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rhum_Barbancourt_Reserve_du_Domaine.jpg,rum_haiti
Rum,Barbancourt,"Port-au-Prince, Haiti",Barbancourt,own_make,NULL,FALSE,FALSE,Rhum Agricole; 3 Star,4 Years,,,80.0,40.0,,Limousin oak,,,https://barbancourt.com/en; https://en.wikipedia.org/wiki/Rhum_Barbancourt,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rhum_Barbancourt_Reserve_du_Domaine.jpg,rum_haiti
Rum,Barbancourt,"Port-au-Prince, Haiti",Barbancourt,own_make,NULL,FALSE,FALSE,Rhum Agricole; 5 Star Reserve Speciale,8 Years,,,86.0,43.0,,Limousin oak,,,https://barbancourt.com/en; https://en.wikipedia.org/wiki/Rhum_Barbancourt,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rhum_Barbancourt_Reserve_du_Domaine.jpg,rum_haiti
Rum,Barbancourt,"Port-au-Prince, Haiti",Barbancourt,own_make,NULL,FALSE,FALSE,Rhum Agricole; Estate Reserve,15 Years,,,86.0,43.0,,Limousin oak,,,https://barbancourt.com/en; https://en.wikipedia.org/wiki/Rhum_Barbancourt,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rhum_Barbancourt_Reserve_du_Domaine.jpg,rum_haiti
Rum,Chelo Distillery,"Saint-Michel-de-l'Attalaye, Haiti",Clairin Sajous,sourced,Velier,TRUE,FALSE,Rhum Agricole; Clairin; Sajous,NAS,,,,,,Unaged,,,https://www.thespiritofhaiti.com/; https://www.excellencerhum.com/en/150_clairin,2026-06-07,NULL,rum_haiti
Rum,Arawaks Distillery,"Cavaillon, Haiti",Clairin Vaval,sourced,Velier,TRUE,FALSE,Rhum Agricole; Clairin; Vaval,NAS,,,,,,Unaged,,,https://www.thespiritofhaiti.com/; https://www.excellencerhum.com/en/150_clairin,2026-06-07,NULL,rum_haiti
Rum,Barraderes Distillery,"Barraderes, Haiti",Clairin Casimir,sourced,Velier,TRUE,FALSE,Rhum Agricole; Clairin; Casimir,NAS,,,,,,Unaged,,,https://www.thespiritofhaiti.com/; https://www.excellencerhum.com/en/150_clairin,2026-06-07,NULL,rum_haiti
Rum,Le Rocher Distillery (Bethel Romelus),"Pignon, Haiti",Clairin Le Rocher,sourced,Velier,TRUE,FALSE,Rhum Agricole; Clairin; Le Rocher,NAS,,,93.0,46.5,,Unaged,,,https://www.thespiritofhaiti.com/; https://www.excellencerhum.com/en/150_clairin,2026-06-07,NULL,rum_haiti
Rum,Sonson Distillery (Pierre-Gilles),"Cabaret, Haiti",Clairin Sonson,sourced,Velier,TRUE,FALSE,Rhum Agricole; Clairin; Sonson,NAS,,,106.4,53.2,,Unaged,,,https://www.thespiritofhaiti.com/; https://www.excellencerhum.com/en/150_clairin,2026-06-07,NULL,rum_haiti
Rum,Various (Haiti),Haiti,Clairin Communal,sourced,Velier,TRUE,FALSE,Rhum Agricole; Clairin; Communal,NAS,,,86.0,43.0,,Unaged,,,https://www.thespiritofhaiti.com/; https://www.excellencerhum.com/en/150_clairin,2026-06-07,NULL,rum_haiti
