spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Amrut Distilleries,"Bengaluru, Karnataka, India",Amrut,blended,,FALSE,FALSE,Blended Rum; Two Indies,,,,85.6,42.8,Indian jaggery + Caribbean rum blend,American oak,,https://amrutdistilleries.com/amrut-two-indiesrum-42-8-duplicate/; https://thelonecaner.com/r0354/,2026-06-08,https://amrutdistilleries.com/wp-content/uploads/2024/03/TIR-NEW-2020.png,rum_india
Rum,Amrut Distilleries,"Bengaluru, Karnataka, India",Amrut,blended,,FALSE,FALSE,Blended Rum; White; Two Indies White,,,,85.6,42.8,Indian jaggery + Caribbean rum blend,,,https://amrutdistilleries.com/amrut-two-indies-white-rum-42-8-duplicate/,2026-06-28,NULL,rum_india
Rum,Amrut Distilleries,"Bengaluru, Karnataka, India",Amrut,blended,,FALSE,FALSE,Blended Rum; Two Indies Dark,,,,85.6,42.8,Indian jaggery + Caribbean rum blend,,,https://amrutdistilleries.com/amrut-two-indies-dark-rum-rhum-ron-42-8-duplicate/,2026-06-08,,rum_india
Rum,Amrut Distilleries,"Bengaluru, Karnataka, India",Amrut,own_make,,FALSE,FALSE,Column Still Rum; Aged; Old Port Deluxe,,,,85.6,42.8,Molasses/jaggery,,,https://amrutdistilleries.com/old-port-rum-deluxe-crafted-42-8-duplicate/,2026-06-08,,rum_india
Rum,Amrut Distilleries,"Bengaluru, Karnataka, India",Amrut,own_make,,FALSE,FALSE,Column Still Rum; Single Jaggery; Bella,,,,92,46,Jaggery,,,https://amrutdistilleries.com/amrut-bella/,2026-06-08,,rum_india
Rum,Rampur Distillery (Radico Khaitan),"Rampur, Uttar Pradesh, India",Kohinoor Reserve,own_make,,FALSE,FALSE,Rhum Agricole; Aged; Indian Dark Rum,,,,86,43,Fresh cane juice,American oak ex-Indian single malt,Cognac XO + Vermouth casks,https://www.thedrinksbusiness.com/2024/04/rampur-distillery-releases-indian-dark-rum/; https://www.businesswire.com/news/home/20240415417537/en/,2026-06-26,https://www.thedrinksbusiness.com/content/uploads/2024/04/Kohnioor-Indian-Rum-.jpg,rum_india
Rum,Mohan Meakin,"Ghaziabad, Uttar Pradesh, India",Old Monk,own_make,,FALSE,FALSE,Column Still Rum; Aged; 7 Year,7 Years,,,85.6,42.8,Molasses,,,https://antiquitywhisky.in/old-monk-rum-price-in-india/; https://www.htfw.com/old-monk-indian-7-year-old-rum,2026-06-28,NULL,rum_india
Rum,Mohan Meakin,"Ghaziabad, Uttar Pradesh, India",Old Monk,own_make,,FALSE,FALSE,Column Still Rum; Aged; Gold Reserve 12 Year,12 Years,,,85.6,42.8,Molasses,,,https://rumratings.com/rum/604-old-monk-gold-reserve; https://thelonecaner.com/r1084/,2026-06-08,,rum_india
Rum,Mohan Meakin,"Ghaziabad, Uttar Pradesh, India",Old Monk,own_make,,FALSE,FALSE,Column Still Rum; Aged; Supreme,12 Years,,,85.6,42.8,Molasses,,,https://therumhowlerblog.com/rum-reviews/dark-rums/old-monk-supreme-rum-very-old-vatted/,2026-06-26,https://therumhowlerblog.com/wp-content/uploads/2015/02/764052.jpg,rum_india
Rum,Mohan Meakin,"Ghaziabad, Uttar Pradesh, India",Old Monk,own_make,,FALSE,FALSE,Column Still Rum; Aged; The Legend,7 Years,,,85.6,42.8,Molasses,,,https://www.bondston.com/old-monk-the-legend-p3426,2026-06-26,http://images-svetnapojov-cdn.rshop.sk/facebook/products/bde3b579b3abde0062017858fff2fabc.png,rum_india
Rum,Mohan Meakin,"Ghaziabad, Uttar Pradesh, India",Old Monk,own_make,,FALSE,FALSE,Column Still Rum; Aged; Deluxe XXX,,,,85.6,42.8,Molasses,,,https://www.easternliquorsusa.com/old-monk-rum/,2026-06-08,,rum_india
Rum,Mohan Meakin,"Ghaziabad, Uttar Pradesh, India",Old Monk,own_make,,FALSE,FALSE,Column Still Rum; Aged; Supreme XXX,,,,85.6,42.8,Molasses,,,https://www.easternliquorsusa.com/old-monk-rum/,2026-06-08,,rum_india
Rum,United Spirits,India,McDowell's No.1,own_make,,FALSE,FALSE,Column Still Rum; Aged; Celebration,,,,85.6,42.8,Molasses,,,https://en.wikipedia.org/wiki/McDowell's_No.1_Celebration; https://thelonecaner.com/r1101/,2026-06-26,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Mc_Dowell_No._1_Rum.jpg/960px-Mc_Dowell_No._1_Rum.jpg,rum_india
