spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Estate,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; HLCF Classic,NAS,,,120.0,60.0,,Ex-bourbon,,https://hampdenestaterum.com/estate-hlcf-classic/,2026-06-07,https://hampdenestaterum.com/wp-content/uploads/2022/01/hampden-hlcf-341x1024.png,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Estate,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; 8 Year,8 Years,,,92.0,46.0,,Ex-bourbon,,https://hampdenestaterum.com/hampden-8-yo/; https://www.rum-x.com/rums/11/,2026-06-07,https://hampdenestaterum.com/wp-content/uploads/2022/01/hampden-estate-8YO-EU-329x1024.png,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Estate,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; 1753,3 Years,,,92.0,46.0,,Ex-bourbon,,https://hampdenestaterum.com/hampden-estate-1753/,2026-06-07,https://hampdenestaterum.com/wp-content/uploads/2025/03/hampden-estate-1753-packshot-350x1024.png,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Fifteen,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; 15 Year,15 Years,,,,,,Ex-bourbon,,https://hampdenestaterum.com/hampden-fifteen/,2026-06-07,https://hampdenestaterum.com/wp-content/uploads/2025/11/hamdpen-fifteen-bouteille-1-853x1024.jpg,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Estate,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; The Younger LROK,5 Years,,,94.0,47.0,,Ex-bourbon,,https://hampdenestaterum.com/hampden-the-younger/,2026-06-07,https://hampdenestaterum.com/wp-content/uploads/2022/02/hampden-younger1-350x1024.png,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Estate,own_make,NULL,FALSE,FALSE,Pot Still Rum; Sherry Cask; Pagos Batch 3,NAS,,Batch 3,104.0,52.0,,Ex-bourbon,Ex-Oloroso Sherry,https://hampdenestaterum.com/hampden-pagos/,2026-06-07,https://hampdenestaterum.com/wp-content/uploads/2025/01/RESIZED-67055_Packshot-HAMPDEN-Pagos-Batch-3-329x1024.png,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Estate,own_make,NULL,FALSE,FALSE,Pot Still Rum; Sherry Cask; Pagos Batch 1,NAS,,Batch 1,104.0,52.0,,Ex-bourbon,Ex-Oloroso and PX Sherry (Lustau),https://hampdenestaterum.com/hampden-pagos/,2026-06-26,https://hampdenestaterum.com/wp-content/uploads/2019/04/hampden-estate-rum-pillars-home.jpg,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Rum Fire,own_make,NULL,FALSE,FALSE,Pot Still Rum; Overproof; White,NAS,,,126.0,63.0,,,,https://www.thewhiskyexchange.com/p/59003/; https://hampdenestaterum.com/hampden-rum-fire/,2026-06-07,https://hampdenestaterum.com/wp-content/uploads/2022/02/rumfire4-1.jpg,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Rum Fire,own_make,NULL,FALSE,FALSE,Pot Still Rum; Overproof; Velvet,NAS,,,126.0,63.0,,,,https://www.thewhiskyexchange.com/p/31184/; https://www.rum-x.com/rums/620/,2026-06-07,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Great House,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; Distillery Edition 2019,,2019,,118.0,59.0,,Ex-bourbon,,https://www.rum-x.com/rums/69/,2026-06-28,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Great House,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; Distillery Edition 2020,,2020,,118.0,59.0,,Ex-bourbon,,https://www.rum-x.com/rums/13406/,2026-06-28,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Great House,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; Distillery Edition 2021,,2021,,110.0,55.0,,Ex-bourbon,,https://hampdenestaterum.com/hampden-estate-great-house-2021/,2026-06-07,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Great House,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; Distillery Edition 2022,,2022,,110.0,55.0,,Ex-bourbon,,https://www.rum-x.com/rums/13406/,2026-06-28,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Great House,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; Distillery Edition 2023,,2023,,,,,Ex-bourbon,,https://hampdenestaterum.com/hampden-estate-great-house-2023/,2026-06-07,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Great House,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; Distillery Edition 2024,,2024,,114.0,57.0,,Ex-bourbon,,https://hampdenestaterum.com/hampden-estate-great-house-2024/,2026-06-07,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Great House,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; Distillery Edition 2025,,2025,,114.0,57.0,,Ex-bourbon,,https://hampdenestaterum.com/hampden-estate-great-house-2025/,2026-06-07,NULL,rum_jamaica
Rum,Hampden Estate,"Trelawny, Jamaica",Hampden Estate,own_make,NULL,FALSE,FALSE,Pot Still Rum; Heavy Ester; New Beginnings,NAS,,,,,,Ex-bourbon,,https://hampdenestaterum.com/hampden-estate-new-beginnings-the-maverick/,2026-06-07,NULL,rum_jamaica
