spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Habitation Clement,"Le Francois, Martinique",Clement,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; White; Premiere Canne,NAS,,,80.0,40.0,,,,https://www.rhum-clement.com/en/our-rums/; https://www.excellencerhum.com/en/52_clement,2026-06-07,NULL,rum_martinique
Rum,Habitation Clement,"Le Francois, Martinique",Clement,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; White; Canne Bleue,NAS,,,100.0,50.0,,,,https://www.rhum-clement.com/en/our-rums/; https://www.excellencerhum.com/en/52_clement,2026-06-07,NULL,rum_martinique
Rum,Habitation Clement,"Le Francois, Martinique",Clement,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; Ambre; Select Barrel,NAS,,,80.0,40.0,,Ex-bourbon oak,,https://www.rhum-clement.com/en/our-rums/; https://www.excellencerhum.com/en/52_clement,2026-06-07,NULL,rum_martinique
Rum,Habitation Clement,"Le Francois, Martinique",Clement,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; VSOP,NAS,,,80.0,40.0,,Ex-bourbon oak,,https://www.rhum-clement.com/en/our-rums/; https://www.excellencerhum.com/en/52_clement,2026-06-07,NULL,rum_martinique
Rum,Habitation Clement,"Le Francois, Martinique",Clement,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; XO,NAS,,,84.0,42.0,,Oak,,https://www.rhum-clement.com/en/our-rums/; https://www.excellencerhum.com/en/52_clement,2026-06-07,NULL,rum_martinique
Rum,Habitation Clement,"Le Francois, Martinique",Clement,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; Cuvee Homere,NAS,,,88.0,44.0,,,,https://www.rhum-clement.com/en/our-rums/; https://www.excellencerhum.com/en/52_clement,2026-06-07,NULL,rum_martinique
Rum,Habitation Clement,"Le Francois, Martinique",Clement,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; 10 Ans,10 Years,,,84.0,42.0,,,,https://www.rhum-clement.com/en/our-rums/; https://www.excellencerhum.com/en/52_clement,2026-06-07,NULL,rum_martinique
Rum,Distillerie JM,"Macouba, Martinique",JM,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; Blanc 50,NAS,,,100.0,50.0,,,,https://www.rhum-jm.com/en/our-rhums/; https://www.skurnik.com/sku/rhum-agricole-blanc-55-rhum-jm/,2026-06-26,https://www.rhum-jm.com/wp-content/uploads/2022/03/slider-rhums-1024x384.jpg,rum_martinique
Rum,Distillerie JM,"Macouba, Martinique",JM,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; Blanc 55,NAS,,,110.0,55.0,,,,https://www.rhum-jm.com/en/our-rhums/; https://www.skurnik.com/sku/rhum-agricole-blanc-55-rhum-jm/,2026-06-26,https://www.rhum-jm.com/wp-content/uploads/2022/03/slider-rhums-1024x384.jpg,rum_martinique
Rum,Distillerie JM,"Macouba, Martinique",JM,own_make,NULL,FALSE,FALSE,Rhum Agricole; AOC Martinique; VO,3 Years,,,86.0,43.0,,American oak,,https://www.rhum-jm.com/en/our-rhums/; https://www.skurnik.com/sku/rhum-agricole-blanc-55-rhum-jm/,2026-06-26,https://www.rhum-jm.com/wp-content/uploads/2022/03/slider-rhums-1024x384.jpg,rum_martinique
