spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Rhumerie de Chamarel,"Chamarel, Mauritius",Chamarel,own_make,,FALSE,FALSE,Rhum Agricole; White; Blanc Classic 42,,,,84,42,Cane juice,,,https://www.rhumeriedechamarel.com/en/nos-rhums/,2026-06-08,,rum_mauritius
Rum,Rhumerie de Chamarel,"Chamarel, Mauritius",Chamarel,own_make,,FALSE,FALSE,Rhum Agricole; White; Blanc 52,,,,104,52,Cane juice,,,https://www.rhumeriedechamarel.com/en/nos-rhums/,2026-06-08,,rum_mauritius
Rum,Rhumerie de Chamarel,"Chamarel, Mauritius",Chamarel,own_make,,FALSE,FALSE,Blended Rum; Aged; VS,3 Years,,,,,Cane juice + molasses,French oak,,https://88bamboo.co/blogs/durhum/exploring-chamarel-s-rums-vsop-xo-2008-single-barrel,2026-06-26,http://88bamboo.co/cdn/shop/articles/Durhum_343856d7-52df-40af-bbfc-c7c9a55c5b29_1200x1200.png,rum_mauritius
Rum,Rhumerie de Chamarel,"Chamarel, Mauritius",Chamarel,own_make,,FALSE,FALSE,Blended Rum; Aged; VSOP,4 Years,,,88,44,Cane juice + molasses,French + American oak,,https://www.excellencerhum.com/en/mauritius/524-rum-chamarel-vsop.html; https://rumratings.com/rum/2322-chamarel-vsop-4-year,2026-06-26,https://cdn2.excellencerhum.com/17646-thickbox_default/rum-chamarel-vsop.jpg,rum_mauritius
Rum,Rhumerie de Chamarel,"Chamarel, Mauritius",Chamarel,own_make,,FALSE,FALSE,Blended Rum; Extra Aged; XO,6 Years,,,,,Cane juice + molasses (60% column / 40% pot),French oak,,https://www.excellencerhum.com/en/mauritius/3016-rum-chamarel-xo.html,2026-06-26,https://cdn2.excellencerhum.com/17644-thickbox_default/rum-chamarel-xo.jpg,rum_mauritius
Rum,Rhumerie de Chamarel,"Chamarel, Mauritius",Chamarel,own_make,,FALSE,FALSE,Blended Rum; Single Cask; Macallan Finish,6 Years,,,,,Cane juice + molasses,,Macallan 10yo cask,https://88bamboo.co/blogs/durhum/exploring-chamarel-s-rums-vsop-xo-2008-single-barrel,2026-06-26,http://88bamboo.co/cdn/shop/articles/Durhum_343856d7-52df-40af-bbfc-c7c9a55c5b29_1200x1200.png,rum_mauritius
Rum,Rhumerie de Chamarel,"Chamarel, Mauritius",Chamarel,own_make,,FALSE,FALSE,Blended Rum; Single Cask; 2008,,2008,,,,Cane juice + molasses,,,https://88bamboo.co/blogs/durhum/exploring-chamarel-s-rums-vsop-xo-2008-single-barrel,2026-06-26,http://88bamboo.co/cdn/shop/articles/Durhum_343856d7-52df-40af-bbfc-c7c9a55c5b29_1200x1200.png,rum_mauritius
Rum,Grays (New Grove),Mauritius,New Grove,own_make,,FALSE,FALSE,Column Still Rum; Aged; Old Tradition 5,5 Years,,,80,40,Molasses,Limousin/French oak + cognac casks,,https://www.excellencerhum.com/en/mauritius/533-rum-new-grove-5-years-old-old-tradition.html,2026-06-26,https://cdn3.excellencerhum.com/3357-thickbox_default/rum-new-grove-5-years-old-old-tradition.jpg,rum_mauritius
Rum,Grays (New Grove),Mauritius,New Grove,own_make,,FALSE,FALSE,Column Still Rum; Aged; Old Tradition 8,8 Years,,,80,40,Molasses,,,https://www.rum-x.com/rums/322/grays-new-grove-old-tradition-8/,2026-06-28,NULL,rum_mauritius
Rum,Grays (New Grove),Mauritius,New Grove,own_make,,FALSE,FALSE,Column Still Rum; Aged; Old Tradition 10,10 Years,,,80,40,Molasses,,,https://www.spiritradar.com/rum-db/new-grove-mauritius-old-tradition-10yo-40-percent-700ml/,2026-06-08,,rum_mauritius
Rum,Grays (New Grove),Mauritius,New Grove,own_make,,FALSE,FALSE,Column Still Rum; Single Cask; Double Cask Moscatel,8 Years,,,94,47,Molasses,,Moscatel,https://www.rum-x.com/rums/1298/grays-new-grove-double-cask-moscatel,2026-06-28,NULL,rum_mauritius
Rum,Grays (New Grove),Mauritius,New Grove,own_make,,FALSE,FALSE,Column Still Rum; Single Cask; Savoir Faire Double Cask Merisier,8 Years,,,94,47,Molasses,,Wild cherry wood,https://www.rum-x.com/rums/9122/grays-new-grove-savoir-faire-double-cask-merisier/,2026-06-28,NULL,rum_mauritius
Rum,Grays (New Grove),Mauritius,New Grove,own_make,,FALSE,FALSE,Column Still Rum; Single Cask; Savoir Faire Double Cask Acacia,8 Years,,,94,47,Molasses,,Acacia wood,https://www.rum-x.com/rums/4288/grays-new-grove-savoir-faire-double-cask-acacia/,2026-06-28,NULL,rum_mauritius
Rum,Medine Distillery,Mauritius,Penny Blue,own_make,,FALSE,FALSE,Column Still Rum; Aged; VSOP,4 Years,,,80,40,Molasses,Ex-Cognac 75% / ex-bourbon 15% / ex-whisky 10%,,https://www.pennybluerum.com/our-rum/vsop; https://www.rum-x.com/rums/928/medine-estate-penny-blue-vsop/,2026-06-28,NULL,rum_mauritius
Rum,Medine Distillery,Mauritius,Penny Blue,own_make,,FALSE,TRUE,Column Still Rum; Single Cask; XO,,,,,,Molasses,,,https://www.pennybluerum.com/our-rum/xo-batches,2026-06-08,,rum_mauritius
Rum,Medine Distillery,Mauritius,Penny Blue,own_make,,FALSE,TRUE,Column Still Rum; Single Cask,,,,,,Molasses,,,https://www.pennybluerum.com/our-rum/single-cask,2026-06-08,,rum_mauritius
Rum,St Aubin,Mauritius,St Aubin,own_make,,FALSE,FALSE,Rhum Agricole; White; Classic White,,,,80,40,Cane juice,,,https://www.masterofmalt.com/rum/st-aubin/st-aubin-classic-rum-white-rum/,2026-06-26,https://cdn11.bigcommerce.com/s-e8lbekfe7c/images/stencil/1024w/attribute_rule_images/3849_source_1780409446.jpg,rum_mauritius
Rum,St Aubin,Mauritius,St Aubin,own_make,,FALSE,FALSE,Rhum Agricole; White; Premium White 50,,,,100,50,Cane juice,,,https://www.excellencerhum.com/en/mauritius/5777-rum-saint-aubin-premium-white-50.html,2026-06-26,https://cdn1.excellencerhum.com/8450-thickbox_default/rum-saint-aubin-premium-white-50.jpg,rum_mauritius
Rum,St Aubin,Mauritius,St Aubin,own_make,,FALSE,FALSE,Rhum Agricole; White; Blanc Agricole 1819,,,,100,50,Cane juice,,,https://www.rum-x.com/rums/2176/saint-aubin-rhum-blanc-agricole-1819/,2026-06-28,NULL,rum_mauritius
Rum,Grays (Lazy Dodo),Mauritius,Lazy Dodo,own_make,,FALSE,FALSE,Blended Rum; Aged; Single Estate,,,,80,40,Molasses,French + American oak,,https://www.rum-x.com/rums/260/grays-lazy-dodo-single-estate/; https://thelonecaner.com/r0333/,2026-06-28,NULL,rum_mauritius
