spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo Anejo,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Anejo,NAS,,,80,40,NULL,American oak,,https://www.blueridgespirits.com/ron-abuelo-rum/; https://www.masterofmalt.com/distilleries/ron-abuelo-rum-distillery/,2026-06-07,NULL,rum_panama
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo 7 Anos,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; 7 Anos,7 Years,,,80,40,NULL,American oak,,https://www.blueridgespirits.com/ron-abuelo-rum/; https://www.masterofmalt.com/distilleries/ron-abuelo-rum-distillery/,2026-06-07,NULL,rum_panama
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo 12 Anos,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; 12 Anos,12 Years,,,80,40,NULL,American oak,,https://www.blueridgespirits.com/ron-abuelo-rum/; https://www.masterofmalt.com/distilleries/ron-abuelo-rum-distillery/,2026-06-07,NULL,rum_panama
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo Centuria,own_make,NULL,FALSE,FALSE,Column Still Rum; Solera; Centuria,NAS,,,80,40,NULL,American oak,,https://www.blueridgespirits.com/ron-abuelo-rum/; https://www.masterofmalt.com/distilleries/ron-abuelo-rum-distillery/,2026-06-07,NULL,rum_panama
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo XV Oloroso,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; XV Anos Oloroso,15 Years,,,80,40,NULL,American oak,Oloroso Sherry,https://www.robsrum.com/2016/10/abuelo-xv-finish-collection/; https://rumshopboy.com/2018/01/06/ron-abuelo-xv-cask-finishes/,2026-06-26,https://www.robsrum.com/wp-content/uploads/2016/10/0345AbueloCaskFinishes1024-1024x876.jpg,rum_panama
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo XV Tawny,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; XV Anos Tawny,15 Years,,,80,40,NULL,American oak,Tawny Port,https://www.robsrum.com/2016/10/abuelo-xv-finish-collection/; https://rumshopboy.com/2018/01/06/ron-abuelo-xv-cask-finishes/,2026-06-26,https://www.robsrum.com/wp-content/uploads/2016/10/0345AbueloCaskFinishes1024-1024x876.jpg,rum_panama
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo XV Napoleon,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; XV Anos Napoleon,15 Years,,,80,40,NULL,American oak,Napoleon Cognac,https://www.robsrum.com/2016/10/abuelo-xv-finish-collection/; https://rumshopboy.com/2018/01/06/ron-abuelo-xv-cask-finishes/,2026-06-28,NULL,rum_panama
Rum,Varela Hermanos,"Pese, Herrera, Panama",Ron Abuelo Two Oaks XII,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Two Oaks 12 Anos,12 Years,,,80,40,NULL,American + European oak,,https://www.blueridgespirits.com/ron-abuelo-rum/; https://www.masterofmalt.com/distilleries/ron-abuelo-rum-distillery/,2026-06-07,NULL,rum_panama
Rum,Las Cabras Distillery,"Pese, Herrera, Panama",Don Pancho Origenes Reserva 8,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Origenes Reserva 8 Anos,8 Years,,,80,40,NULL,American oak,,https://origenesdonpancho.com/our-history/; https://www.rum-x.com/distilleries/las-cabras/,2026-06-07,NULL,rum_panama
Rum,Las Cabras Distillery,"Pese, Herrera, Panama",Don Pancho Origenes 18 Reserva Especial,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Origenes 18 Anos Reserva Especial,18 Years,,,80,40,NULL,"American oak (Kentucky, uncharred)",,https://origenesdonpancho.com/our-history/; https://www.rum-x.com/distilleries/las-cabras/,2026-06-07,NULL,rum_panama
Rum,Las Cabras Distillery,"Pese, Herrera, Panama",Don Pancho Origenes 30,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Origenes 30 Anos,30 Years,,,80,40,NULL,American oak,,https://origenesdonpancho.com/our-history/; https://www.rum-x.com/distilleries/las-cabras/,2026-06-07,NULL,rum_panama
Rum,Las Cabras Distillery,"Pese, Herrera, Panama",Don Pancho Reserva Francisco Jose 38,own_make,NULL,FALSE,FALSE,Column Still Rum; Single Cask; Reserva Francisco Jose 38 Anos,38 Years,,,86,43,NULL,American oak,,https://inn-out-shop.com/en-us/products/reserva-francisco-jose-38y-panama-single-cask-rum-0-7l-43-vol-distillery-las-cabras-origenes-don-pancho,2026-06-07,NULL,rum_panama
Rum,Pedro Mandinga,"Panama City, Panama",Pedro Mandinga Silver,own_make,NULL,FALSE,FALSE,Pot Still Rum; White; Silver,NAS,,,80,40,NULL,Unaged,,https://pedromandinga.com/; https://rumratings.com/rum/6438-pedro-mandinga-blended-8-year,2026-06-07,NULL,rum_panama
Rum,Pedro Mandinga,"Panama City, Panama",Pedro Mandinga Blended 8 Year,blended,NULL,FALSE,FALSE,Blended Rum; Aged; Blended 8 Year,8 Years,,,80,40,NULL,Oak,,https://pedromandinga.com/; https://rumratings.com/rum/6438-pedro-mandinga-blended-8-year,2026-06-07,NULL,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Ron Malecon,sourced,Ron Malecon,TRUE,FALSE,Column Still Rum; Aged; Reserva Superior 12 Years,12 Years,NULL,NULL,NULL,NULL,NULL,Ex-bourbon,NULL,https://www.excellencerhum.com/en/panama/2861-rum-malecon-reserva-superior-12-years.html; https://www.masterofmalt.com/distilleries/malecon/,2026-06-26,https://cdn3.excellencerhum.com/3359-thickbox_default/rum-malecon-reserva-superior-12-years.jpg,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Ron Malecon,sourced,Ron Malecon,TRUE,FALSE,Column Still Rum; Extra Aged; Reserva Imperial 18 Years,18 Years,NULL,NULL,NULL,NULL,NULL,Ex-bourbon,NULL,https://www.masterofmalt.com/distilleries/malecon/,2026-06-08,NULL,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Ron Malecon,sourced,Ron Malecon,TRUE,FALSE,Column Still Rum; Extra Aged; Reserva Imperial 21 Years,21 Years,NULL,NULL,NULL,NULL,NULL,Ex-bourbon,NULL,https://spiritscorner.com/en/productos/1659-ron-malecon-21-a-os-reserva-imperial.html,2026-06-08,NULL,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Ron Malecon,sourced,Ron Malecon,TRUE,FALSE,Column Still Rum; Extra Aged; Reserva Imperial 25 Years,25 Years,NULL,NULL,80.0,40.0,NULL,Ex-bourbon,NULL,https://www.excellencerhum.com/en/panama/2864-rum-malecon-reserva-imperial-superior-25-years.html; https://masterquill.com/2016/10/15/malecon-reserva-imperial-25yo-40-panama/,2026-06-26,https://cdn3.excellencerhum.com/17834-thickbox_default/rum-malecon-reserva-imperial-superior-25-years.jpg,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Ron de Jeremy,sourced,Ron de Jeremy,TRUE,FALSE,Column Still Rum; Aged; Reserva,8 Years,NULL,NULL,80.0,40.0,NULL,Ex-bourbon,NULL,https://www.rum-x.com/rums/923/ron-de-jeremy-reserva/; https://www.excellencerhum.com/en/panama/273-rum-ron-de-jeremy-reserva.html,2026-06-28,NULL,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Ron de Jeremy,sourced,Ron de Jeremy,TRUE,FALSE,Column Still Rum; Extra Aged; XO,15 Years,NULL,NULL,80.0,40.0,NULL,Ex-bourbon,NULL,https://www.excellencerhum.com/en/panama/3364-rum-ron-de-jeremy-xo-15-years-old.html,2026-06-26,https://cdn3.excellencerhum.com/3230-thickbox_default/rum-ron-de-jeremy-xo-15-years-old.jpg,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Panama-Pacific,sourced,Panama-Pacific,TRUE,FALSE,Column Still Rum; Aged; 9 Year,9 Years,NULL,NULL,94.6,47.3,NULL,Ex-bourbon,NULL,https://distiller.com/spirits/panama-pacific-rum-9-year; https://panamapacificrum.com/home/,2026-06-08,NULL,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Panama-Pacific,sourced,Panama-Pacific,TRUE,FALSE,Column Still Rum; Extra Aged; 23 Year,23 Years,NULL,NULL,84.6,42.3,NULL,Ex-bourbon,NULL,https://distiller.com/spirits/panama-pacific-rum-23-year,2026-06-08,NULL,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Selvarey,sourced,Selvarey,TRUE,FALSE,Column Still Rum; White; White,NAS,NULL,NULL,80.0,40.0,NULL,Ex-bourbon,NULL,https://www.drinkhacker.com/2021/08/01/review-selvarey-rum-white-chocolate-and-owners-reserve-2021/,2026-06-26,https://www.drinkhacker.com/wp-content/uploads/2021/07/SelvaRey-Rum-Box-Final-NEW-lg-png.png,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Selvarey,sourced,Selvarey,TRUE,FALSE,Column Still Rum; Aged; Owner's Reserve,NAS,NULL,NULL,80.0,40.0,NULL,Ex-bourbon,NULL,https://whiskyandwhiskey.com/products/selvarey-owners-reserve-rum-750ml; https://www.drinkhacker.com/2021/08/01/review-selvarey-rum-white-chocolate-and-owners-reserve-2021/,2026-06-26,http://whiskyandwhiskey.com/cdn/shop/files/selvarey-owners-reserve-rum-750ml_0c5ede41-071b-4bf6-9404-a8123de9e3ff.jpg,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Canalero,sourced,Canalero,TRUE,FALSE,Column Still Rum; Aged; Anejo,3 Years,NULL,NULL,80.0,40.0,NULL,Ex-bourbon,NULL,https://thelonecaner.com/r0358/,2026-06-08,NULL,rum_panama
Rum,Las Cabras Distillery,"Pesé, Herrera, Panama",Compañero,sourced,Compañero,TRUE,FALSE,Column Still Rum; Extra Aged; Panama Extra Añejo 12 Year,12 Years,NULL,NULL,108.0,54.0,NULL,Ex-bourbon,NULL,https://www.rum-x.com/rums/18/companero-ron-panama-extra-anejo/; https://www.1423.dk/products/companero-panama-extra-anejo/,2026-06-28,NULL,rum_panama
