spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Tanduay Distillers,"Manila, Philippines",Tanduay,own_make,,FALSE,FALSE,Column Still Rum; Aged; 1854,,,,80,40,Sugarcane molasses,Oak,,https://www.caskers.com/tanduay-1854-rum/; https://manila-wine.com/tanduay-1854-15-year-old-philippine-rum,2026-06-26,https://cdn.caskers.com/catalog/product/cache/4f6989790ecdd0e389055fabaf312a4d/t/a/tanduay-1854-1_1.jpg,rum_philippines
Rum,Tanduay Distillers,"Manila, Philippines",Tanduay,own_make,,FALSE,FALSE,Column Still Rum; Aged; Double Rum,,,,80,40,Sugarcane molasses,Ex-bourbon American oak,Ex-bourbon,https://www.emporiabrands.com/our-portfolio/p/tanduay-double-rum; https://www.caskers.com/tanduay-double-rum/,2026-06-26,http://static1.squarespace.com/static/5f996365a2d243584d4ea59e/6887bc5c7d8b5862d4a825df/688a098c44593f337f2c3b5e/1753882739290/Tanduay-Double-Rum.png,rum_philippines
Rum,Tanduay Distillers,"Manila, Philippines",Tanduay,own_make,,FALSE,FALSE,Column Still Rum; Gold; Asian Rum,,,,80,40,Sugarcane molasses,,,https://therumlab.com/tanduay-rum-a-leading-brand-made-in-the-philippines/; https://woodencork.com/collections/tanduay,2026-06-28,NULL,rum_philippines
Rum,Bleeding Heart Rum Company,"Negros, Philippines",Don Papa,own_make,,FALSE,FALSE,Column Still Rum; Aged; 7 Years Single Island,7 Years,,,80,40,Negros sugarcane molasses,Ex-bourbon American oak,,https://www.1001spirits.com/product/27717/don-papa-7-years-single-island--gb--40--070-l; https://en.wikipedia.org/wiki/Don_Papa_Rum,2026-06-08,https://images.ctfassets.net/w5bqdj4ppi2x/5guhzUIO2QiERxAaJr3oU9/48fcefa488f7bcc26b59e38294384dde/DONPAPA_RUM_BOTTLE_PACKSHOT_RGB.png,rum_philippines
Rum,Bleeding Heart Rum Company,"Negros, Philippines",Don Papa,own_make,,FALSE,FALSE,Column Still Rum; Aged; 10 Years,10 Years,,,,,Negros sugarcane molasses,Lightly toasted American oak,,https://www.excellencerhum.com/en/39_don-papa; https://en.wikipedia.org/wiki/Don_Papa_Rum,2026-06-08,,rum_philippines
Rum,Bleeding Heart Rum Company,"Negros, Philippines",Don Papa,own_make,,FALSE,FALSE,Column Still Rum; Rye Cask,4 Years,,,90,45,Negros sugarcane molasses,Ex-American rye casks,,https://www.donpaparum.com/products/don-papa-rye-cask,2026-06-08,https://images.ctfassets.net/w5bqdj4ppi2x/4KBcZ1drW9NPmdLfNEzifm/bdbae145b62ccc91a0b5119ff4a3579d/Limbo_Rye_Cask.webp,rum_philippines
Rum,Bleeding Heart Rum Company,"Negros, Philippines",Don Papa,own_make,,FALSE,FALSE,Column Still Rum; Sherry Cask,,,,90,45,Negros sugarcane molasses,,Sherry casks (4-cask blend),https://www.donpaparum.com/products/don-papa-sherry-cask,2026-06-08,https://images.ctfassets.net/w5bqdj4ppi2x/6Va5vARJmK9Y7DgIqr0OuR/5b09efdc8f897ab46eec661a0eebda4a/Limbo_Sherry_Cask.webp,rum_philippines
Rum,Bleeding Heart Rum Company,"Negros, Philippines",Don Papa,own_make,,FALSE,FALSE,Column Still Rum; Sevillana,,,,,,Negros sugarcane molasses,,Oloroso Sherry + Andalusian Orange Wine (36 mo),https://www.donpaparum.com/products/don-papa-sevillana,2026-06-26,https://images.ctfassets.net/w5bqdj4ppi2x/hKLrIniKiN8hr4E8kIFaB/904a2a2fc21f9b5283f29a9a054ec9ef/Sevillana_2x_d6649639-f9f5-4c6f-b54d-632ef8fb5930.webp,rum_philippines
Rum,Bleeding Heart Rum Company,"Negros, Philippines",Don Papa,own_make,,FALSE,FALSE,Column Still Rum; Port Cask,,,,,,Negros sugarcane molasses,,Port casks,https://www.donpaparum.com/products/don-papa-port-cask,2026-06-26,https://images.ctfassets.net/w5bqdj4ppi2x/IF2WN1uzLNZyrmRlkl1gq/decd009463eaa92de394a2fbbbcdacf8/Limbo_Port_Cask.webp,rum_philippines
Rum,Bleeding Heart Rum Company,"Negros, Philippines",Don Papa,own_make,,FALSE,FALSE,Column Still Rum; Single Cask; Rare Cask,,,,,,Negros sugarcane molasses,,,https://www.donpaparum.com/products/don-papa-rare-cask; https://en.wikipedia.org/wiki/Don_Papa_Rum,2026-06-26,https://images.ctfassets.net/w5bqdj4ppi2x/3dfYAQrE6fllXzp7I07rcQ/2a4b3c2306d1eeac3a6e2120bfc9702b/DP_10year_bottlecleanborder1.webp,rum_philippines
