spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Carta Blanca Superior,NAS,,,80.0,40.0,,American white oak,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Carta Oro,,,,80.0,40.0,,American white oak,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold; Carta Negra,,,,80.0,40.0,,,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Anejo Cuatro 4 Anos,4 Years,,,80.0,40.0,,,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Reserva Ocho 8 Anos,8 Years,,,80.0,40.0,,,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Reserva Ocho Sherry Cask 8 Anos,8 Years,,,80.0,40.0,,,Oloroso Sherry,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Gran Reserva Diez 10 Anos,10 Years,,,80.0,40.0,,,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Maestro de Ron Gran Reserva,NAS,,,80.0,40.0,,,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Bacardi,"Catano, Puerto Rico",Bacardi,own_make,NULL,FALSE,FALSE,Column Still Rum; Extra Aged; Gran Reserva Limitada,NAS,,,80.0,40.0,,,,https://www.bacardi.com/us/en/our-rums/; https://www.masterofmalt.com/distilleries/bacardi-rum-distillery/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; White; Cristal,NAS,,,80.0,40.0,,American white oak,,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Gold,,,,80.0,40.0,,American white oak,,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Overproof; 151,,,,151.0,75.5,,,,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Reserva 7 Anos,7 Years,,,80.0,40.0,,American white oak,,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Solera; Gran Reserva,NAS,,,80.0,40.0,,,,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Double Aged Cognac Cask Finish,NAS,,,80.0,40.0,,American white oak,Cognac,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Double Aged Port Cask Finish,NAS,,,80.0,40.0,,American white oak,Tawny Port,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Double Aged Sherry Cask Finish,NAS,,,80.0,40.0,,American white oak,Oloroso Sherry,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
Rum,Destileria Serralles,"Ponce, Puerto Rico",Don Q,own_make,NULL,FALSE,FALSE,Column Still Rum; Aged; Double Aged Zinfandel Cask Finish,NAS,,,80.0,40.0,,American white oak,Zinfandel,https://donq.com/our-rums/,2026-06-07,NULL,rum_puerto_rico
