spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,source_urls,last_verified,label_image_url,cohort
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Rhum Agricole; White; Creol,,,,,,Cane juice,,,https://www.excellencerhum.com/en/reunion-island/125-rum-savanna-creol.html,2026-06-26,https://cdn3.excellencerhum.com/151-thickbox_default/rum-savanna-creol.jpg,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Rhum Agricole; White; Creol 52,,2019,,104,52,Cane juice,,,https://www.rum-x.com/rums/13689/savanna-rhum-agricole-creol-52,2026-06-28,NULL,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Column Still Rum; Intense,,,,,,Molasses,,,https://www.excellencerhum.com/en/reunion-island/127-rum-savanna-intense.html,2026-06-26,https://cdn1.excellencerhum.com/1180-thickbox_default/rum-savanna-intense.jpg,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Pot Still Rum; Heavy Ester; Lontan Grand Arome,,,,,,Molasses (long fermentation),,,https://www.excellencerhum.com/en/reunion-island/3133-rum-savanna-grand-arome-lontan.html,2026-06-26,https://cdn3.excellencerhum.com/2702-thickbox_default/rum-savanna-grand-arome-lontan.jpg,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Pot Still Rum; Heavy Ester; Lontan 57 Grand Arome Batch 2,,2018,Batch #2,114,57,Molasses,,,https://thelonecaner.com/r0861/,2026-06-08,,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Pot Still Rum; Heavy Ester; Lontan Straight 74.9,,,,149.8,74.9,Molasses (Grand Arome),,,https://88bamboo.co/blogs/rum-reviews/a-study-of-savannas-reunion-island-rums,2026-06-08,,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Column Still Rum; Aged; 5 ans Traditionnel,5 Years,,,,,Molasses,Oak,,https://www.excellencerhum.com/en/reunion-island/7397-rum-savanna-5-years-old-traditional-rum-old-from-reunion-island.html,2026-06-26,https://cdn1.excellencerhum.com/10775-thickbox_default/rum-savanna-5-years-old-traditional-rum-old-from-reunion-island.jpg,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Column Still Rum; Aged; 7 ans Traditionnel,7 Years,,,,,Molasses,Limousin oak,,https://www.excellencerhum.com/en/reunion-island/458-rum-savanna-7-years-traditional.html,2026-06-26,https://cdn1.excellencerhum.com/1208-thickbox_default/rum-savanna-7-years-traditional.jpg,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Rhum Agricole; Single Cask; 2002 Creol 7 ans Moscatel Finish,7 Years,2002,,,,Cane juice,,Moscatel,https://www.excellencerhum.com/en/reunion-island/457-rum-savanna-2002-7-years-creol-moscatel-finish.html,2026-06-26,https://cdn1.excellencerhum.com/1179-thickbox_default/rum-savanna-2002-7-years-creol-moscatel-finish.jpg,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Rhum Agricole; Single Cask; 2009 Agricole Vieux 7 ans,7 Years,2009,,,,Cane juice,,,https://www.excellencerhum.com/en/reunion-island/8071-rum-savanna-2009-7-ans-agricole-vieux-single-cask.html,2026-06-26,https://cdn3.excellencerhum.com/11730-thickbox_default/rum-savanna-2009-7-years-old-rum-traditional-single-cask.jpg,rum_reunion
Rum,Savanna,"Bois Rouge, Saint-Andre, Reunion",Savanna,own_make,,FALSE,FALSE,Rhum Agricole; Single Cask; 11 ans Agricole,11 Years,,,,,Cane juice,,,https://www.excellencerhum.com/en/reunion-island/5841-rum-savanna-single-cask-11-years-old-agricole.html,2026-06-26,https://cdn1.excellencerhum.com/8555-thickbox_default/rum-savanna-single-cask-11-years-old-agricole.jpg,rum_reunion
Rum,Isautier,"Saint-Pierre, Reunion",Isautier,own_make,,FALSE,FALSE,Rhum Agricole; White; Blanc Agricole 55,,,,110,55,Cane juice,,,https://www.isautier.com/en/our-rums/white-agricultural-rum-55-vol/,2026-06-08,,rum_reunion
Rum,Isautier,"Saint-Pierre, Reunion",Isautier,own_make,,FALSE,FALSE,Blended Rum; Aged; 5 ans,5 Years,,,,,Cane juice + molasses blend,French oak,,https://www.lesrhumsdumonde.com/214-isautier,2026-06-08,,rum_reunion
Rum,Isautier,"Saint-Pierre, Reunion",Isautier,own_make,,FALSE,FALSE,Blended Rum; Aged; 7 ans,7 Years,,,,,Cane juice + molasses blend,,,https://www.lesrhumsdumonde.com/214-isautier,2026-06-08,,rum_reunion
Rum,Isautier,"Saint-Pierre, Reunion",Isautier,own_make,,FALSE,FALSE,Blended Rum; Aged; 10 ans,10 Years,,,80,40,Cane juice + molasses blend,,,https://saintmaur.intercaves.fr/fr-FR/p/rhum-agricole-vieux-la-reunion-isautier-10-ans-40-70cl/193785,2026-06-08,,rum_reunion
Rum,Isautier,"Saint-Pierre, Reunion",Isautier,own_make,,FALSE,FALSE,Blended Rum; Extra Aged; Louis & Charles,,,,90,45,Cane juice + molasses blend,,,https://www.isautier.com/en/our-rums/old-rum-louis-charles-special-edition/,2026-06-08,,rum_reunion
Rum,Isautier,"Saint-Pierre, Reunion",Isautier,own_make,,FALSE,FALSE,Rhum Agricole; Aged; 16 Year,16 Years,,,118,59,Cane juice,,,https://norfolkwineandspirits.com/shop/isautier-rhum-agricole-16-year-rhum-agricole-59-750ml/,2026-06-26,https://norfolkwineandspirits.com/wp-content/uploads/2023/05/Isautier-Rhum-Agricole-16-Year-Rhum-Agricole-%E2%80%93-59-750ml.jpeg,rum_reunion
Rum,Riviere du Mat,Reunion,Riviere du Mat,own_make,,FALSE,FALSE,Column Still Rum; Extra Aged; XO,,,,,,Molasses,Oak (8-15 yr blend),,https://www.excellencerhum.com/en/reunion-island/389-rum-riviere-du-mat-xo.html,2026-06-26,https://cdn3.excellencerhum.com/3134-thickbox_default/rum-riviere-du-mat-xo.jpg,rum_reunion
Rum,Riviere du Mat,Reunion,Riviere du Mat,own_make,,FALSE,FALSE,Column Still Rum; Aged; VSOP,,,,,,Molasses,,,https://www.excellencerhum.com/en/57_riviere-du-mat,2026-06-08,,rum_reunion
