spirit_type,distillery,distillery_location,spirit_name,producer_type,producer_brand,is_ndp,is_template,special_designation,age_statement,vintage,batch_lot,proof,abv,mash_bill,barrel_type,cask_finish,tasting_notes,source_urls,last_verified,label_image_url,cohort
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve,own_make,NULL,FALSE,FALSE,Blended Rum; White; White,NAS,,,80.0,40.0,,Ex-bourbon,,"Toasted marshmallow, banana; dry, lime, coconut.",https://www.chairmansreserverum.com/learn-about-our-rums/,2026-06-07,NULL,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Original,5 Years,,,80.0,40.0,,Ex-bourbon,,"Cooked banana, caramelized fruit, vanilla; chocolate, raisin, clove.",https://www.chairmansreserverum.com/cr-original/,2026-06-07,NULL,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Legacy,5 Years,,,86.0,43.0,,Ex-bourbon,,"Pineapple, banana, vanilla; grilled tropical fruit.",https://www.chairmansreserverum.com/cr-legacy/,2026-06-07,NULL,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; The Forgotten Casks,8 Years,,,80.0,40.0,,Ex-bourbon,,"Raisins, cigar tobacco, honey, vanilla.",https://www.chairmansreserverum.com/cr-forgot/,2026-06-07,NULL,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve,own_make,NULL,FALSE,FALSE,Blended Rum; Spiced; Spiced,,,,80.0,40.0,,Ex-bourbon,,"Infused with Bois Bande bark, cinnamon, clove, nutmeg, vanilla, allspice.",https://www.chairmansreserverum.com/cr-spiced/,2026-06-07,NULL,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve,own_make,NULL,FALSE,FALSE,Blended Rum; Single Cask; Vintage 2009,11 Years,2009,,92.0,46.0,,Ex-bourbon,,"Honeyed raisin, toffee, banana, vanilla, tobacco.",https://www.chairmansreserverum.com/learn-about-our-rums/,2026-06-07,NULL,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve 1931,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 1st Edition,,2011,,,,,Ex-bourbon,,,https://thefatrumpirate.com/1931-st-lucia-distillers-chairmans-reserve/; https://www.rum-x.com/rums/4352/,2026-06-26,https://i0.wp.com/thefatrumpirate.com/wp-content/uploads/IMG_9590-225x300.jpg,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve 1931,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 2nd Edition,12 Years,2012,,86.0,43.0,,Ex-bourbon,,,https://thefatrumpirate.com/1931-st-lucia-distillers-chairmans-reserve/; https://www.rum-x.com/rums/4352/,2026-06-26,https://i0.wp.com/thefatrumpirate.com/wp-content/uploads/IMG_9590-225x300.jpg,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve 1931,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 3rd Edition,12 Years,2013,,86.0,43.0,,Ex-bourbon,,,https://thefatrumpirate.com/1931-st-lucia-distillers-chairmans-reserve/; https://www.rum-x.com/rums/4352/,2026-06-26,https://i0.wp.com/thefatrumpirate.com/wp-content/uploads/IMG_9590-225x300.jpg,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve 1931,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 4th Edition,12 Years,2014,,86.0,43.0,,Ex-bourbon,,,https://thefatrumpirate.com/1931-st-lucia-distillers-chairmans-reserve/; https://www.rum-x.com/rums/4352/,2026-06-26,https://i0.wp.com/thefatrumpirate.com/wp-content/uploads/IMG_9590-225x300.jpg,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve 1931,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 5th Edition,12 Years,2015,,92.0,46.0,,Ex-bourbon,,,https://thefatrumpirate.com/1931-st-lucia-distillers-chairmans-reserve/; https://www.rum-x.com/rums/4352/,2026-06-26,https://i0.wp.com/thefatrumpirate.com/wp-content/uploads/IMG_9590-225x300.jpg,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve 1931,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; 6th Edition,12 Years,2016,,92.0,46.0,,Ex-bourbon,,,https://thefatrumpirate.com/1931-st-lucia-distillers-chairmans-reserve/; https://www.rum-x.com/rums/4352/,2026-06-26,https://i0.wp.com/thefatrumpirate.com/wp-content/uploads/IMG_9590-225x300.jpg,rum_saint_lucia
Rum,St Lucia Distillers,"Roseau Valley, Saint Lucia",Chairman's Reserve 1931,own_make,NULL,FALSE,FALSE,Blended Rum; Aged; Continuous Release,,2017,,92.0,46.0,,Ex-bourbon,,,https://thefatrumpirate.com/1931-st-lucia-distillers-chairmans-reserve/; https://www.rum-x.com/rums/4352/,2026-06-26,https://i0.wp.com/thefatrumpirate.com/wp-content/uploads/IMG_9590-225x300.jpg,rum_saint_lucia
